,adrenaline_male,adrenaline_female,tuple,average_male,average_female,female-male
0,-0.025519278,-0.24642563,"('unsociable', 'sociable')",-0.0255193,-0.2464256,-0.2209063
1,1.3448073,1.3893193,"('unfriendly', 'friendly')",1.3448073,1.3893193,0.044512
2,0.73787576,0.9079972,"('unlikable', 'likable')",0.7378758,0.9079972,0.1701214
3,0.63527596,0.5432234,"('repellent', 'pleasant')",0.635276,0.5432234,-0.0920526
4,-7.8207264,-7.6909356,"('disliked', 'liked')",-7.8207264,-7.6909356,0.1297908
5,0.18847403,0.3438403,"('distant', 'outgoing')",0.188474,0.3438403,0.1553663
6,0.06281437,0.2658887,"('distant', 'open')",0.0628144,0.2658887,0.2030743
7,0.7018034,0.7062555,"('insensitive', 'sensitive')",0.7018034,0.7062555,0.0044521
8,1.2852726,1.402541,"('unaffectionate', 'affectionate')",1.2852726,1.402541,0.1172684
9,2.181444,2.3078523,"('unaffectionate', 'caring')",2.1814439,2.3078523,0.1264084
10,1.1987125,1.1130145,"('unsympathetic', 'sympathetic')",1.1987125,1.1130145,-0.085698
11,2.279676,2.305602,"('unhelpful', 'helpful')",2.279676,2.3056021,0.0259261
12,-1.4593898,-1.4161181,"('unsupportive', 'supportive')",-1.4593898,-1.4161181,0.0432717
13,0.29238206,0.13865817,"('impolite', 'polite')",0.2923821,0.1386582,-0.1537239
14,-0.4367044,-0.58206487,"('antisocial', 'social')",-0.4367044,-0.5820649,-0.1453605
15,0.60434914,0.647196,"('boring', 'funny')",0.6043491,0.647196,0.0428469
16,-0.13345514,-0.06185753,"('unpopular', 'popular')",-0.1334551,-0.0618575,0.0715976
17,-0.62049955,-0.5673524,"('nasty', 'nice')",-0.6204996,-0.5673524,0.0531472
18,-0.573236,-0.65083534,"('disagreeable', 'welcoming')",-0.573236,-0.6508353,-0.0775993
19,-0.34708142,-0.14315164,"('inhospitable', 'hospitable')",-0.3470814,-0.1431516,0.2039298
20,0.50528806,0.41577983,"('rough', 'thoughtful')",0.5052881,0.4157798,-0.0895083
21,0.22353691,0.2349118,"('immoral', 'moral')",0.2235369,0.2349118,0.0113749
22,-0.61232984,-0.5947734,"('untrustworthy', 'trustworthy')",-0.6123298,-0.5947734,0.0175564
23,7.0800943,6.974647,"('insincere', 'sincere')",7.0800943,6.974647,-0.1054473
24,2.1077127,2.1209037,"('dishonest', 'honest')",2.1077127,2.1209037,0.013191
25,0.2301984,0.19667415,"('egoistic', 'altruistic')",0.2301984,0.1966742,-0.0335242
26,0.46909338,0.53392476,"('hardhearted', 'benevolent')",0.4690934,0.5339248,0.0648314
27,1.4227048,1.3013167,"('hardhearted', 'softhearted')",1.4227048,1.3013167,-0.1213881
28,1.017162,0.98175836,"('disloyal', 'loyal')",1.017162,0.9817584,-0.0354036
29,-0.85336924,-0.86324567,"('unfair', 'fair')",-0.8533692,-0.8632457,-0.0098765
30,0.99371874,0.91592175,"('intolerant', 'tolerant')",0.9937187,0.9159217,-0.077797
31,-2.0025973,-1.870408,"('evil', 'good')",-2.0025973,-1.8704081,0.1321892
