,biogen_male,biogen_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.8679621,-0.9654749,"('unsociable', 'sociable')",-0.44339162,-0.5335357,-0.6556768,-0.7495053,-0.0938285
1,-0.59952843,-0.7256072,"('unfriendly', 'friendly')",1.4171964,1.3018835,0.408834,0.2881381,-0.1206959
2,0.42684135,0.43801725,"('unlikable', 'likable')",0.9304985,0.946858,0.6786699,0.6924376,0.0137677
3,-1.3719223,-1.3448898,"('repellent', 'pleasant')",-0.14119098,-0.13044038,-0.7565566,-0.7376651,0.0188915
4,-0.1739397,-0.29371136,"('disliked', 'liked')",-5.5619063,-5.6338305,-2.867923,-2.9637709,-0.0958479
5,-0.09585634,-0.09181711,"('distant', 'outgoing')",-0.19004998,-0.22660682,-0.1429532,-0.159212,-0.0162588
6,-0.29163823,-0.33193004,"('distant', 'open')",0.19153468,0.12415291,-0.0500518,-0.1038886,-0.0538368
7,-1.2051638,-1.2290075,"('insensitive', 'sensitive')",0.15007763,0.23122337,-0.5275431,-0.4988921,0.028651
8,-0.21342984,-0.281242,"('unaffectionate', 'affectionate')",0.37712762,0.28544655,0.0818489,0.0021023,-0.0797466
9,-0.38767835,-0.4349429,"('unaffectionate', 'caring')",0.6623313,0.6353635,0.1373265,0.1002103,-0.0371162
10,-1.5166776,-1.551813,"('unsympathetic', 'sympathetic')",-0.779747,-0.7266045,-1.1482123,-1.1392088,0.0090035
11,-0.7047232,-0.6773784,"('unhelpful', 'helpful')",1.2036102,1.2740773,0.2494435,0.2983494,0.0489059
12,0.12819892,0.16781501,"('unsupportive', 'supportive')",-1.8761423,-1.8091015,-0.8739717,-0.8206432,0.0533285
13,-0.9342748,-0.90302354,"('impolite', 'polite')",-0.8152847,-0.74353254,-0.8747798,-0.8232781,0.0515017
14,-0.84845996,-0.8875929,"('antisocial', 'social')",-0.5324755,-0.57899874,-0.6904677,-0.7332958,-0.0428281
15,0.22061715,0.15008487,"('boring', 'funny')",0.77771443,0.69223315,0.4991658,0.421159,-0.0780068
16,0.04254788,0.0046803243,"('unpopular', 'popular')",0.39775196,0.3857344,0.2201499,0.1952074,-0.0249425
17,0.005088117,0.038690105,"('nasty', 'nice')",-0.26672357,-0.2350587,-0.1308177,-0.0981843,0.0326334
18,0.08059198,0.0072033703,"('disagreeable', 'welcoming')",-0.17149231,-0.2529356,-0.0454502,-0.1228661,-0.0774159
19,-0.8297956,-0.86000246,"('inhospitable', 'hospitable')",0.24342503,0.2984122,-0.2931853,-0.2807951,0.0123902
20,0.54324037,0.53723174,"('rough', 'thoughtful')",1.3791186,1.3074566,0.9611795,0.9223442,-0.0388353
21,-0.2541031,-0.32066926,"('immoral', 'moral')",-0.20124175,-0.14776474,-0.2276724,-0.234217,-0.0065446
22,-0.72917914,-0.8119687,"('untrustworthy', 'trustworthy')",-0.78990686,-0.8787372,-0.759543,-0.8453529,-0.0858099
23,-0.9968784,-1.034403,"('insincere', 'sincere')",4.9756107,4.9071465,1.9893662,1.9363718,-0.0529944
24,-0.6221635,-0.68841845,"('dishonest', 'honest')",0.7058989,0.6298773,0.0418677,-0.0292706,-0.0711383
25,0.44812083,0.41972965,"('egoistic', 'altruistic')",1.5873909,1.5287464,1.0177559,0.974238,-0.0435179
26,0.34789333,0.23372409,"('hardhearted', 'benevolent')",1.6572973,1.6108274,1.0025953,0.9222758,-0.0803195
