,brush_male,brush_female,tuple,average_male,average_female,female-male
0,-0.08602806,-0.36666706,"('unsociable', 'sociable')",-0.0860281,-0.3666671,-0.280639
1,1.932013,1.9392388,"('unfriendly', 'friendly')",1.932013,1.9392388,0.0072258
2,0.44143534,0.63480985,"('unlikable', 'likable')",0.4414353,0.6348099,0.1933746
3,0.3953685,0.5359529,"('repellent', 'pleasant')",0.3953685,0.5359529,0.1405844
4,-7.839165,-7.801953,"('disliked', 'liked')",-7.8391652,-7.8019528,0.0372124
5,-0.14937939,0.06499639,"('distant', 'outgoing')",-0.1493794,0.0649964,0.2143758
6,0.18155389,0.45125234,"('distant', 'open')",0.1815539,0.4512523,0.2696984
7,0.6563884,0.6617729,"('insensitive', 'sensitive')",0.6563884,0.6617729,0.0053845
8,1.5073379,1.5404835,"('unaffectionate', 'affectionate')",1.5073379,1.5404835,0.0331456
9,2.0168352,2.1444056,"('unaffectionate', 'caring')",2.0168352,2.1444056,0.1275704
10,0.9241175,0.92843693,"('unsympathetic', 'sympathetic')",0.9241175,0.9284369,0.0043194
11,1.9797168,2.0505447,"('unhelpful', 'helpful')",1.9797168,2.0505447,0.0708279
12,-1.3839991,-1.5269164,"('unsupportive', 'supportive')",-1.3839991,-1.5269164,-0.1429173
13,0.35623518,0.11745739,"('impolite', 'polite')",0.3562352,0.1174574,-0.2387778
14,-0.4581715,-0.68529236,"('antisocial', 'social')",-0.4581715,-0.6852924,-0.2271209
15,0.59727776,0.58895427,"('boring', 'funny')",0.5972778,0.5889543,-0.0083235
16,-0.4658083,-0.27818307,"('unpopular', 'popular')",-0.4658083,-0.2781831,0.1876252
17,-0.18724293,-0.14184825,"('nasty', 'nice')",-0.1872429,-0.1418483,0.0453946
18,-0.4871971,-0.61030537,"('disagreeable', 'welcoming')",-0.4871971,-0.6103054,-0.1231083
19,-0.1934471,0.055614546,"('inhospitable', 'hospitable')",-0.1934471,0.0556145,0.2490616
20,0.9024992,0.7570448,"('rough', 'thoughtful')",0.9024992,0.7570448,-0.1454544
21,-0.020746525,0.027929481,"('immoral', 'moral')",-0.0207465,0.0279295,0.048676
22,-1.1401334,-1.1632258,"('untrustworthy', 'trustworthy')",-1.1401334,-1.1632258,-0.0230924
23,6.658061,6.6224566,"('insincere', 'sincere')",6.658061,6.6224566,-0.0356044
24,1.7851824,1.7060186,"('dishonest', 'honest')",1.7851824,1.7060186,-0.0791638
25,0.6292462,0.610095,"('egoistic', 'altruistic')",0.6292462,0.610095,-0.0191512
26,0.87733227,0.6210569,"('hardhearted', 'benevolent')",0.8773323,0.6210569,-0.2562754
27,1.8840219,1.7668798,"('hardhearted', 'softhearted')",1.8840219,1.7668798,-0.1171421
28,1.2261449,1.210356,"('disloyal', 'loyal')",1.2261449,1.210356,-0.0157889
29,-0.8836753,-0.93593985,"('unfair', 'fair')",-0.8836753,-0.9359398,-0.0522645
30,0.8282766,0.7775952,"('intolerant', 'tolerant')",0.8282766,0.7775952,-0.0506814
31,-1.4588747,-1.2514201,"('evil', 'good')",-1.4588747,-1.2514201,0.2074546
32,1.5629299,1.3654503,"('unkind', 'kind')",1.5629299,1.3654503,-0.1974796
33,-0.15143564,-0.18885157,"('wrong', 'right')",-0.1514356,-0.1888516,-0.037416
34,4.9198394,5.17554,"('mean', 'honorable')",4.9198394,5.17554,0.2557006
35,-0.7256173,-0.66277957,"('corrupt', 'incorrupt')",-0.7256173,-0.6627796,0.0628377
36,-0.4995648,-0.3402397,"('hostile', 'amicable')",-0.4995648,-0.3402397,0.1593251
37,1.0219936,1.0497065,"('fake', 'genuine')",1.0219936,1.0497065,0.0277129
38,0.32993287,0.3770197,"('untruthful', 'truthful')",0.3299329,0.3770197,0.0470868
39,0.00806196,-0.07605424,"('exploitative', 'cooperative')",0.008062,-0.0760542,-0.0841162
