,secretary_male,secretary_female,tuple,average_male,average_female,female-male
0,1.3127158,1.1211512,"('unsociable', 'sociable')",1.3127158,1.1211512,-0.1915646
1,0.52089447,0.51010793,"('unfriendly', 'friendly')",0.5208945,0.5101079,-0.0107866
2,0.32886449,0.3964435,"('unlikable', 'likable')",0.3288645,0.3964435,0.067579
3,0.4462952,0.46939,"('repellent', 'pleasant')",0.4462952,0.46939,0.0230948
4,-6.0560164,-6.2381506,"('disliked', 'liked')",-6.0560164,-6.2381506,-0.1821342
5,-1.5419949,-1.491734,"('distant', 'outgoing')",-1.5419949,-1.491734,0.0502609
6,-1.2187189,-1.1461815,"('distant', 'open')",-1.2187189,-1.1461815,0.0725374
7,1.990057,1.9081352,"('insensitive', 'sensitive')",1.990057,1.9081352,-0.0819218
8,0.578421,0.56634307,"('unaffectionate', 'affectionate')",0.578421,0.5663431,-0.0120779
9,1.0073096,1.0340058,"('unaffectionate', 'caring')",1.0073096,1.0340058,0.0266962
10,1.1109953,1.0951021,"('unsympathetic', 'sympathetic')",1.1109953,1.0951021,-0.0158932
11,2.9421618,2.9137712,"('unhelpful', 'helpful')",2.9421618,2.9137712,-0.0283906
12,-0.6059527,-0.716328,"('unsupportive', 'supportive')",-0.6059527,-0.716328,-0.1103753
13,0.6438663,0.58450174,"('impolite', 'polite')",0.6438663,0.5845017,-0.0593646
14,1.1186404,1.0369868,"('antisocial', 'social')",1.1186404,1.0369868,-0.0816536
15,0.31336886,0.19170028,"('boring', 'funny')",0.3133689,0.1917003,-0.1216686
16,-0.36110896,-0.31392965,"('unpopular', 'popular')",-0.361109,-0.3139296,0.0471794
17,0.08095825,0.126269,"('nasty', 'nice')",0.0809582,0.126269,0.0453108
18,-0.9452212,-0.93697834,"('disagreeable', 'welcoming')",-0.9452212,-0.9369783,0.0082429
19,-0.76372075,-0.71900976,"('inhospitable', 'hospitable')",-0.7637208,-0.7190098,0.044711
20,0.87929213,0.90940785,"('rough', 'thoughtful')",0.8792921,0.9094079,0.0301158
21,0.6425994,0.57068455,"('immoral', 'moral')",0.6425994,0.5706846,-0.0719148
22,0.77348304,0.66769487,"('untrustworthy', 'trustworthy')",0.773483,0.6676949,-0.1057881
23,6.5013785,6.5513744,"('insincere', 'sincere')",6.5013785,6.5513744,0.0499959
24,1.1901275,1.2205156,"('dishonest', 'honest')",1.1901275,1.2205156,0.0303881
25,0.21943954,0.20130643,"('egoistic', 'altruistic')",0.2194395,0.2013064,-0.0181331
26,1.8000599,1.6802826,"('hardhearted', 'benevolent')",1.8000599,1.6802826,-0.1197773
27,0.7124176,0.6318469,"('hardhearted', 'softhearted')",0.7124176,0.6318469,-0.0805707
28,1.136402,1.102247,"('disloyal', 'loyal')",1.136402,1.102247,-0.034155
29,-0.8981688,-1.0038464,"('unfair', 'fair')",-0.8981688,-1.0038464,-0.1056776
30,1.3470035,1.3001686,"('intolerant', 'tolerant')",1.3470035,1.3001686,-0.0468349
31,-2.8515685,-2.8031092,"('evil', 'good')",-2.8515685,-2.8031092,0.0484593
32,1.5585382,1.5376996,"('unkind', 'kind')",1.5585382,1.5376996,-0.0208386
33,-0.83830947,-0.8423298,"('wrong', 'right')",-0.8383095,-0.8423298,-0.0040203
34,4.8309984,5.0534577,"('mean', 'honorable')",4.8309984,5.0534577,0.2224593
35,-1.4136913,-1.4367999,"('corrupt', 'incorrupt')",-1.4136913,-1.4367999,-0.0231086
36,-1.2291317,-1.2306069,"('hostile', 'amicable')",-1.2291317,-1.2306069,-0.0014752
37,0.691227,0.6480979,"('fake', 'genuine')",0.691227,0.6480979,-0.0431291
38,0.98821676,0.9969029,"('untruthful', 'truthful')",0.9882168,0.9969029,0.0086861
39,0.23357306,0.20107032,"('exploitative', 'cooperative')",0.2335731,0.2010703,-0.0325028
40,-2.329466,-2.4720926,"('stingy', 'generous')",-2.3294661,-2.4720926,-0.1426265
