,kroger_male,kroger_female,tuple,company_male,company_female,average_male,average_female,female-male
0,-1.020604,-1.1083477,"('unsociable', 'sociable')",0.29827952,0.252217,-0.3611622,-0.4280653,-0.0669031
1,-0.83273906,-0.9374301,"('unfriendly', 'friendly')",1.2727308,1.1665647,0.2199959,0.1145673,-0.1054286
2,0.8560603,0.8852472,"('unlikable', 'likable')",0.47307092,0.60161996,0.6645656,0.7434336,0.078868
3,-0.91792846,-0.9065658,"('repellent', 'pleasant')",0.50424975,0.5186926,-0.2068394,-0.1939366,0.0129028
4,0.43523827,0.30791897,"('disliked', 'liked')",-6.8535724,-6.8142695,-3.209167,-3.2531753,-0.0440083
5,0.7460803,0.7739942,"('distant', 'outgoing')",-1.568864,-1.563501,-0.4113919,-0.3947534,0.0166385
6,0.54273975,0.56332874,"('distant', 'open')",-1.3084164,-1.3639599,-0.3828383,-0.4003156,-0.0174773
7,-1.2234591,-1.2504629,"('insensitive', 'sensitive')",0.48648295,0.49303037,-0.3684881,-0.3787163,-0.0102282
8,0.07463312,0.053797565,"('unaffectionate', 'affectionate')",0.6270404,0.5820245,0.3508368,0.317911,-0.0329258
9,-0.38093838,-0.43362838,"('unaffectionate', 'caring')",0.9519853,0.920191,0.2855235,0.2432813,-0.0422422
10,-2.3209777,-2.3600998,"('unsympathetic', 'sympathetic')",0.08946949,0.07756913,-1.1157541,-1.1412654,-0.0255113
11,-1.3272964,-1.3647343,"('unhelpful', 'helpful')",2.3650532,2.351973,0.5188784,0.4936194,-0.025259
12,-1.2442627,-1.2265457,"('unsupportive', 'supportive')",-1.797748,-1.6628212,-1.5210054,-1.4446834,0.076322
13,-1.1498066,-1.1881361,"('impolite', 'polite')",0.1815089,0.18446508,-0.4841489,-0.5018355,-0.0176866
14,-0.7128965,-0.8167665,"('antisocial', 'social')",0.73025966,0.70736736,0.0086816,-0.0546996,-0.0633812
15,0.49648714,0.4543669,"('boring', 'funny')",0.6406136,0.6115721,0.5685503,0.5329695,-0.0355808
16,0.45129186,0.43651357,"('unpopular', 'popular')",0.25201035,0.20563984,0.3516511,0.3210767,-0.0305744
17,-0.409756,-0.28657076,"('nasty', 'nice')",-0.35415292,-0.3348468,-0.3819545,-0.3107088,0.0712457
18,-0.024797887,-0.10496466,"('disagreeable', 'welcoming')",-0.82904226,-0.8907119,-0.4269201,-0.4978383,-0.0709182
19,0.07756939,0.10459845,"('inhospitable', 'hospitable')",-0.649374,-0.62719715,-0.2859023,-0.2612993,0.024603
20,-0.33121216,-0.32437247,"('rough', 'thoughtful')",0.6772363,0.6517806,0.1730121,0.1637041,-0.009308
21,-0.72434163,-0.7807636,"('immoral', 'moral')",0.4528765,0.5234705,-0.1357326,-0.1286466,0.007086
22,-1.1649275,-1.2373829,"('untrustworthy', 'trustworthy')",-0.77366614,-0.83332306,-0.9692968,-1.0353529,-0.0660561
23,-1.0646218,-1.1081954,"('insincere', 'sincere')",6.306398,6.1227202,2.620888,2.5072625,-0.1136255
24,-0.62513536,-0.698909,"('dishonest', 'honest')",0.7608779,0.6931139,0.0678713,-0.0028975,-0.0707688
25,0.7053989,0.7152916,"('egoistic', 'altruistic')",1.0317825,0.9975687,0.8685907,0.8564302,-0.0121605
26,-0.0588886,-0.1389955,"('hardhearted', 'benevolent')",1.3456607,1.3163593,0.6433861,0.5886819,-0.0547042
27,-0.4135766,-0.43102938,"('hardhearted', 'softhearted')",0.48544315,0.38205746,0.0359333,-0.024486,-0.0604193
28,-0.428761,-0.5825707,"('disloyal', 'loyal')",1.617665,1.4580934,0.594452,0.4377614,-0.1566906
29,-0.38360262,-0.42165622,"('unfair', 'fair')",-1.2579056,-1.4097828,-0.8207541,-0.9157195,-0.0949654
30,-0.6495051,-0.7180531,"('intolerant', 'tolerant')",1.2773846,1.3231257,0.3139398,0.3025363,-0.0114035
31,0.40945753,0.5119161,"('evil', 'good')",-1.827677,-1.816486,-0.7091097,-0.652285,0.0568247
32,-0.5010178,-0.5986772,"('unkind', 'kind')",1.5079268,1.3501848,0.5034545,0.3757538,-0.1277007
33,0.54713017,0.46795854,"('wrong', 'right')",-0.35866418,-0.45060593,0.094233,0.0086763,-0.0855567
34,-0.2948123,-0.20299971,"('mean', 'honorable')",5.0644507,5.0578647,2.3848193,2.4274325,0.0426132
35,1.3679562,1.3577523,"('corrupt', 'incorrupt')",-1.163761,-1.316272,0.1020976,0.0207402,-0.0813574
36,0.59882927,0.51412463,"('hostile', 'amicable')",-0.77134305,-0.95611066,-0.0862569,-0.220993,-0.1347361
37,-0.3477429,-0.33929133,"('fake', 'genuine')",0.20651121,0.17022248,-0.0706158,-0.0845344,-0.0139186
