,beam_male,beam_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.68104434,0.5522099,"('unsociable', 'sociable')",0.05581627,-0.075234085,0.3684303,0.2384879,-0.1299424
1,-0.09713496,-0.004375414,"('unfriendly', 'friendly')",1.4569149,1.4012811,0.67989,0.6984528,0.0185628
2,-0.02807808,0.019589588,"('unlikable', 'likable')",0.118080154,0.18691508,0.045001,0.1032523,0.0582513
3,0.4671121,0.51922727,"('repellent', 'pleasant')",0.02874375,0.1014384,0.2479279,0.3103328,0.0624049
4,-1.4550494,-1.4927791,"('disliked', 'liked')",-6.285867,-6.4873543,-3.8704584,-3.9900668,-0.1196084
5,-1.7101927,-1.5892886,"('distant', 'outgoing')",-0.5489887,-0.5781519,-1.1295907,-1.0837202,0.0458705
6,-2.3791537,-2.2101817,"('distant', 'open')",-0.27787316,-0.30220222,-1.3285134,-1.256192,0.0723214
7,1.6202978,1.6067377,"('insensitive', 'sensitive')",0.75002223,0.82355815,1.18516,1.215148,0.029988
8,-0.15682118,-0.05266405,"('unaffectionate', 'affectionate')",1.0002359,0.9153196,0.4217074,0.4313278,0.0096204
9,0.63465667,0.789807,"('unaffectionate', 'caring')",0.9944339,0.9828063,0.8145453,0.8863066,0.0717613
10,1.8674544,1.846755,"('unsympathetic', 'sympathetic')",-0.45308992,-0.46189365,0.7071822,0.6924307,-0.0147515
11,1.0758377,1.1649138,"('unhelpful', 'helpful')",1.65989,1.7606429,1.3678639,1.4627783,0.0949144
12,1.5610647,1.573471,"('unsupportive', 'supportive')",-1.7404578,-1.7604322,-0.0896965,-0.0934806,-0.0037841
13,0.855781,0.7929236,"('impolite', 'polite')",-0.7430792,-0.7084588,0.0563509,0.0422324,-0.0141185
14,1.8535289,1.6528983,"('antisocial', 'social')",-0.09708898,-0.12013741,0.87822,0.7663804,-0.1118396
15,-0.011492331,-0.0028797314,"('boring', 'funny')",0.4454036,0.3880136,0.2169556,0.1925669,-0.0243887
16,-1.9092473,-1.913067,"('unpopular', 'popular')",0.13649306,0.13280901,-0.8863771,-0.890129,-0.0037519
17,-0.49866682,-0.40252388,"('nasty', 'nice')",-0.49805307,-0.47481143,-0.4983599,-0.4386677,0.0596922
18,-0.37282366,-0.40968627,"('disagreeable', 'welcoming')",-0.3332552,-0.38462558,-0.3530394,-0.3971559,-0.0441165
19,-1.4548082,-1.3683131,"('inhospitable', 'hospitable')",-0.4474543,-0.38564017,-0.9511313,-0.8769766,0.0741547
20,0.8459478,0.78402805,"('rough', 'thoughtful')",1.221288,1.1796172,1.0336179,0.9818226,-0.0517953
21,1.1177745,1.0177207,"('immoral', 'moral')",-0.47079274,-0.42058694,0.3234909,0.2985669,-0.024924
22,0.9089859,0.78870606,"('untrustworthy', 'trustworthy')",-0.57837313,-0.63034534,0.1653064,0.0791804,-0.086126
23,2.0149853,1.9905204,"('insincere', 'sincere')",5.5895324,5.659151,3.802259,3.8248358,0.0225768
24,1.0269414,0.97075355,"('dishonest', 'honest')",0.4672387,0.46719128,0.74709,0.7189724,-0.0281176
25,-0.5326317,-0.47649044,"('egoistic', 'altruistic')",1.5056456,1.4774259,0.486507,0.5004678,0.0139608
26,0.7853641,0.76745665,"('hardhearted', 'benevolent')",1.8332204,1.8155243,1.3092922,1.2914906,-0.0178016
27,0.54702103,0.51548517,"('hardhearted', 'softhearted')",1.2166216,1.1189128,0.8818213,0.817199,-0.0646223
28,0.4702993,0.46299076,"('disloyal', 'loyal')",1.3802457,1.2978988,0.9252725,0.8804448,-0.0448277
29,-0.37097692,-0.48429602,"('unfair', 'fair')",-0.47885042,-0.59014523,-0.4249137,-0.5372206,-0.1123069
30,1.649858,1.5700899,"('intolerant', 'tolerant')",1.3626559,1.3372953,1.5062569,1.4536927,-0.0525642
31,-2.4213517,-2.2452703,"('evil', 'good')",-0.98644745,-1.0726994,-1.7038996,-1.6589849,0.0449147
32,1.1959337,1.1836926,"('unkind', 'kind')",0.7285865,0.63242245,0.9622601,0.9080575,-0.0542026
33,-0.43166748,-0.48420906,"('wrong', 'right')",-0.6504331,-0.7056688,-0.5410503,-0.5949389,-0.0538886
34,-0.47470427,-0.35867566,"('mean', 'honorable')",5.3159204,5.519041,2.420608,2.5801828,0.1595748
35,-1.4436244,-1.4757637,"('corrupt', 'incorrupt')",-0.09751966,-0.24099474,-0.770572,-0.8583792,-0.0878072
36,-2.161972,-2.0439775,"('hostile', 'amicable')",-0.10168392,-0.27158627,-1.131828,-1.1577818,-0.0259538
37,-0.15650083,-0.16425702,"('fake', 'genuine')",0.60157573,0.6035751,0.2225375,0.219659,-0.0028785
38,-0.007890817,0.051470265,"('untruthful', 'truthful')",-0.54180425,-0.49442995,-0.2748475,-0.2214798,0.0533677
39,2.2851055,2.3732872,"('exploitative', 'cooperative')",0.28183982,0.27698952,1.2834727,1.3251383,0.0416656
