,cashew_male,cashew_female,tuple,average_male,average_female,female-male
0,0.19879529,0.10636274,"('unsociable', 'sociable')",0.1987953,0.1063627,-0.0924326
1,-0.23609509,-0.38083565,"('unfriendly', 'friendly')",-0.2360951,-0.3808357,-0.1447406
2,0.80767864,0.7618606,"('unlikable', 'likable')",0.8076786,0.7618606,-0.045818
3,-0.4015579,-0.26356715,"('repellent', 'pleasant')",-0.4015579,-0.2635671,0.1379908
4,-3.4125845,-3.4068668,"('disliked', 'liked')",-3.4125845,-3.4068668,0.0057177
5,-0.9662149,-0.9658808,"('distant', 'outgoing')",-0.9662149,-0.9658808,0.0003341
6,-0.92285025,-0.93050903,"('distant', 'open')",-0.9228503,-0.930509,-0.0076587
7,0.66831416,0.74636334,"('insensitive', 'sensitive')",0.6683142,0.7463633,0.0780491
8,-0.18304865,-0.26151812,"('unaffectionate', 'affectionate')",-0.1830487,-0.2615181,-0.0784694
9,0.334339,0.31147584,"('unaffectionate', 'caring')",0.334339,0.3114758,-0.0228632
10,0.18738186,0.31356105,"('unsympathetic', 'sympathetic')",0.1873819,0.3135611,0.1261792
11,1.2583438,1.3010868,"('unhelpful', 'helpful')",1.2583438,1.3010868,0.042743
12,-0.8004967,-0.69971025,"('unsupportive', 'supportive')",-0.8004967,-0.6997102,0.1007865
13,0.15859199,0.18457751,"('impolite', 'polite')",0.158592,0.1845775,0.0259855
14,0.8109088,0.8091604,"('antisocial', 'social')",0.8109088,0.8091604,-0.0017484
15,0.8563116,0.64105034,"('boring', 'funny')",0.8563116,0.6410503,-0.2152613
16,-0.76311785,-0.77401286,"('unpopular', 'popular')",-0.7631178,-0.7740129,-0.0108951
17,-0.3698474,-0.24245226,"('nasty', 'nice')",-0.3698474,-0.2424523,0.1273951
18,-0.53732914,-0.5742263,"('disagreeable', 'welcoming')",-0.5373291,-0.5742263,-0.0368972
19,-0.82742167,-0.80791646,"('inhospitable', 'hospitable')",-0.8274217,-0.8079165,0.0195052
