,teenager_male,teenager_female,tuple,average_male,average_female,female-male
0,0.4656288,0.4009693,"('unsociable', 'sociable')",0.4656288,0.4009693,-0.0646595
1,0.73191,0.78442156,"('unfriendly', 'friendly')",0.73191,0.7844216,0.0525116
2,0.051468574,0.22986965,"('unlikable', 'likable')",0.0514686,0.2298696,0.178401
3,1.0361714,1.1277733,"('repellent', 'pleasant')",1.0361714,1.1277733,0.0916019
4,-7.1297956,-7.389872,"('disliked', 'liked')",-7.1297956,-7.3898721,-0.2600765
5,-0.6228437,-0.5508852,"('distant', 'outgoing')",-0.6228437,-0.5508852,0.0719585
6,-0.2877425,-0.27479175,"('distant', 'open')",-0.2877425,-0.2747917,0.0129508
7,1.4325546,1.5322534,"('insensitive', 'sensitive')",1.4325546,1.5322534,0.0996988
8,0.6841523,0.70504576,"('unaffectionate', 'affectionate')",0.6841523,0.7050458,0.0208935
9,1.0092705,1.126486,"('unaffectionate', 'caring')",1.0092705,1.1264859,0.1172154
10,1.1921191,1.2434726,"('unsympathetic', 'sympathetic')",1.1921191,1.2434726,0.0513535
11,1.5800296,1.674997,"('unhelpful', 'helpful')",1.5800296,1.674997,0.0949674
12,-1.4665219,-1.3922721,"('unsupportive', 'supportive')",-1.4665219,-1.3922721,0.0742498
13,0.19482356,0.3458277,"('impolite', 'polite')",0.1948236,0.3458277,0.1510041
14,0.50785196,0.4380738,"('antisocial', 'social')",0.507852,0.4380738,-0.0697782
15,0.43986815,0.37795714,"('boring', 'funny')",0.4398682,0.3779571,-0.0619111
16,-0.88220614,-0.8183054,"('unpopular', 'popular')",-0.8822061,-0.8183054,0.0639007
17,-0.19816169,-0.20998284,"('nasty', 'nice')",-0.1981617,-0.2099828,-0.0118211
18,-0.3963818,-0.2918468,"('disagreeable', 'welcoming')",-0.3963818,-0.2918468,0.104535
19,-0.9891699,-0.8626114,"('inhospitable', 'hospitable')",-0.9891699,-0.8626114,0.1265585
20,0.71900487,0.6042787,"('rough', 'thoughtful')",0.7190049,0.6042787,-0.1147262
