,objection_male,objection_female,tuple,average_male,average_female,female-male
0,0.20398007,0.1323047,"('unsociable', 'sociable')",0.2039801,0.1323047,-0.0716754
1,0.49167094,0.36527494,"('unfriendly', 'friendly')",0.4916709,0.3652749,-0.126396
2,-0.26864293,-0.14452943,"('unlikable', 'likable')",-0.2686429,-0.1445294,0.1241135
3,0.97209036,1.014961,"('repellent', 'pleasant')",0.9720904,1.014961,0.0428706
4,-7.3824472,-7.5006323,"('disliked', 'liked')",-7.3824472,-7.5006323,-0.1181851
5,-1.293172,-1.2815123,"('distant', 'outgoing')",-1.293172,-1.2815123,0.0116597
6,-0.7402662,-0.8348665,"('distant', 'open')",-0.7402662,-0.8348665,-0.0946003
7,1.3563573,1.3528184,"('insensitive', 'sensitive')",1.3563573,1.3528184,-0.0035389
8,0.5677452,0.4366339,"('unaffectionate', 'affectionate')",0.5677452,0.4366339,-0.1311113
9,1.1758047,1.1968362,"('unaffectionate', 'caring')",1.1758047,1.1968362,0.0210315
10,1.6457347,1.6714677,"('unsympathetic', 'sympathetic')",1.6457347,1.6714677,0.025733
11,2.014257,2.107329,"('unhelpful', 'helpful')",2.014257,2.1073289,0.0930719
12,-1.8107342,-1.7839973,"('unsupportive', 'supportive')",-1.8107342,-1.7839973,0.0267369
13,0.15718949,0.22737747,"('impolite', 'polite')",0.1571895,0.2273775,0.070188
14,0.14410889,0.16809277,"('antisocial', 'social')",0.1441089,0.1680928,0.0239839
15,-0.08578134,-0.14102095,"('boring', 'funny')",-0.0857813,-0.141021,-0.0552397
16,-0.4731471,-0.5519634,"('unpopular', 'popular')",-0.4731471,-0.5519634,-0.0788163
17,0.015461523,-0.004051566,"('nasty', 'nice')",0.0154615,-0.0040516,-0.0195131
18,-0.9835719,-0.9747338,"('disagreeable', 'welcoming')",-0.9835719,-0.9747338,0.0088381
19,-1.3184403,-1.3275976,"('inhospitable', 'hospitable')",-1.3184403,-1.3275976,-0.0091573
20,0.9331085,0.866122,"('rough', 'thoughtful')",0.9331085,0.866122,-0.0669865
21,0.10484917,0.286027,"('immoral', 'moral')",0.1048492,0.286027,0.1811778
22,0.01973942,0.044215776,"('untrustworthy', 'trustworthy')",0.0197394,0.0442158,0.0244764
23,5.8975554,5.9891286,"('insincere', 'sincere')",5.8975554,5.9891286,0.0915732
24,1.6682268,1.6651796,"('dishonest', 'honest')",1.6682268,1.6651796,-0.0030472
25,-0.0220007,-0.13644275,"('egoistic', 'altruistic')",-0.0220007,-0.1364428,-0.1144421
26,0.9795478,0.7371172,"('hardhearted', 'benevolent')",0.9795478,0.7371172,-0.2424306
27,1.6367724,1.3845748,"('hardhearted', 'softhearted')",1.6367724,1.3845748,-0.2521976
28,1.1720992,1.1070373,"('disloyal', 'loyal')",1.1720992,1.1070373,-0.0650619
29,-0.40194535,-0.53529584,"('unfair', 'fair')",-0.4019454,-0.5352958,-0.1333504
30,0.9611936,1.0716094,"('intolerant', 'tolerant')",0.9611936,1.0716094,0.1104158
31,-1.8777537,-2.0376313,"('evil', 'good')",-1.8777537,-2.0376313,-0.1598776
32,1.383917,1.2706591,"('unkind', 'kind')",1.383917,1.2706591,-0.1132579
33,-0.7467787,-0.802329,"('wrong', 'right')",-0.7467787,-0.802329,-0.0555503
34,4.404505,4.5763755,"('mean', 'honorable')",4.4045048,4.5763755,0.1718707
35,-1.3013755,-1.626079,"('corrupt', 'incorrupt')",-1.3013755,-1.626079,-0.3247035
36,-1.2595,-1.4403858,"('hostile', 'amicable')",-1.2595,-1.4403858,-0.1808858
37,0.91484815,0.8832927,"('fake', 'genuine')",0.9148481,0.8832927,-0.0315554
38,-0.5911691,-0.47835052,"('untruthful', 'truthful')",-0.5911691,-0.4783505,0.1128186
39,0.409112,0.43827063,"('exploitative', 'cooperative')",0.409112,0.4382706,0.0291586
40,-1.5772169,-1.8232057,"('stingy', 'generous')",-1.5772169,-1.8232057,-0.2459888
41,0.21083525,0.2054999,"('unforgiving', 'forgiving')",0.2108352,0.2054999,-0.0053353
42,-1.6907855,-1.6859056,"('unreliable', 'reliable')",-1.6907855,-1.6859056,0.0048799
43,1.1473721,1.3310008,"('irresponsible', 'responsible')",1.1473721,1.3310008,0.1836287
44,-1.010031,-1.0218381,"('prejudiced', 'unprejudiced')",-1.010031,-1.0218381,-0.0118071
45,0.81607604,0.7033351,"('incompetent', 'competent')",0.816076,0.7033351,-0.1127409
46,0.10701852,0.16134237,"('uncompetitive', 'competitive')",0.1070185,0.1613424,0.0543239
47,5.0070133,5.126267,"('stupid', 'smart')",5.0070133,5.126267,0.1192537
48,0.7710221,0.7580682,"('unintelligent', 'intelligent')",0.7710221,0.7580682,-0.0129539
49,-0.32541505,-0.17953584,"('unable', 'able')",-0.325415,-0.1795358,0.1458792
50,-0.6126618,-0.66378784,"('clumsy', 'skillful')",-0.6126618,-0.6637878,-0.051126
51,0.41000587,0.38239288,"('uneducated', 'educated')",0.4100059,0.3823929,-0.027613
52,-0.63211286,-0.8759732,"('irrational', 'rational')",-0.6321129,-0.8759732,-0.2438603
