,bedroom_male,bedroom_female,tuple,average_male,average_female,female-male
0,0.35644603,-0.03678606,"('unsociable', 'sociable')",0.356446,-0.0367861,-0.3932321
1,0.59994596,0.9221707,"('unfriendly', 'friendly')",0.599946,0.9221707,0.3222247
2,-0.148373,0.07650477,"('unlikable', 'likable')",-0.148373,0.0765048,0.2248778
3,0.8146736,0.8114302,"('repellent', 'pleasant')",0.8146736,0.8114302,-0.0032434
4,-7.1289945,-7.3613706,"('disliked', 'liked')",-7.1289945,-7.3613706,-0.2323761
5,-0.77555734,-0.41766346,"('distant', 'outgoing')",-0.7755573,-0.4176635,0.3578938
6,-0.4429071,-0.15539084,"('distant', 'open')",-0.4429071,-0.1553908,0.2875163
7,1.3092613,1.2122856,"('insensitive', 'sensitive')",1.3092613,1.2122856,-0.0969757
8,0.68716466,0.93595386,"('unaffectionate', 'affectionate')",0.6871647,0.9359539,0.2487892
9,1.0756961,1.3920754,"('unaffectionate', 'caring')",1.0756961,1.3920754,0.3163793
10,1.0778222,0.8134994,"('unsympathetic', 'sympathetic')",1.0778222,0.8134994,-0.2643228
11,1.6096439,1.7344606,"('unhelpful', 'helpful')",1.6096439,1.7344606,0.1248167
12,-1.4284531,-1.3625746,"('unsupportive', 'supportive')",-1.4284531,-1.3625746,0.0658785
13,-0.037700526,-0.116360806,"('impolite', 'polite')",-0.0377005,-0.1163608,-0.0786603
14,0.7437922,0.48083842,"('antisocial', 'social')",0.7437922,0.4808384,-0.2629538
15,0.3677267,0.43698344,"('boring', 'funny')",0.3677267,0.4369834,0.0692567
16,-1.0835532,-0.89206886,"('unpopular', 'popular')",-1.0835532,-0.8920689,0.1914843
17,0.054405607,0.025688557,"('nasty', 'nice')",0.0544056,0.0256886,-0.028717
18,-0.6539489,-0.5386461,"('disagreeable', 'welcoming')",-0.6539489,-0.5386461,0.1153028
19,-0.9428213,-0.61959237,"('inhospitable', 'hospitable')",-0.9428213,-0.6195924,0.3232289
20,0.6728906,0.5211532,"('rough', 'thoughtful')",0.6728906,0.5211532,-0.1517374
