,tattoo_male,tattoo_female,tuple,average_male,average_female,female-male
0,-0.23980445,-0.2667686,"('unsociable', 'sociable')",-0.2398044,-0.2667686,-0.0269642
1,1.7224766,1.8317226,"('unfriendly', 'friendly')",1.7224766,1.8317226,0.109246
2,-0.07635644,0.08009304,"('unlikable', 'likable')",-0.0763564,0.080093,0.1564494
3,0.20268343,0.09763186,"('repellent', 'pleasant')",0.2026834,0.0976319,-0.1050515
4,-7.4858885,-7.491908,"('disliked', 'liked')",-7.4858885,-7.4919081,-0.0060196
5,-0.5112849,-0.4719575,"('distant', 'outgoing')",-0.5112849,-0.4719575,0.0393274
6,0.1776049,0.18133286,"('distant', 'open')",0.1776049,0.1813329,0.003728
7,0.39021635,0.39091137,"('insensitive', 'sensitive')",0.3902164,0.3909114,0.000695
8,1.6722544,1.5714128,"('unaffectionate', 'affectionate')",1.6722544,1.5714128,-0.1008416
9,2.0527737,2.1161635,"('unaffectionate', 'caring')",2.0527737,2.1161635,0.0633898
10,0.41630122,0.2966817,"('unsympathetic', 'sympathetic')",0.4163012,0.2966817,-0.1196195
11,1.3395721,1.5123025,"('unhelpful', 'helpful')",1.3395721,1.5123025,0.1727304
12,-1.7393966,-1.7159235,"('unsupportive', 'supportive')",-1.7393966,-1.7159235,0.0234731
13,-0.49236852,-0.49997038,"('impolite', 'polite')",-0.4923685,-0.4999704,-0.0076019
14,-0.16431029,-0.21279508,"('antisocial', 'social')",-0.1643103,-0.2127951,-0.0484848
15,0.5119371,0.5206611,"('boring', 'funny')",0.5119371,0.5206611,0.008724
16,-0.39929155,-0.34002703,"('unpopular', 'popular')",-0.3992915,-0.340027,0.0592645
17,-0.5270627,-0.5038733,"('nasty', 'nice')",-0.5270627,-0.5038733,0.0231894
18,-0.6509567,-0.7656371,"('disagreeable', 'welcoming')",-0.6509567,-0.7656371,-0.1146804
19,-0.58990085,-0.4927145,"('inhospitable', 'hospitable')",-0.5899009,-0.4927145,0.0971864
20,0.69066745,0.5062011,"('rough', 'thoughtful')",0.6906675,0.5062011,-0.1844664
