,interaction_male,interaction_female,tuple,average_male,average_female,female-male
0,0.50775003,0.37579182,"('unsociable', 'sociable')",0.50775,0.3757918,-0.1319582
1,1.0022596,0.89972055,"('unfriendly', 'friendly')",1.0022596,0.8997205,-0.1025391
2,0.52138025,0.74748063,"('unlikable', 'likable')",0.5213802,0.7474806,0.2261004
3,0.98006815,1.0871022,"('repellent', 'pleasant')",0.9800681,1.0871022,0.1070341
4,-7.169134,-7.0521255,"('disliked', 'liked')",-7.1691341,-7.0521255,0.1170086
5,-0.43912208,-0.24833219,"('distant', 'outgoing')",-0.4391221,-0.2483322,0.1907899
6,-0.24711125,-0.115797065,"('distant', 'open')",-0.2471112,-0.1157971,0.1313141
7,0.8412823,0.821805,"('insensitive', 'sensitive')",0.8412823,0.821805,-0.0194773
8,0.8437101,0.71613914,"('unaffectionate', 'affectionate')",0.8437101,0.7161391,-0.127571
9,1.713599,1.6105117,"('unaffectionate', 'caring')",1.713599,1.6105117,-0.1030873
10,1.529931,1.4888306,"('unsympathetic', 'sympathetic')",1.5299309,1.4888306,-0.0411003
11,2.5430686,2.437244,"('unhelpful', 'helpful')",2.5430686,2.4372439,-0.1058247
12,-1.343547,-1.3222535,"('unsupportive', 'supportive')",-1.343547,-1.3222535,0.0212935
13,0.680893,0.65984416,"('impolite', 'polite')",0.680893,0.6598442,-0.0210488
14,0.34888285,0.13806865,"('antisocial', 'social')",0.3488829,0.1380686,-0.2108143
15,0.55642176,0.5074251,"('boring', 'funny')",0.5564218,0.5074251,-0.0489967
16,-0.28793094,-0.25038525,"('unpopular', 'popular')",-0.2879309,-0.2503853,0.0375456
17,-0.21934229,-0.07162123,"('nasty', 'nice')",-0.2193423,-0.0716212,0.1477211
18,-0.5901645,-0.6165026,"('disagreeable', 'welcoming')",-0.5901645,-0.6165026,-0.0263381
19,-0.92542005,-0.6591655,"('inhospitable', 'hospitable')",-0.92542,-0.6591655,0.2662545
20,0.8627168,0.6495344,"('rough', 'thoughtful')",0.8627168,0.6495344,-0.2131824
21,0.33306426,0.39976597,"('immoral', 'moral')",0.3330643,0.399766,0.0667017
22,0.008793887,0.046404734,"('untrustworthy', 'trustworthy')",0.0087939,0.0464047,0.0376108
23,6.383273,6.296646,"('insincere', 'sincere')",6.3832731,6.2966461,-0.086627
24,1.7742219,1.7531629,"('dishonest', 'honest')",1.7742219,1.7531629,-0.021059
25,0.37552083,0.32725373,"('egoistic', 'altruistic')",0.3755208,0.3272537,-0.0482671
