,ipg_male,ipg_female,tuple,photonics_male,photonics_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.50794643,-0.6480071,"('unsociable', 'sociable')",-0.35406533,-0.4531517,0.062443048,-0.098592736,-0.2665229,-0.3999172,-0.1333943
1,-2.2174149,-2.2748625,"('unfriendly', 'friendly')",-0.32095316,-0.43968272,0.7564766,0.66086745,-0.5939638,-0.6845593,-0.0905955
2,1.2106102,1.187334,"('unlikable', 'likable')",0.7207652,0.72131634,1.0558314,1.0310802,0.9957356,0.9799102,-0.0158254
3,0.038797766,0.031955898,"('repellent', 'pleasant')",-0.8668771,-0.77644134,1.0241349,1.0000272,0.0653518,0.0851806,0.0198288
4,-0.011471188,-0.047857918,"('disliked', 'liked')",0.4286442,0.3555758,-6.188713,-6.416896,-1.9238467,-2.0363927,-0.112546
5,-1.5032895,-1.4484518,"('distant', 'outgoing')",-0.90573317,-0.83739436,-1.3595792,-1.3038675,-1.2562006,-1.1965712,0.0596294
6,-1.748162,-1.6644431,"('distant', 'open')",-1.4143095,-1.3431644,-1.5069343,-1.4747833,-1.5564686,-1.4941303,0.0623383
7,-0.35108817,-0.41767788,"('insensitive', 'sensitive')",-0.20067191,-0.22728729,0.3612654,0.341066,-0.0634982,-0.1012997,-0.0378015
8,-1.6871847,-1.7145048,"('unaffectionate', 'affectionate')",-0.49000278,-0.5618082,-0.052934505,-0.12089632,-0.743374,-0.7990698,-0.0556958
9,-1.397952,-1.4728473,"('unaffectionate', 'caring')",-0.46291807,-0.5221968,0.55823183,0.5249952,-0.4342127,-0.4900163,-0.0558036
10,-1.4664978,-1.525429,"('unsympathetic', 'sympathetic')",-1.5704038,-1.6180507,-0.5996801,-0.5986171,-1.2121939,-1.2473656,-0.0351717
11,0.42981556,0.3304182,"('unhelpful', 'helpful')",0.2857976,0.17748973,2.0670235,2.014114,0.9275455,0.8406739,-0.0868716
12,-0.18289876,-0.1343509,"('unsupportive', 'supportive')",-0.20602557,-0.07848878,-2.2279537,-2.2439768,-0.8722927,-0.8189388,0.0533539
13,0.2588441,0.22274071,"('impolite', 'polite')",-0.22836551,-0.22329684,-0.43448046,-0.459156,-0.1346673,-0.1532374,-0.0185701
14,0.8813916,0.87042207,"('antisocial', 'social')",0.5434396,0.55248904,0.67521966,0.55962205,0.700017,0.6608444,-0.0391726
15,0.30980936,0.21014221,"('boring', 'funny')",0.9297689,0.7729612,0.40706283,0.3494521,0.5488803,0.4441852,-0.1046951
