,prey_male,prey_female,tuple,average_male,average_female,female-male
0,0.32891175,0.1994341,"('unsociable', 'sociable')",0.3289118,0.1994341,-0.1294777
1,0.996986,0.9283782,"('unfriendly', 'friendly')",0.996986,0.9283782,-0.0686078
2,0.44240707,0.68459386,"('unlikable', 'likable')",0.4424071,0.6845939,0.2421868
3,0.9114269,0.97817314,"('repellent', 'pleasant')",0.9114269,0.9781731,0.0667462
4,-7.36556,-7.3001933,"('disliked', 'liked')",-7.3655601,-7.3001933,0.0653668
5,-0.41653958,-0.27316794,"('distant', 'outgoing')",-0.4165396,-0.2731679,0.1433717
6,-0.2544386,-0.13041076,"('distant', 'open')",-0.2544386,-0.1304108,0.1240278
7,0.727058,0.7266181,"('insensitive', 'sensitive')",0.727058,0.7266181,-0.0004399
8,0.7307995,0.7351533,"('unaffectionate', 'affectionate')",0.7307995,0.7351533,0.0043538
9,1.4175559,1.4964994,"('unaffectionate', 'caring')",1.4175559,1.4964994,0.0789435
10,1.3183844,1.3376098,"('unsympathetic', 'sympathetic')",1.3183844,1.3376098,0.0192254
11,2.1007555,2.1340926,"('unhelpful', 'helpful')",2.1007555,2.1340926,0.0333371
12,-1.6983377,-1.6210008,"('unsupportive', 'supportive')",-1.6983377,-1.6210008,0.0773369
13,0.75207233,0.6561201,"('impolite', 'polite')",0.7520723,0.6561201,-0.0959522
14,0.06980917,-0.095499344,"('antisocial', 'social')",0.0698092,-0.0954993,-0.1653085
15,0.32901096,0.2839434,"('boring', 'funny')",0.329011,0.2839434,-0.0450676
16,-0.3502671,-0.2775091,"('unpopular', 'popular')",-0.3502671,-0.2775091,0.072758
17,-0.4915171,-0.4320096,"('nasty', 'nice')",-0.4915171,-0.4320096,0.0595075
18,-0.5489301,-0.6277269,"('disagreeable', 'welcoming')",-0.5489301,-0.6277269,-0.0787968
19,-1.1422049,-0.906812,"('inhospitable', 'hospitable')",-1.1422049,-0.906812,0.2353929
20,0.86491907,0.66506493,"('rough', 'thoughtful')",0.8649191,0.6650649,-0.1998542
21,0.220913,0.2857674,"('immoral', 'moral')",0.220913,0.2857674,0.0648544
22,-0.14047992,-0.14666016,"('untrustworthy', 'trustworthy')",-0.1404799,-0.1466602,-0.0061803
23,6.3188796,6.295808,"('insincere', 'sincere')",6.3188796,6.2958078,-0.0230718
24,1.6529826,1.6400354,"('dishonest', 'honest')",1.6529826,1.6400354,-0.0129472
25,0.38652435,0.31846273,"('egoistic', 'altruistic')",0.3865243,0.3184627,-0.0680616
26,0.3583717,0.18885209,"('hardhearted', 'benevolent')",0.3583717,0.1888521,-0.1695196
27,1.2610779,1.0840586,"('hardhearted', 'softhearted')",1.2610779,1.0840586,-0.1770193
28,1.0533901,0.9772199,"('disloyal', 'loyal')",1.0533901,0.9772199,-0.0761702
29,-0.9160576,-0.9473842,"('unfair', 'fair')",-0.9160576,-0.9473842,-0.0313266
30,0.9996417,0.957744,"('intolerant', 'tolerant')",0.9996417,0.957744,-0.0418977
31,-2.130712,-2.0130563,"('evil', 'good')",-2.130712,-2.0130563,0.1176557
32,1.2486161,1.2540405,"('unkind', 'kind')",1.2486161,1.2540405,0.0054244
33,-0.4978591,-0.43505484,"('wrong', 'right')",-0.4978591,-0.4350548,0.0628043
34,4.3646064,4.5275,"('mean', 'honorable')",4.3646064,4.5275002,0.1628938
35,-1.6383756,-1.7034062,"('corrupt', 'incorrupt')",-1.6383756,-1.7034062,-0.0650306
36,-1.3857809,-1.4028687,"('hostile', 'amicable')",-1.3857809,-1.4028687,-0.0170878
37,0.5171689,0.5639246,"('fake', 'genuine')",0.5171689,0.5639246,0.0467557
38,-0.2527452,-0.14992023,"('untruthful', 'truthful')",-0.2527452,-0.1499202,0.102825
39,0.05321927,-0.0007338794,"('exploitative', 'cooperative')",0.0532193,-0.0007339,-0.0539532
40,-1.6382166,-1.8157485,"('stingy', 'generous')",-1.6382166,-1.8157485,-0.1775319
41,-0.09857991,-0.102476135,"('unforgiving', 'forgiving')",-0.0985799,-0.1024761,-0.0038962
42,-1.8074546,-1.7798649,"('unreliable', 'reliable')",-1.8074546,-1.7798649,0.0275897
43,1.4682169,1.4448018,"('irresponsible', 'responsible')",1.4682169,1.4448018,-0.0234151
44,-1.118437,-1.1391426,"('prejudiced', 'unprejudiced')",-1.1184371,-1.1391426,-0.0207055
45,0.24902423,0.2957879,"('incompetent', 'competent')",0.2490242,0.2957879,0.0467637
46,-0.08232483,-0.0876007,"('uncompetitive', 'competitive')",-0.0823248,-0.0876007,-0.0052759
47,5.2913904,5.4282646,"('stupid', 'smart')",5.2913904,5.4282646,0.1368742
48,1.0294545,0.80528796,"('unintelligent', 'intelligent')",1.0294545,0.805288,-0.2241665
49,0.10889683,0.2791149,"('unable', 'able')",0.1088968,0.2791149,0.1702181
50,-0.04441246,0.045705553,"('clumsy', 'skillful')",-0.0444125,0.0457056,0.0901181
51,0.39036983,0.3352263,"('uneducated', 'educated')",0.3903698,0.3352263,-0.0551435
52,-1.0216628,-1.0084132,"('irrational', 'rational')",-1.0216628,-1.0084132,0.0132496
53,0.025926873,0.03358225,"('uncreative', 'creative')",0.0259269,0.0335823,0.0076554
54,0.84614575,1.1319546,"('incapable', 'capable')",0.8461457,1.1319546,0.2858089
55,1.1745777,1.051965,"('incompetent', 'clever')",1.1745777,1.051965,-0.1226127
56,1.0666218,1.0443153,"('impractical', 'practical')",1.0666218,1.0443153,-0.0223065
57,-2.2738082,-2.2179303,"('unimaginative', 'imaginative')",-2.2738082,-2.2179303,0.0558779
58,-0.08678623,-0.120341554,"('undiscriminating', 'discriminating')",-0.0867862,-0.1203416,-0.0335554
