,farming_male,farming_female,tuple,average_male,average_female,female-male
0,0.03240083,-0.0266211,"('unsociable', 'sociable')",0.0324008,-0.0266211,-0.0590219
1,0.87879395,0.8784481,"('unfriendly', 'friendly')",0.878794,0.8784481,-0.0003459
2,-0.2796011,-0.25468898,"('unlikable', 'likable')",-0.2796011,-0.254689,0.0249121
3,0.51507384,0.654314,"('repellent', 'pleasant')",0.5150738,0.654314,0.1392402
4,-7.323187,-7.4499335,"('disliked', 'liked')",-7.3231869,-7.4499335,-0.1267466
5,-0.6648696,-0.6474772,"('distant', 'outgoing')",-0.6648696,-0.6474772,0.0173924
6,-0.14607522,-0.1942631,"('distant', 'open')",-0.1460752,-0.1942631,-0.0481879
7,0.5064854,0.642804,"('insensitive', 'sensitive')",0.5064854,0.642804,0.1363186
8,1.0536225,0.9253409,"('unaffectionate', 'affectionate')",1.0536225,0.9253409,-0.1282816
9,1.5579913,1.5122334,"('unaffectionate', 'caring')",1.5579913,1.5122334,-0.0457579
10,0.6168729,0.6970979,"('unsympathetic', 'sympathetic')",0.6168729,0.6970979,0.080225
11,1.2829213,1.3837005,"('unhelpful', 'helpful')",1.2829213,1.3837005,0.1007792
12,-1.9557114,-1.9546876,"('unsupportive', 'supportive')",-1.9557114,-1.9546876,0.0010238
13,-0.51969856,-0.5250624,"('impolite', 'polite')",-0.5196986,-0.5250624,-0.0053638
14,0.48105034,0.4386102,"('antisocial', 'social')",0.4810503,0.4386102,-0.0424401
15,0.08748904,-0.01598651,"('boring', 'funny')",0.087489,-0.0159865,-0.1034755
16,-0.6391764,-0.6427655,"('unpopular', 'popular')",-0.6391764,-0.6427655,-0.0035891
17,-0.34237084,-0.34171095,"('nasty', 'nice')",-0.3423708,-0.341711,0.0006598
18,-0.7741642,-0.7308878,"('disagreeable', 'welcoming')",-0.7741642,-0.7308878,0.0432764
19,-0.5581076,-0.5988945,"('inhospitable', 'hospitable')",-0.5581076,-0.5988945,-0.0407869
20,0.7675321,0.79145885,"('rough', 'thoughtful')",0.7675321,0.7914588,0.0239267
21,-0.4889901,-0.39264932,"('immoral', 'moral')",-0.4889901,-0.3926493,0.0963408
22,-0.7335827,-0.6788739,"('untrustworthy', 'trustworthy')",-0.7335827,-0.6788739,0.0547088
23,5.957766,6.0741873,"('insincere', 'sincere')",5.9577661,6.0741873,0.1164212
24,1.281377,1.1894927,"('dishonest', 'honest')",1.281377,1.1894927,-0.0918843
25,0.9549267,0.79255486,"('egoistic', 'altruistic')",0.9549267,0.7925549,-0.1623718
26,1.2792486,1.1343936,"('hardhearted', 'benevolent')",1.2792486,1.1343936,-0.144855
27,1.2290169,1.040674,"('hardhearted', 'softhearted')",1.2290169,1.040674,-0.1883429
28,1.0746034,1.0401748,"('disloyal', 'loyal')",1.0746034,1.0401748,-0.0344286
29,-0.4961213,-0.60880744,"('unfair', 'fair')",-0.4961213,-0.6088074,-0.1126861
30,1.0310248,1.0802213,"('intolerant', 'tolerant')",1.0310248,1.0802213,0.0491965
31,-1.327791,-1.3776109,"('evil', 'good')",-1.327791,-1.3776109,-0.0498199
32,0.9428609,0.875821,"('unkind', 'kind')",0.9428609,0.875821,-0.0670399
33,-0.3848128,-0.5168104,"('wrong', 'right')",-0.3848128,-0.5168104,-0.1319976
34,4.6371875,4.794025,"('mean', 'honorable')",4.6371875,4.7940249,0.1568374
35,-0.561943,-0.7943763,"('corrupt', 'incorrupt')",-0.561943,-0.7943763,-0.2324333
36,-0.46417043,-0.6445351,"('hostile', 'amicable')",-0.4641704,-0.6445351,-0.1803647
37,0.6219378,0.5941561,"('fake', 'genuine')",0.6219378,0.5941561,-0.0277817
38,-0.38740528,-0.35877883,"('untruthful', 'truthful')",-0.3874053,-0.3587788,0.0286265
39,0.4342632,0.44030428,"('exploitative', 'cooperative')",0.4342632,0.4403043,0.0060411
40,-1.90385,-1.9731991,"('stingy', 'generous')",-1.90385,-1.9731991,-0.0693491
41,-0.045234036,-0.09121885,"('unforgiving', 'forgiving')",-0.045234,-0.0912189,-0.0459849
42,-2.6221676,-2.6063225,"('unreliable', 'reliable')",-2.6221676,-2.6063225,0.0158451
43,0.76046246,0.8030133,"('irresponsible', 'responsible')",0.7604625,0.8030133,0.0425508
44,-0.76567674,-0.7434762,"('prejudiced', 'unprejudiced')",-0.7656767,-0.7434762,0.0222005
45,-0.17631531,-0.22173473,"('incompetent', 'competent')",-0.1763153,-0.2217347,-0.0454194
46,-1.091727,-1.0453452,"('uncompetitive', 'competitive')",-1.091727,-1.0453452,0.0463818
47,5.0319314,5.185668,"('stupid', 'smart')",5.0319314,5.185668,0.1537366
48,0.04678368,0.10545426,"('unintelligent', 'intelligent')",0.0467837,0.1054543,0.0586706
49,-0.23600255,-0.11754203,"('unable', 'able')",-0.2360025,-0.117542,0.1184605
50,-0.76620275,-0.77079725,"('clumsy', 'skillful')",-0.7662027,-0.7707973,-0.0045946
51,0.08333632,0.11617595,"('uneducated', 'educated')",0.0833363,0.1161759,0.0328396
52,-0.09848654,-0.3274402,"('irrational', 'rational')",-0.0984865,-0.3274402,-0.2289537
53,-0.10884536,-0.16669932,"('uncreative', 'creative')",-0.1088454,-0.1666993,-0.0578539
54,0.7190288,0.8144745,"('incapable', 'capable')",0.7190288,0.8144745,0.0954457
55,0.4295974,0.52379245,"('incompetent', 'clever')",0.4295974,0.5237924,0.094195
56,0.4776023,0.42322648,"('impractical', 'practical')",0.4776023,0.4232265,-0.0543758
57,-3.0456328,-2.9594052,"('unimaginative', 'imaginative')",-3.0456328,-2.9594052,0.0862276
58,-0.30693874,-0.17292956,"('undiscriminating', 'discriminating')",-0.3069387,-0.1729296,0.1340091
59,-0.1990639,-0.25131935,"('foolish', 'wise')",-0.1990639,-0.2513193,-0.0522554
60,0.09740993,0.28217217,"('inefficient', 'efficient')",0.0974099,0.2821722,0.1847623
61,0.108027056,-0.0125385,"('illogical', 'logical')",0.1080271,-0.0125385,-0.1205656
