,host_male,host_female,tuple,hotels_male,hotels_female,&_male,&_female,resorts_male,resorts_female,inc_male,inc_female,average_male,average_female,female-male
0,1.3804722,1.2696854,"('unsociable', 'sociable')",1.141753,1.0276468,-0.18584386,-0.33238423,0.772678,0.63380533,-0.32054207,-0.5207612,0.5577034,0.4155984,-0.142105
1,-1.3965003,-1.2467284,"('unfriendly', 'friendly')",0.22173035,0.31774458,0.08018838,0.25048697,0.6954324,0.83001626,2.1325896,1.9797131,0.3466881,0.4262465,0.0795584
2,0.21716231,0.3494323,"('unlikable', 'likable')",1.5751537,1.7483339,1.9665095,2.0875854,2.107629,2.1829066,1.2712858,1.4226263,1.427548,1.5581768,0.1306288
3,0.32169774,0.3685654,"('repellent', 'pleasant')",0.12693673,0.29856583,-0.5813377,-0.49749517,-0.25807634,-0.16587488,0.04744217,0.11541014,-0.0686675,0.0238343,0.0925018
4,-2.3304636,-2.2575684,"('disliked', 'liked')",0.2890838,0.29753524,0.32270265,0.30069172,0.72409725,0.747158,-5.7841163,-5.705039,-1.3557392,-1.3234445,0.0322947
5,-3.0341434,-2.894085,"('distant', 'outgoing')",0.30268037,0.37888038,0.9474528,1.2377038,1.2968528,1.3738695,0.43470404,0.5170407,-0.0104907,0.1226819,0.1331726
6,-2.8778563,-2.6671624,"('distant', 'open')",0.032960188,0.12876032,0.8523292,1.1913064,0.94588006,1.057295,0.9261114,0.967583,-0.0241151,0.1355564,0.1596715
7,1.9304581,1.9388206,"('insensitive', 'sensitive')",0.3875776,0.48205575,0.26668364,0.20656036,-0.1993439,-0.13041832,0.34195238,0.23269102,0.5454655,0.5459419,0.0004764
8,-1.3930527,-1.2503595,"('unaffectionate', 'affectionate')",-0.31348148,-0.2939626,-0.98719764,-0.7594629,0.5332746,0.49590638,0.82099444,0.7407278,-0.2678926,-0.2134302,0.0544624
9,-0.065288655,0.11360998,"('unaffectionate', 'caring')",0.35861477,0.41315567,-0.431969,-0.32152417,1.1173387,1.1274654,1.37515,1.3245723,0.4707691,0.5314558,0.0606867
10,2.3297594,2.2490802,"('unsympathetic', 'sympathetic')",-0.21869648,-0.115054384,-1.757514,-1.8641149,-1.050309,-0.9527196,-0.51702625,-0.65593445,-0.2427572,-0.2677486,-0.0249914
11,1.6344582,1.5417151,"('unhelpful', 'helpful')",-0.84420663,-0.82878625,-0.33084518,-0.39999628,-0.49105003,-0.47456685,1.9207462,1.8560216,0.3778205,0.3388775,-0.038943
