,epee_male,epee_female,tuple,average_male,average_female,female-male
0,0.036951832,-0.044213064,"('unsociable', 'sociable')",0.0369518,-0.0442131,-0.0811649
1,-0.981411,-1.1674271,"('unfriendly', 'friendly')",-0.981411,-1.1674271,-0.1860161
2,0.9472981,1.007241,"('unlikable', 'likable')",0.9472981,1.007241,0.0599429
3,-0.24625647,-0.21647103,"('repellent', 'pleasant')",-0.2462565,-0.216471,0.0297855
4,-2.321268,-2.294972,"('disliked', 'liked')",-2.3212681,-2.2949719,0.0262962
5,-1.530297,-1.5493337,"('distant', 'outgoing')",-1.530297,-1.5493337,-0.0190367
6,-1.1698339,-1.1830351,"('distant', 'open')",-1.1698339,-1.1830351,-0.0132012
7,-0.0035911198,0.04220013,"('insensitive', 'sensitive')",-0.0035911,0.0422001,0.0457912
8,-0.9369458,-1.039676,"('unaffectionate', 'affectionate')",-0.9369458,-1.039676,-0.1027302
9,-0.89643764,-1.0171126,"('unaffectionate', 'caring')",-0.8964376,-1.0171126,-0.120675
10,-0.37724364,-0.3896465,"('unsympathetic', 'sympathetic')",-0.3772436,-0.3896465,-0.0124029
11,0.873661,0.8369688,"('unhelpful', 'helpful')",0.873661,0.8369688,-0.0366922
12,-1.1277354,-1.0682791,"('unsupportive', 'supportive')",-1.1277354,-1.0682791,0.0594563
13,0.27071327,0.2648498,"('impolite', 'polite')",0.2707133,0.2648498,-0.0058635
14,0.3501099,0.34304473,"('antisocial', 'social')",0.3501099,0.3430447,-0.0070652
15,0.48048556,0.4555412,"('boring', 'funny')",0.4804856,0.4555412,-0.0249444
16,-0.11062117,-0.22382359,"('unpopular', 'popular')",-0.1106212,-0.2238236,-0.1132024
17,-0.1808075,-0.11326495,"('nasty', 'nice')",-0.1808075,-0.1132649,0.0675426
18,-0.8561939,-0.87332606,"('disagreeable', 'welcoming')",-0.8561939,-0.8733261,-0.0171322
19,-1.5619743,-1.5627156,"('inhospitable', 'hospitable')",-1.5619743,-1.5627156,-0.0007413
20,1.0675632,0.9929398,"('rough', 'thoughtful')",1.0675632,0.9929398,-0.0746234
21,0.5629683,0.62676024,"('immoral', 'moral')",0.5629683,0.6267602,0.0637919
22,-0.081988275,-0.063247606,"('untrustworthy', 'trustworthy')",-0.0819883,-0.0632476,0.0187407
23,1.4753604,1.3896911,"('insincere', 'sincere')",1.4753604,1.3896911,-0.0856693
24,0.07842461,0.048117317,"('dishonest', 'honest')",0.0784246,0.0481173,-0.0303073
25,0.26518923,0.10457863,"('egoistic', 'altruistic')",0.2651892,0.1045786,-0.1606106
26,0.14522296,0.03676569,"('hardhearted', 'benevolent')",0.145223,0.0367657,-0.1084573
27,0.3533055,0.267013,"('hardhearted', 'softhearted')",0.3533055,0.267013,-0.0862925
28,0.38620138,0.22024143,"('disloyal', 'loyal')",0.3862014,0.2202414,-0.16596
29,-0.7453683,-0.7866211,"('unfair', 'fair')",-0.7453683,-0.7866211,-0.0412528
30,0.19718769,0.16441369,"('intolerant', 'tolerant')",0.1971877,0.1644137,-0.032774
31,-1.4913756,-1.406674,"('evil', 'good')",-1.4913756,-1.406674,0.0847016
32,0.5834708,0.52282363,"('unkind', 'kind')",0.5834708,0.5228236,-0.0606472
33,-0.11723448,-0.18879111,"('wrong', 'right')",-0.1172345,-0.1887911,-0.0715566
34,1.9891142,2.0328815,"('mean', 'honorable')",1.9891142,2.0328815,0.0437673
35,-0.5917501,-0.6818099,"('corrupt', 'incorrupt')",-0.5917501,-0.6818099,-0.0900598
36,-0.38462457,-0.524042,"('hostile', 'amicable')",-0.3846246,-0.524042,-0.1394174
37,0.77026945,0.7193089,"('fake', 'genuine')",0.7702695,0.7193089,-0.0509606
38,-0.46769008,-0.46941563,"('untruthful', 'truthful')",-0.4676901,-0.4694156,-0.0017255
