,dynegy_male,dynegy_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.9177514,-1.0836053,"('unsociable', 'sociable')",-0.46307227,-0.65845263,-0.6904118,-0.871029,-0.1806172
1,-1.6590928,-1.6834546,"('unfriendly', 'friendly')",1.8851831,1.8323357,0.1130452,0.0744405,-0.0386047
2,0.21623269,0.27962074,"('unlikable', 'likable')",0.5628465,0.626495,0.3895396,0.4530579,0.0635183
3,-0.63407797,-0.53533345,"('repellent', 'pleasant')",-0.012333115,0.026055006,-0.3232055,-0.2546392,0.0685663
4,-0.14466333,-0.1426303,"('disliked', 'liked')",-6.007536,-6.0399218,-3.0760996,-3.0912759,-0.0151763
5,-0.04127489,0.10855643,"('distant', 'outgoing')",0.31801304,0.40299034,0.1383691,0.2557734,0.1174043
6,-0.40444228,-0.22684969,"('distant', 'open')",0.61942965,0.67299026,0.1074937,0.2230703,0.1155766
7,-1.1366969,-1.0896362,"('insensitive', 'sensitive')",0.044707768,0.11467672,-0.5459946,-0.4874797,0.0585149
8,-1.0441273,-1.0342076,"('unaffectionate', 'affectionate')",0.9525531,0.92346025,-0.0457871,-0.0553737,-0.0095866
9,-1.5470656,-1.5028177,"('unaffectionate', 'caring')",1.0470667,1.1002684,-0.2499995,-0.2012747,0.0487248
10,-2.1656709,-2.1881883,"('unsympathetic', 'sympathetic')",-0.9256195,-0.9434588,-1.5456452,-1.5658236,-0.0201784
11,0.004568439,-0.026549596,"('unhelpful', 'helpful')",1.5553225,1.693312,0.7799455,0.8333812,0.0534357
12,-0.7680587,-0.66092545,"('unsupportive', 'supportive')",-1.9183664,-1.8506367,-1.3432126,-1.2557811,0.0874315
13,-0.9269616,-0.9944556,"('impolite', 'polite')",-0.73491013,-0.69832724,-0.8309358,-0.8463914,-0.0154556
14,-0.098229975,-0.1761391,"('antisocial', 'social')",-0.8321589,-0.958965,-0.4651945,-0.567552,-0.1023575
15,0.40285054,0.29856008,"('boring', 'funny')",0.6192728,0.5629513,0.5110617,0.4307557,-0.080306
16,-0.042124104,0.046410184,"('unpopular', 'popular')",0.8141594,0.81536037,0.3860177,0.4308853,0.0448676
17,-0.3499782,-0.2502893,"('nasty', 'nice')",-0.2815161,-0.25160876,-0.3157471,-0.250949,0.0647981
18,-0.46047086,-0.46262392,"('disagreeable', 'welcoming')",-0.24917172,-0.29243165,-0.3548213,-0.3775278,-0.0227065
19,-0.5375223,-0.40174273,"('inhospitable', 'hospitable')",0.04575458,0.14651726,-0.2458839,-0.1276127,0.1182712
20,0.0876302,0.13695528,"('rough', 'thoughtful')",1.1030923,1.0568225,0.5953612,0.5968889,0.0015277
21,-0.3452587,-0.46523547,"('immoral', 'moral')",-0.621684,-0.6824969,-0.4834714,-0.5738662,-0.0903948
