,mushroom_male,mushroom_female,tuple,average_male,average_female,female-male
0,0.0773526,0.24905145,"('unsociable', 'sociable')",0.0773526,0.2490515,0.1716989
1,1.1030788,0.93009835,"('unfriendly', 'friendly')",1.1030788,0.9300984,-0.1729804
2,0.40279785,0.62738055,"('unlikable', 'likable')",0.4027978,0.6273805,0.2245827
3,0.80250895,0.9938049,"('repellent', 'pleasant')",0.802509,0.9938049,0.1912959
4,-6.9642076,-6.936161,"('disliked', 'liked')",-6.9642076,-6.936161,0.0280466
5,-0.5134865,-0.5383043,"('distant', 'outgoing')",-0.5134865,-0.5383043,-0.0248178
6,-0.16345838,-0.26260543,"('distant', 'open')",-0.1634584,-0.2626054,-0.099147
7,1.0805686,1.2136116,"('insensitive', 'sensitive')",1.0805686,1.2136116,0.133043
8,1.0317589,0.807789,"('unaffectionate', 'affectionate')",1.0317589,0.807789,-0.2239699
9,1.1786548,1.11351,"('unaffectionate', 'caring')",1.1786548,1.11351,-0.0651448
10,1.3839692,1.5287992,"('unsympathetic', 'sympathetic')",1.3839692,1.5287992,0.14483
11,1.8551863,1.9704639,"('unhelpful', 'helpful')",1.8551863,1.9704639,0.1152776
12,-1.2481604,-1.0544784,"('unsupportive', 'supportive')",-1.2481604,-1.0544784,0.193682
13,-0.12824324,0.11527772,"('impolite', 'polite')",-0.1282432,0.1152777,0.2435209
14,0.20889965,0.3148071,"('antisocial', 'social')",0.2088996,0.3148071,0.1059075
15,0.35992378,0.22892064,"('boring', 'funny')",0.3599238,0.2289206,-0.1310032
16,-0.7526082,-0.6971291,"('unpopular', 'popular')",-0.7526082,-0.6971291,0.0554791
17,0.016400682,0.058332995,"('nasty', 'nice')",0.0164007,0.058333,0.0419323
18,-0.73362523,-0.6077785,"('disagreeable', 'welcoming')",-0.7336252,-0.6077785,0.1258467
19,-0.42258525,-0.4806283,"('inhospitable', 'hospitable')",-0.4225852,-0.4806283,-0.0580431
20,0.8890813,0.6891073,"('rough', 'thoughtful')",0.8890813,0.6891073,-0.199974
21,0.07073665,0.33184466,"('immoral', 'moral')",0.0707366,0.3318447,0.2611081
22,0.15498964,0.282586,"('untrustworthy', 'trustworthy')",0.1549896,0.282586,0.1275964
23,5.8928375,5.9942074,"('insincere', 'sincere')",5.8928375,5.9942074,0.1013699
24,1.6974645,1.7545393,"('dishonest', 'honest')",1.6974645,1.7545393,0.0570748
25,0.32765716,0.27633703,"('egoistic', 'altruistic')",0.3276572,0.276337,-0.0513202
26,0.53313905,0.23048127,"('hardhearted', 'benevolent')",0.5331391,0.2304813,-0.3026578
27,1.6023746,1.3885498,"('hardhearted', 'softhearted')",1.6023746,1.3885498,-0.2138248
28,0.8982117,0.85727084,"('disloyal', 'loyal')",0.8982117,0.8572708,-0.0409409
29,-0.18587932,-0.34716263,"('unfair', 'fair')",-0.1858793,-0.3471626,-0.1612833
30,1.1500481,1.2322258,"('intolerant', 'tolerant')",1.1500481,1.2322258,0.0821777
31,-1.1420013,-1.254283,"('evil', 'good')",-1.1420013,-1.254283,-0.1122817
32,1.0216141,1.0336957,"('unkind', 'kind')",1.0216141,1.0336957,0.0120816
33,-0.90177774,-0.8595397,"('wrong', 'right')",-0.9017777,-0.8595397,0.042238
34,3.9823472,4.1984196,"('mean', 'honorable')",3.9823472,4.1984196,0.2160724
