,resmed_male,resmed_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.77539337,0.72933894,"('unsociable', 'sociable')",-0.054638147,-0.27093703,0.3603776,0.229201,-0.1311766
1,-0.9284591,-1.0768422,"('unfriendly', 'friendly')",1.6069889,1.4383805,0.3392649,0.1807691,-0.1584958
2,0.53511703,0.58647394,"('unlikable', 'likable')",0.6130297,0.66120064,0.5740734,0.6238373,0.0497639
3,0.10125011,0.2524765,"('repellent', 'pleasant')",0.15201014,0.19852072,0.1266301,0.2254986,0.0988685
4,-0.54445523,-0.654868,"('disliked', 'liked')",-6.4242864,-6.5859876,-3.4843707,-3.6204278,-0.1360571
5,-1.4602059,-1.5922363,"('distant', 'outgoing')",-0.5222893,-0.53600496,-0.9912476,-1.0641207,-0.0728731
6,-1.9926327,-2.177661,"('distant', 'open')",-0.096622765,-0.1230341,-1.0446278,-1.1503475,-0.1057197
7,0.39730954,0.6124489,"('insensitive', 'sensitive')",0.46547762,0.51265347,0.4313936,0.5625511,0.1311575
8,-1.4718885,-1.6089224,"('unaffectionate', 'affectionate')",0.6455125,0.5540244,-0.413188,-0.527449,-0.114261
9,-0.9187696,-0.8949623,"('unaffectionate', 'caring')",0.993039,1.0479361,0.0371347,0.0764869,0.0393522
10,0.7398244,1.0123085,"('unsympathetic', 'sympathetic')",-0.24456568,-0.1732134,0.2476294,0.4195475,0.1719181
11,0.029318046,0.20240389,"('unhelpful', 'helpful')",1.8458526,2.0638607,0.9375854,1.1331322,0.1955468
12,0.3560297,0.5231203,"('unsupportive', 'supportive')",-1.925677,-1.8802726,-0.7848237,-0.6785762,0.1062475
13,0.6286658,0.68583596,"('impolite', 'polite')",-0.42273465,-0.33481908,0.1029656,0.1755084,0.0725428
14,1.6693048,1.7741853,"('antisocial', 'social')",-0.2374022,-0.3578183,0.7159513,0.7081835,-0.0077678
15,-0.4043855,-0.49423587,"('boring', 'funny')",0.62810105,0.50704587,0.1118578,0.006405,-0.1054528
16,-0.3313141,-0.36004037,"('unpopular', 'popular')",0.64249545,0.6127235,0.1555907,0.1263416,-0.0292491
17,0.074151605,0.19576801,"('nasty', 'nice')",-0.4439565,-0.40081748,-0.1849024,-0.1025247,0.0823777
18,-0.24036574,-0.28840828,"('disagreeable', 'welcoming')",-0.14433485,-0.20866674,-0.1923503,-0.2485375,-0.0561872
19,-1.173907,-1.1542686,"('inhospitable', 'hospitable')",-0.2617656,-0.16704145,-0.7178363,-0.660655,0.0571813
20,0.63871795,0.6743422,"('rough', 'thoughtful')",1.1020855,1.0023116,0.8704017,0.8383269,-0.0320748
21,1.3017807,1.461333,"('immoral', 'moral')",-0.12942396,-0.13053685,0.5861784,0.6653981,0.0792197
22,0.72952914,0.6996262,"('untrustworthy', 'trustworthy')",-0.667162,-0.758502,0.0311836,-0.0294379,-0.0606215
23,0.9012138,1.0642542,"('insincere', 'sincere')",5.9844923,6.084162,3.442853,3.5742083,0.1313553
24,0.046059564,0.084516875,"('dishonest', 'honest')",0.89664096,0.94216174,0.4713503,0.5133393,0.041989
25,-0.80143577,-0.9412334,"('egoistic', 'altruistic')",1.4373199,1.2821388,0.3179421,0.1704527,-0.1474894
26,-0.065351754,-0.30053172,"('hardhearted', 'benevolent')",1.5629417,1.3511081,0.748795,0.5252882,-0.2235068
27,-0.32360768,-0.2987458,"('hardhearted', 'softhearted')",1.41505,1.2921866,0.5457212,0.4967204,-0.0490008
28,-0.0722201,-0.107229814,"('disloyal', 'loyal')",1.0764294,1.024211,0.5021046,0.4584906,-0.043614
29,-0.28772578,-0.27420983,"('unfair', 'fair')",-0.3981903,-0.61715287,-0.342958,-0.4456813,-0.1027233
30,1.7728112,1.8710842,"('intolerant', 'tolerant')",1.6542016,1.6762502,1.7135065,1.7736672,0.0601607
31,-1.7083725,-1.8742903,"('evil', 'good')",-1.2403884,-1.4677321,-1.4743805,-1.6710112,-0.1966307
32,1.0001985,1.0550141,"('unkind', 'kind')",1.2728112,1.0924271,1.1365049,1.0737207,-0.0627842
