,sophomore_male,sophomore_female,tuple,average_male,average_female,female-male
0,0.38946813,0.31145167,"('unsociable', 'sociable')",0.3894681,0.3114517,-0.0780164
1,1.0809877,1.3290393,"('unfriendly', 'friendly')",1.0809877,1.3290393,0.2480516
2,0.23467883,0.3756612,"('unlikable', 'likable')",0.2346788,0.3756612,0.1409824
3,1.1946037,1.1822764,"('repellent', 'pleasant')",1.1946037,1.1822764,-0.0123273
4,-7.2677407,-7.349142,"('disliked', 'liked')",-7.2677407,-7.3491421,-0.0814014
5,-0.28437042,-0.011929845,"('distant', 'outgoing')",-0.2843704,-0.0119298,0.2724406
6,0.09439777,0.28134677,"('distant', 'open')",0.0943978,0.2813468,0.186949
7,1.3929721,1.4534217,"('insensitive', 'sensitive')",1.3929721,1.4534217,0.0604496
8,0.88160133,0.92717814,"('unaffectionate', 'affectionate')",0.8816013,0.9271781,0.0455768
9,1.0440243,1.3141825,"('unaffectionate', 'caring')",1.0440243,1.3141825,0.2701582
10,1.0918938,1.0012708,"('unsympathetic', 'sympathetic')",1.0918938,1.0012708,-0.090623
11,1.6779727,1.8364211,"('unhelpful', 'helpful')",1.6779727,1.8364211,0.1584484
12,-1.4516394,-1.2740196,"('unsupportive', 'supportive')",-1.4516394,-1.2740196,0.1776198
13,0.21849832,0.10179116,"('impolite', 'polite')",0.2184983,0.1017912,-0.1167071
14,0.29253563,0.06905977,"('antisocial', 'social')",0.2925356,0.0690598,-0.2234758
15,0.4161846,0.4285051,"('boring', 'funny')",0.4161846,0.4285051,0.0123205
16,-0.8265023,-0.70133823,"('unpopular', 'popular')",-0.8265023,-0.7013382,0.1251641
17,-0.15426299,-0.19449683,"('nasty', 'nice')",-0.154263,-0.1944968,-0.0402338
18,-0.2564575,-0.16362971,"('disagreeable', 'welcoming')",-0.2564575,-0.1636297,0.0928278
19,-0.6816728,-0.29974407,"('inhospitable', 'hospitable')",-0.6816728,-0.2997441,0.3819287
20,0.6186984,0.4194239,"('rough', 'thoughtful')",0.6186984,0.4194239,-0.1992745
21,0.20639928,0.32682464,"('immoral', 'moral')",0.2063993,0.3268246,0.1204253
22,0.21666594,0.22332035,"('untrustworthy', 'trustworthy')",0.2166659,0.2233204,0.0066545
