,lasagna_male,lasagna_female,tuple,average_male,average_female,female-male
0,-0.39104444,-0.42901483,"('unsociable', 'sociable')",-0.3910444,-0.4290148,-0.0379704
1,-0.123484716,-0.11145663,"('unfriendly', 'friendly')",-0.1234847,-0.1114566,0.0120281
2,0.7792493,0.76094997,"('unlikable', 'likable')",0.7792493,0.76095,-0.0182993
3,-1.2246736,-1.2132188,"('repellent', 'pleasant')",-1.2246736,-1.2132188,0.0114548
4,-1.0142919,-0.86365247,"('disliked', 'liked')",-1.0142919,-0.8636525,0.1506394
5,0.39779994,0.48889375,"('distant', 'outgoing')",0.3977999,0.4888937,0.0910938
6,0.28916407,0.42528033,"('distant', 'open')",0.2891641,0.4252803,0.1361162
7,-1.2479316,-1.193764,"('insensitive', 'sensitive')",-1.2479316,-1.193764,0.0541676
8,0.46003696,0.34307808,"('unaffectionate', 'affectionate')",0.460037,0.3430781,-0.1169589
9,0.6168599,0.53012776,"('unaffectionate', 'caring')",0.6168599,0.5301278,-0.0867321
10,-1.4091204,-1.3964427,"('unsympathetic', 'sympathetic')",-1.4091204,-1.3964427,0.0126777
11,-0.09490454,-0.24548924,"('unhelpful', 'helpful')",-0.0949045,-0.2454892,-0.1505847
12,-0.35739756,-0.26166052,"('unsupportive', 'supportive')",-0.3573976,-0.2616605,0.0957371
13,-0.5980029,-0.7295473,"('impolite', 'polite')",-0.5980029,-0.7295473,-0.1315444
14,-0.6818672,-0.66143525,"('antisocial', 'social')",-0.6818672,-0.6614352,0.020432
15,0.9475589,0.8702913,"('boring', 'funny')",0.9475589,0.8702913,-0.0772676
16,0.048462655,0.087412395,"('unpopular', 'popular')",0.0484627,0.0874124,0.0389497
17,0.18487102,0.23651935,"('nasty', 'nice')",0.184871,0.2365194,0.0516484
18,-0.3372797,-0.25467783,"('disagreeable', 'welcoming')",-0.3372797,-0.2546778,0.0826019
19,-0.47376364,-0.44849846,"('inhospitable', 'hospitable')",-0.4737636,-0.4484985,0.0252651
20,0.28086305,0.183074,"('rough', 'thoughtful')",0.280863,0.183074,-0.097789
21,-0.00076215435,0.072520636,"('immoral', 'moral')",-0.0007622,0.0725206,0.0732828
22,-0.11854987,-0.094760634,"('untrustworthy', 'trustworthy')",-0.1185499,-0.0947606,0.0237893
23,0.36383593,0.19194898,"('insincere', 'sincere')",0.3638359,0.191949,-0.1718869
