,schlumberger_male,schlumberger_female,tuple,ltd_male,ltd_female,average_male,average_female,female-male
0,-1.9954326,-1.9797359,"('unsociable', 'sociable')",-0.19347872,-0.23732537,-1.0944557,-1.1085306,-0.0140749
1,-1.1839732,-1.268038,"('unfriendly', 'friendly')",1.9609842,1.8098136,0.3885055,0.2708878,-0.1176177
2,0.42216313,0.49667677,"('unlikable', 'likable')",0.30504698,0.3646972,0.3636051,0.430687,0.0670819
3,-0.97332174,-0.84523875,"('repellent', 'pleasant')",0.39784053,0.5307364,-0.2877406,-0.1572512,0.1304894
4,0.7773496,0.6564673,"('disliked', 'liked')",-4.2282615,-4.4423985,-1.725456,-1.8929656,-0.1675096
5,0.49928707,0.41111746,"('distant', 'outgoing')",-0.08579114,-0.21033397,0.206748,0.1003917,-0.1063563
6,0.38626406,0.31264603,"('distant', 'open')",0.49737927,0.3552819,0.4418217,0.333964,-0.1078577
7,-1.198863,-1.1136125,"('insensitive', 'sensitive')",0.5124889,0.575298,-0.3431871,-0.2691573,0.0740298
8,-0.24123295,-0.34449595,"('unaffectionate', 'affectionate')",1.3176317,1.1325663,0.5381994,0.3940352,-0.1441642
9,-0.75381565,-0.84917927,"('unaffectionate', 'caring')",1.2717819,1.1202074,0.2589831,0.1355141,-0.123469
10,-2.758875,-2.6830153,"('unsympathetic', 'sympathetic')",-0.10462319,-0.012423281,-1.431749,-1.3477193,0.0840297
11,-2.316619,-2.2507906,"('unhelpful', 'helpful')",1.1141725,1.220029,-0.6012232,-0.5153808,0.0858424
12,-2.149588,-2.0959492,"('unsupportive', 'supportive')",-1.4770668,-1.5575072,-1.8133274,-1.8267281,-0.0134007
13,-1.9271369,-1.7998469,"('impolite', 'polite')",-0.9241319,-0.80746484,-1.4256344,-1.3036559,0.1219785
14,-1.0558865,-0.8975395,"('antisocial', 'social')",-0.023238122,0.06963766,-0.5395623,-0.4139509,0.1256114
15,0.4768698,0.44778112,"('boring', 'funny')",0.39691162,0.35871527,0.4368907,0.4032482,-0.0336425
16,0.35824087,0.32312113,"('unpopular', 'popular')",0.24546951,0.20840327,0.3018552,0.2657622,-0.036093
17,-1.0456231,-0.9906215,"('nasty', 'nice')",-0.731859,-0.73419064,-0.888741,-0.8624061,0.0263349
18,-0.57662857,-0.506907,"('disagreeable', 'welcoming')",-1.1274171,-1.1787704,-0.8520228,-0.8428387,0.0091841
19,-0.23836198,-0.28136438,"('inhospitable', 'hospitable')",-0.45809826,-0.49392152,-0.3482301,-0.3876429,-0.0394128
20,0.025600333,0.094746515,"('rough', 'thoughtful')",1.4988856,1.4926386,0.762243,0.7936925,0.0314495
21,-1.7412143,-1.6065159,"('immoral', 'moral')",-1.1186804,-1.0199045,-1.4299474,-1.3132102,0.1167372
22,-0.82802314,-0.81602925,"('untrustworthy', 'trustworthy')",-0.71014875,-0.7275854,-0.7690859,-0.7718073,-0.0027214
23,-1.6319358,-1.60604,"('insincere', 'sincere')",4.285404,4.3156366,1.3267342,1.3547983,0.0280641
24,-1.1653602,-1.1398418,"('dishonest', 'honest')",0.22882962,0.28333914,-0.4682653,-0.4282513,0.040014
25,0.3817974,0.32864368,"('egoistic', 'altruistic')",0.5698088,0.48317158,0.4758031,0.4059076,-0.0698955
26,-0.08990544,-0.14519519,"('hardhearted', 'benevolent')",2.5274177,2.3712504,1.2187561,1.1130276,-0.1057285
27,-0.37824517,-0.41016474,"('hardhearted', 'softhearted')",0.49221906,0.24422373,0.0569869,-0.0829705,-0.1399574
28,-1.3128259,-1.3819231,"('disloyal', 'loyal')",1.2069821,1.134791,-0.0529219,-0.123566,-0.0706441
29,-0.07280077,-0.15923601,"('unfair', 'fair')",-0.41753292,-0.5184116,-0.2451668,-0.3388238,-0.093657
30,-0.9053964,-0.78596765,"('intolerant', 'tolerant')",0.848147,0.9331094,-0.0286247,0.0735709,0.1021956
31,0.5878963,0.5466815,"('evil', 'good')",-0.31405875,-0.48247564,0.1369188,0.0321029,-0.1048159
32,-1.1932541,-1.1869826,"('unkind', 'kind')",0.5521631,0.48880446,-0.3205455,-0.3490891,-0.0285436
33,0.58457714,0.45670414,"('wrong', 'right')",-0.038509913,-0.2406221,0.2730336,0.108041,-0.1649926
34,-1.1104538,-1.0060326,"('mean', 'honorable')",4.225475,4.458078,1.5575105,1.7260227,0.1685122
35,2.0816987,1.8999029,"('corrupt', 'incorrupt')",-0.110217944,-0.3754634,0.9857404,0.7622198,-0.2235206
36,0.48658532,0.3443483,"('hostile', 'amicable')",0.5129383,0.31948355,0.4997618,0.3319159,-0.1678459
37,-0.25168163,-0.21220855,"('fake', 'genuine')",0.1983853,0.2370146,-0.0266482,0.012403,0.0390512
38,-1.2018623,-1.2808594,"('untruthful', 'truthful')",0.024222124,0.02398115,-0.5888201,-0.6284391,-0.039619
39,-0.23095345,-0.07828678,"('exploitative', 'cooperative')",0.22035907,0.27346852,-0.0052972,0.0975909,0.1028881
40,0.45866334,0.42641756,"('stingy', 'generous')",-1.2553561,-1.3317891,-0.3983464,-0.4526858,-0.0543394
41,-0.8782948,-0.8364475,"('unforgiving', 'forgiving')",0.06407299,-0.004020311,-0.4071109,-0.4202339,-0.013123
42,0.18255787,0.39235878,"('unreliable', 'reliable')",-2.2743104,-2.1073482,-1.0458763,-0.8574947,0.1883816
43,-1.4309592,-1.2578999,"('irresponsible', 'responsible')",1.1671735,1.2901044,-0.1318929,0.0161023,0.1479952
44,0.7187314,0.8301583,"('prejudiced', 'unprejudiced')",-1.9070019,-1.8014619,-0.5941352,-0.4856518,0.1084834
45,-1.0367388,-0.98541826,"('incompetent', 'competent')",0.7862647,0.7725471,-0.125237,-0.1064356,0.0188014
46,-1.6744707,-1.5789269,"('uncompetitive', 'competitive')",-0.008508033,0.018578991,-0.8414894,-0.780174,0.0613154
47,-0.62969947,-0.49937946,"('stupid', 'smart')",4.460091,4.6304135,1.9151958,2.0655169,0.1503211
48,-1.9168969,-1.8607777,"('unintelligent', 'intelligent')",0.46262473,0.50417775,-0.7271361,-0.6783,0.0488361
49,-1.1244097,-0.9288114,"('unable', 'able')",-0.4538135,-0.37162772,-0.7891116,-0.6502196,0.138892
50,0.2992154,0.2634705,"('clumsy', 'skillful')",-0.23303741,-0.27148932,0.033089,-0.0040094,-0.0370984
51,-1.0392722,-1.0666059,"('uneducated', 'educated')",-0.050764456,-0.03745582,-0.5450183,-0.5520309,-0.0070126
52,0.5220093,0.3658707,"('irrational', 'rational')",0.07546909,-0.13025716,0.2987392,0.1178068,-0.1809324
53,-1.0188613,-1.0246173,"('uncreative', 'creative')",0.6496094,0.6132207,-0.184626,-0.2056983,-0.0210723
54,-0.70565754,-0.79068244,"('incapable', 'capable')",0.7921893,0.78399485,0.0432659,-0.0033438,-0.0466097
55,-1.7445308,-1.5991367,"('incompetent', 'clever')",0.3454367,0.5232476,-0.6995471,-0.5379446,0.1616025
56,-0.9258602,-0.76852125,"('impractical', 'practical')",0.4677113,0.60317,-0.2290745,-0.0826756,0.1463989
57,-1.6645473,-1.6494539,"('unimaginative', 'imaginative')",-0.92712533,-0.94554734,-1.2958363,-1.2975006,-0.0016643
58,0.027626455,0.04574906,"('undiscriminating', 'discriminating')",0.5943227,0.541857,0.3109746,0.293803,-0.0171716
59,1.1128454,1.0376105,"('foolish', 'wise')",0.71320933,0.670831,0.9130274,0.8542207,-0.0588067
60,-2.0567584,-1.7884145,"('inefficient', 'efficient')",-0.3613885,-0.05486417,-1.2090734,-0.9216393,0.2874341
61,-1.0048883,-1.0863636,"('illogical', 'logical')",0.24763069,0.024317667,-0.3786288,-0.531023,-0.1523942
62,-1.5294499,-1.3796875,"('incompetent', 'brilliant')",0.26709485,0.3778483,-0.6311775,-0.5009196,0.1302579
63,-1.549195,-1.4530221,"('unperceptive', 'insightful')",0.73918766,0.80077565,-0.4050037,-0.3261232,0.0788805
64,-0.18892848,-0.14537476,"('shy', 'confident')",-5.218307,-5.244452,-2.7036178,-2.6949134,0.0087044
65,-1.1363809,-1.0368214,"('insecure', 'secure')",-0.021853149,0.20997265,-0.5791171,-0.4134244,0.1656927
66,0.116237685,0.029463954,"('inactive', 'active')",0.8538547,0.73891014,0.4850462,0.384187,-0.1008592
67,0.50796103,0.61813104,"('doubtful', 'determined')",-0.511322,-0.39387506,-0.0016805,0.112128,0.1138085
68,-0.3991752,-0.3959986,"('dependent', 'independent')",-0.69374853,-0.65801895,-0.5464619,-0.5270088,0.0194531
69,1.7118665,1.660471,"('lazy', 'industrious')",-0.13012476,-0.24098575,0.7908708,0.7097426,-0.0811282
70,-1.1303812,-1.0009066,"('lethargic', 'energetic')",0.54713714,0.68410957,-0.291622,-0.1583985,0.1332235
71,-0.33195922,-0.3712367,"('diffident', 'self-confident')",0.63511527,0.5389629,0.151578,0.0838631,-0.0677149
72,-1.1845325,-1.2404711,"('unambitious', 'ambitious')",-0.0027593076,-0.010780364,-0.5936459,-0.6256257,-0.0319798
73,1.3670995,1.3387115,"('helpless', 'self-reliant')",-2.0381863,-2.0897312,-0.3355434,-0.3755099,-0.0399665
74,-0.1781541,-0.119725645,"('undedicated', 'dedicated')",0.75295854,0.7452222,0.2874022,0.3127483,0.0253461
75,1.2523835,1.1105684,"('meek', 'impulsive')",-0.38263738,-0.38253474,0.434873,0.3640168,-0.0708562
76,-1.2289529,-0.9855825,"('anxious', 'daring')",-0.23325829,0.036334492,-0.7311056,-0.474624,0.2564816
77,-0.68019366,-0.5906656,"('unmotivated', 'motivated')",-0.65900296,-0.6068216,-0.6695983,-0.5987436,0.0708547
78,-1.2633585,-1.2313432,"('nonresilient', 'resilient')",0.34666026,0.28303847,-0.4583491,-0.4741523,-0.0158032
79,0.24152413,0.16147351,"('wavering', 'unwavering')",-0.09468925,-0.12802283,0.0734174,0.0167253,-0.0566921
80,-0.14427459,-0.046372063,"('dominated', 'dominating')",-0.7714425,-0.6485346,-0.4578585,-0.3474533,0.1104052
81,-1.5485994,-1.4555746,"('submissive', 'aggressive')",-1.1447576,-0.85983795,-1.3466785,-1.1577063,0.1889722
82,-0.5190092,-0.5170813,"('poor', 'rich')",4.918105,5.0401554,2.199548,2.2615371,0.0619891
83,-0.22584888,-0.18851086,"('powerless', 'powerful')",-1.1824309,-1.1353723,-0.7041399,-0.6619416,0.0421983
84,0.356816,0.37115976,"('inferior', 'superior')",0.63248014,0.6109718,0.4946481,0.4910658,-0.0035823
85,1.3859581,1.3271701,"('insignificant', 'prestigious')",0.2760853,0.14832324,0.8310217,0.7377467,-0.093275
86,-2.4315443,-2.5296125,"('uninfluential', 'influential')",0.03350868,-0.054722235,-1.1990178,-1.2921674,-0.0931496
87,-0.011890203,-0.059934944,"('unsuccessful', 'successful')",1.5331404,1.4852405,0.7606251,0.7126527,-0.0479724
88,-1.1207324,-1.1167618,"('low', 'eminent')",-0.11759415,-0.092057325,-0.6191633,-0.6044096,0.0147537
