,glider_male,glider_female,tuple,average_male,average_female,female-male
0,0.105722725,0.0102136135,"('unsociable', 'sociable')",0.1057227,0.0102136,-0.0955091
1,0.9673418,0.9576464,"('unfriendly', 'friendly')",0.9673418,0.9576464,-0.0096954
2,0.22209187,0.40640363,"('unlikable', 'likable')",0.2220919,0.4064036,0.1843117
3,0.68262035,0.7595973,"('repellent', 'pleasant')",0.6826203,0.7595973,0.076977
4,-7.7150216,-7.6601825,"('disliked', 'liked')",-7.7150216,-7.6601825,0.0548391
5,-0.76720726,-0.7244703,"('distant', 'outgoing')",-0.7672073,-0.7244703,0.042737
6,-0.36344522,-0.36134112,"('distant', 'open')",-0.3634452,-0.3613411,0.0021041
7,1.5478764,1.4794235,"('insensitive', 'sensitive')",1.5478764,1.4794235,-0.0684529
8,1.0797771,1.034889,"('unaffectionate', 'affectionate')",1.0797771,1.034889,-0.0448881
9,1.3800495,1.3784969,"('unaffectionate', 'caring')",1.3800495,1.3784969,-0.0015526
10,1.5650865,1.4326389,"('unsympathetic', 'sympathetic')",1.5650865,1.4326389,-0.1324476
11,1.8451647,1.82269,"('unhelpful', 'helpful')",1.8451647,1.82269,-0.0224747
12,-1.461495,-1.3998083,"('unsupportive', 'supportive')",-1.461495,-1.3998083,0.0616867
13,0.01949276,-0.0019432083,"('impolite', 'polite')",0.0194928,-0.0019432,-0.021436
14,0.22700813,0.2049031,"('antisocial', 'social')",0.2270081,0.2049031,-0.022105
15,0.41173133,0.39921972,"('boring', 'funny')",0.4117313,0.3992197,-0.0125116
16,-1.1372672,-0.93370783,"('unpopular', 'popular')",-1.1372672,-0.9337078,0.2035594
17,-0.41353625,-0.29777896,"('nasty', 'nice')",-0.4135363,-0.297779,0.1157573
18,-0.73038656,-0.6066993,"('disagreeable', 'welcoming')",-0.7303866,-0.6066993,0.1236873
19,-0.9508072,-0.88334316,"('inhospitable', 'hospitable')",-0.9508072,-0.8833432,0.067464
20,1.0267096,0.9275477,"('rough', 'thoughtful')",1.0267096,0.9275477,-0.0991619
21,0.3563273,0.38428468,"('immoral', 'moral')",0.3563273,0.3842847,0.0279574
22,0.13684584,0.10199016,"('untrustworthy', 'trustworthy')",0.1368458,0.1019902,-0.0348556
23,6.1621456,6.1914206,"('insincere', 'sincere')",6.1621456,6.1914206,0.029275
24,1.6390373,1.5226868,"('dishonest', 'honest')",1.6390373,1.5226868,-0.1163505
25,0.16744468,0.25128773,"('egoistic', 'altruistic')",0.1674447,0.2512877,0.083843
26,0.7937058,0.61743486,"('hardhearted', 'benevolent')",0.7937058,0.6174349,-0.1762709
27,1.6706682,1.5475172,"('hardhearted', 'softhearted')",1.6706682,1.5475172,-0.123151
28,0.9610711,0.79119444,"('disloyal', 'loyal')",0.9610711,0.7911944,-0.1698767
29,-0.17134672,-0.3998868,"('unfair', 'fair')",-0.1713467,-0.3998868,-0.2285401
30,1.378168,1.3685539,"('intolerant', 'tolerant')",1.378168,1.3685539,-0.0096141
