,belly_male,belly_female,tuple,average_male,average_female,female-male
0,0.58407056,0.5282009,"('unsociable', 'sociable')",0.5840706,0.5282009,-0.0558697
1,1.0093514,1.1068602,"('unfriendly', 'friendly')",1.0093514,1.1068602,0.0975088
2,0.4005089,0.53474617,"('unlikable', 'likable')",0.4005089,0.5347462,0.1342373
3,1.1569728,1.2420189,"('repellent', 'pleasant')",1.1569728,1.2420189,0.0850461
4,-7.5836287,-7.5896006,"('disliked', 'liked')",-7.5836287,-7.5896006,-0.0059719
5,-0.72538656,-0.6277435,"('distant', 'outgoing')",-0.7253866,-0.6277435,0.0976431
6,-0.3019541,-0.28071263,"('distant', 'open')",-0.3019541,-0.2807126,0.0212415
7,1.7778797,1.7568567,"('insensitive', 'sensitive')",1.7778797,1.7568567,-0.021023
8,0.85094196,0.8375185,"('unaffectionate', 'affectionate')",0.850942,0.8375185,-0.0134235
9,1.1227098,1.1967502,"('unaffectionate', 'caring')",1.1227098,1.1967502,0.0740404
10,2.0716102,1.8585209,"('unsympathetic', 'sympathetic')",2.0716102,1.8585209,-0.2130893
11,2.1193707,2.1189759,"('unhelpful', 'helpful')",2.1193707,2.1189759,-0.0003948
12,-1.1990316,-1.1526581,"('unsupportive', 'supportive')",-1.1990316,-1.1526581,0.0463735
13,0.5242261,0.5309416,"('impolite', 'polite')",0.5242261,0.5309416,0.0067155
14,0.6068674,0.6180371,"('antisocial', 'social')",0.6068674,0.6180371,0.0111697
15,0.24576493,0.30914798,"('boring', 'funny')",0.2457649,0.309148,0.0633831
16,-0.8383086,-0.72398317,"('unpopular', 'popular')",-0.8383086,-0.7239832,0.1143254
17,0.0249642,-0.15072517,"('nasty', 'nice')",0.0249642,-0.1507252,-0.1756894
18,-0.4026158,-0.31524435,"('disagreeable', 'welcoming')",-0.4026158,-0.3152443,0.0873715
19,-0.548479,-0.5219999,"('inhospitable', 'hospitable')",-0.548479,-0.5219999,0.0264791
20,0.9179332,0.7915219,"('rough', 'thoughtful')",0.9179332,0.7915219,-0.1264113
21,0.5707771,0.61794,"('immoral', 'moral')",0.5707771,0.61794,0.0471629
22,0.36484644,0.32417125,"('untrustworthy', 'trustworthy')",0.3648464,0.3241712,-0.0406752
23,6.7668543,6.860306,"('insincere', 'sincere')",6.7668543,6.8603058,0.0934515
24,2.0283117,2.0397236,"('dishonest', 'honest')",2.0283117,2.0397236,0.0114119
25,0.07183861,0.10592107,"('egoistic', 'altruistic')",0.0718386,0.1059211,0.0340825
26,0.17251953,0.0833998,"('hardhearted', 'benevolent')",0.1725195,0.0833998,-0.0891197
27,1.9087603,1.7596806,"('hardhearted', 'softhearted')",1.9087603,1.7596806,-0.1490797
28,1.2023945,1.1036098,"('disloyal', 'loyal')",1.2023945,1.1036098,-0.0987847
29,-0.21117441,-0.3193065,"('unfair', 'fair')",-0.2111744,-0.3193065,-0.1081321
30,1.4202666,1.3428934,"('intolerant', 'tolerant')",1.4202666,1.3428934,-0.0773732
31,-1.5633945,-1.5192766,"('evil', 'good')",-1.5633945,-1.5192766,0.0441179
32,1.39483,1.3403118,"('unkind', 'kind')",1.39483,1.3403118,-0.0545182
33,-1.2481711,-1.0797455,"('wrong', 'right')",-1.2481711,-1.0797455,0.1684256
34,4.449655,4.6812243,"('mean', 'honorable')",4.4496551,4.6812243,0.2315692
35,-1.395268,-1.5510261,"('corrupt', 'incorrupt')",-1.395268,-1.5510261,-0.1557581
36,-1.2852608,-1.4038048,"('hostile', 'amicable')",-1.2852608,-1.4038048,-0.118544
37,0.8861419,0.8027147,"('fake', 'genuine')",0.8861419,0.8027147,-0.0834272
38,-0.32854906,-0.27395856,"('untruthful', 'truthful')",-0.3285491,-0.2739586,0.0545905
39,0.05888395,0.04238568,"('exploitative', 'cooperative')",0.058884,0.0423857,-0.0164983
40,-0.78033954,-0.9649857,"('stingy', 'generous')",-0.7803395,-0.9649857,-0.1846462
41,0.2759169,0.100121185,"('unforgiving', 'forgiving')",0.2759169,0.1001212,-0.1757957
42,-1.6151088,-1.7532494,"('unreliable', 'reliable')",-1.6151088,-1.7532494,-0.1381406
43,1.7483475,1.7172654,"('irresponsible', 'responsible')",1.7483475,1.7172654,-0.0310821
44,-1.2871063,-1.384617,"('prejudiced', 'unprejudiced')",-1.2871063,-1.384617,-0.0975107
45,0.8133765,0.67695874,"('incompetent', 'competent')",0.8133765,0.6769587,-0.1364178
46,0.03331263,-0.0028988272,"('uncompetitive', 'competitive')",0.0333126,-0.0028988,-0.0362114
47,5.9092693,6.097011,"('stupid', 'smart')",5.9092693,6.0970111,0.1877418
48,1.2047439,1.1732236,"('unintelligent', 'intelligent')",1.2047439,1.1732236,-0.0315203
49,-0.24489018,-0.08242941,"('unable', 'able')",-0.2448902,-0.0824294,0.1624608
50,-0.19740576,-0.21811669,"('clumsy', 'skillful')",-0.1974058,-0.2181167,-0.0207109
51,0.8341193,0.7819773,"('uneducated', 'educated')",0.8341193,0.7819773,-0.052142
52,-0.95503616,-0.98964757,"('irrational', 'rational')",-0.9550362,-0.9896476,-0.0346114
53,0.32506606,0.27939606,"('uncreative', 'creative')",0.3250661,0.2793961,-0.04567
54,0.67759174,0.84116757,"('incapable', 'capable')",0.6775917,0.8411676,0.1635759
55,1.5099767,1.5662003,"('incompetent', 'clever')",1.5099767,1.5662003,0.0562236
56,0.9640213,1.0561985,"('impractical', 'practical')",0.9640213,1.0561985,0.0921772
57,-2.1371589,-2.2713177,"('unimaginative', 'imaginative')",-2.1371589,-2.2713177,-0.1341588
58,-0.043917485,-0.2363713,"('undiscriminating', 'discriminating')",-0.0439175,-0.2363713,-0.1924538
59,-0.3367555,-0.28962767,"('foolish', 'wise')",-0.3367555,-0.2896277,0.0471278
60,0.9444643,1.0505784,"('inefficient', 'efficient')",0.9444643,1.0505784,0.1061141
