,alder_male,alder_female,tuple,average_male,average_female,female-male
0,-0.03151173,-0.073911846,"('unsociable', 'sociable')",-0.0315117,-0.0739118,-0.0424001
1,-0.20928779,-0.42935032,"('unfriendly', 'friendly')",-0.2092878,-0.4293503,-0.2200625
2,-0.11295492,-0.07296221,"('unlikable', 'likable')",-0.1129549,-0.0729622,0.0399927
3,-0.5330334,-0.3579948,"('repellent', 'pleasant')",-0.5330334,-0.3579948,0.1750386
4,-2.4740646,-2.6064525,"('disliked', 'liked')",-2.4740646,-2.6064525,-0.1323879
5,-0.20850179,-0.29608488,"('distant', 'outgoing')",-0.2085018,-0.2960849,-0.0875831
6,0.27142453,0.1128777,"('distant', 'open')",0.2714245,0.1128777,-0.1585468
7,0.952538,0.9952167,"('insensitive', 'sensitive')",0.952538,0.9952167,0.0426787
8,-0.28444803,-0.45835575,"('unaffectionate', 'affectionate')",-0.284448,-0.4583558,-0.1739078
9,0.15825686,0.07152894,"('unaffectionate', 'caring')",0.1582569,0.0715289,-0.086728
10,-0.3578743,-0.2725581,"('unsympathetic', 'sympathetic')",-0.3578743,-0.2725581,0.0853162
11,-0.36997128,-0.20812081,"('unhelpful', 'helpful')",-0.3699713,-0.2081208,0.1618505
12,-0.98847866,-0.9344523,"('unsupportive', 'supportive')",-0.9884787,-0.9344523,0.0540264
13,-0.67662644,-0.5603646,"('impolite', 'polite')",-0.6766264,-0.5603646,0.1162618
14,0.102628194,0.15431301,"('antisocial', 'social')",0.1026282,0.154313,0.0516848
15,0.4918505,0.38075852,"('boring', 'funny')",0.4918505,0.3807585,-0.111092
16,-0.022242194,-0.082997814,"('unpopular', 'popular')",-0.0222422,-0.0829978,-0.0607556
17,-0.12411359,-0.08991754,"('nasty', 'nice')",-0.1241136,-0.0899175,0.0341961
18,-0.25639462,-0.27380177,"('disagreeable', 'welcoming')",-0.2563946,-0.2738018,-0.0174072
19,-0.915037,-0.96279234,"('inhospitable', 'hospitable')",-0.915037,-0.9627923,-0.0477553
20,0.53786016,0.53117645,"('rough', 'thoughtful')",0.5378602,0.5311764,-0.0066838
21,-0.5379126,-0.356717,"('immoral', 'moral')",-0.5379126,-0.356717,0.1811956
22,-0.019642152,-0.00048595294,"('untrustworthy', 'trustworthy')",-0.0196422,-0.000486,0.0191562
23,1.9994539,2.1127524,"('insincere', 'sincere')",1.9994539,2.1127524,0.1132985
24,0.30818406,0.22389308,"('dishonest', 'honest')",0.3081841,0.2238931,-0.084291
25,0.58400005,0.47683334,"('egoistic', 'altruistic')",0.5840001,0.4768333,-0.1071668
26,1.979108,1.6983622,"('hardhearted', 'benevolent')",1.979108,1.6983622,-0.2807458
27,1.1313658,0.9008099,"('hardhearted', 'softhearted')",1.1313658,0.9008099,-0.2305559
28,0.089675136,0.04472346,"('disloyal', 'loyal')",0.0896751,0.0447235,-0.0449516
29,-0.3893095,-0.50214005,"('unfair', 'fair')",-0.3893095,-0.50214,-0.1128305
30,0.037697416,0.11490138,"('intolerant', 'tolerant')",0.0376974,0.1149014,0.077204
31,-0.384701,-0.4980228,"('evil', 'good')",-0.384701,-0.4980228,-0.1133218
32,0.5953737,0.4274768,"('unkind', 'kind')",0.5953737,0.4274768,-0.1678969
33,0.12604226,0.032330923,"('wrong', 'right')",0.1260423,0.0323309,-0.0937114
34,2.7817202,2.922272,"('mean', 'honorable')",2.7817202,2.922272,0.1405518
35,0.74238396,0.48589915,"('corrupt', 'incorrupt')",0.742384,0.4858992,-0.2564848
36,0.29557377,0.08606169,"('hostile', 'amicable')",0.2955738,0.0860617,-0.2095121
37,0.11638579,0.20484728,"('fake', 'genuine')",0.1163858,0.2048473,0.0884615
38,-0.41439962,-0.3879304,"('untruthful', 'truthful')",-0.4143996,-0.3879304,0.0264692
39,-0.21606646,-0.101504296,"('exploitative', 'cooperative')",-0.2160665,-0.1015043,0.1145622
40,-0.89963174,-1.0200374,"('stingy', 'generous')",-0.8996317,-1.0200374,-0.1204057
41,0.3461201,0.30094957,"('unforgiving', 'forgiving')",0.3461201,0.3009496,-0.0451705
42,-1.2816573,-1.1749417,"('unreliable', 'reliable')",-1.2816573,-1.1749417,0.1067156
43,-0.14538875,-0.06564064,"('irresponsible', 'responsible')",-0.1453888,-0.0656406,0.0797482
44,-0.6642097,-0.55631995,"('prejudiced', 'unprejudiced')",-0.6642097,-0.55632,0.1078897
45,0.92802733,0.93512523,"('incompetent', 'competent')",0.9280273,0.9351252,0.0070979
46,-0.47909397,-0.41239762,"('uncompetitive', 'competitive')",-0.479094,-0.4123976,0.0666964
47,2.8150833,2.8863542,"('stupid', 'smart')",2.8150833,2.8863542,0.0712709
48,-0.36477542,-0.3440096,"('unintelligent', 'intelligent')",-0.3647754,-0.3440096,0.0207658
49,-0.25846756,-0.14817928,"('unable', 'able')",-0.2584676,-0.1481793,0.1102883
50,-0.4587061,-0.49689457,"('clumsy', 'skillful')",-0.4587061,-0.4968946,-0.0381885
51,-0.90958077,-0.88976115,"('uneducated', 'educated')",-0.9095808,-0.8897611,0.0198197
52,-1.2295585,-1.4180862,"('irrational', 'rational')",-1.2295585,-1.4180862,-0.1885277
53,-0.41989258,-0.5570249,"('uncreative', 'creative')",-0.4198926,-0.5570249,-0.1371323
54,-0.21770422,-0.23399572,"('incapable', 'capable')",-0.2177042,-0.2339957,-0.0162915
55,0.60211104,0.6970269,"('incompetent', 'clever')",0.602111,0.6970269,0.0949159
56,0.57073337,0.68193907,"('impractical', 'practical')",0.5707334,0.6819391,0.1112057
57,-1.4768639,-1.5868393,"('unimaginative', 'imaginative')",-1.4768639,-1.5868393,-0.1099754
58,0.6085619,0.49758166,"('undiscriminating', 'discriminating')",0.6085619,0.4975817,-0.1109802
59,-0.106110364,-0.19319335,"('foolish', 'wise')",-0.1061104,-0.1931933,-0.0870829
60,-0.011360879,0.27203777,"('inefficient', 'efficient')",-0.0113609,0.2720378,0.2833987
61,-0.29529342,-0.40322572,"('illogical', 'logical')",-0.2952934,-0.4032257,-0.1079323
62,-0.09980164,0.14659128,"('incompetent', 'brilliant')",-0.0998016,0.1465913,0.2463929
63,-0.5724394,-0.47311506,"('unperceptive', 'insightful')",-0.5724394,-0.4731151,0.0993243
64,-3.6223445,-3.537697,"('shy', 'confident')",-3.6223445,-3.5376971,0.0846474
65,-0.07449676,0.033153333,"('insecure', 'secure')",-0.0744968,0.0331533,0.1076501
66,0.42893383,0.21239892,"('inactive', 'active')",0.4289338,0.2123989,-0.2165349
67,-0.13430429,-0.035902664,"('doubtful', 'determined')",-0.1343043,-0.0359027,0.0984016
68,-0.50964475,-0.5062772,"('dependent', 'independent')",-0.5096447,-0.5062772,0.0033675
69,-0.030138526,-0.12001612,"('lazy', 'industrious')",-0.0301385,-0.1200161,-0.0898776
70,0.117747076,0.17330603,"('lethargic', 'energetic')",0.1177471,0.173306,0.0555589
71,0.2601762,0.25192398,"('diffident', 'self-confident')",0.2601762,0.251924,-0.0082522
72,-0.22027205,-0.28054988,"('unambitious', 'ambitious')",-0.220272,-0.2805499,-0.0602779
