,mylan_male,mylan_female,tuple,nv_male,nv_female,average_male,average_female,female-male
0,1.0948771,1.015286,"('unsociable', 'sociable')",0.37760693,0.3422899,0.7362421,0.6787879,-0.0574542
1,-0.9820681,-1.0988191,"('unfriendly', 'friendly')",-1.3751596,-1.5376991,-1.1786139,-1.3182591,-0.1396452
2,0.94595885,0.99503857,"('unlikable', 'likable')",1.3588802,1.3797737,1.1524196,1.1874062,0.0349866
3,0.5503852,0.74054897,"('repellent', 'pleasant')",1.3705292,1.4600468,0.9604572,1.1002979,0.1398407
4,0.5074846,0.4363928,"('disliked', 'liked')",-2.0362432,-2.1155314,-0.7643793,-0.8395693,-0.07519
5,-1.3574885,-1.3344984,"('distant', 'outgoing')",-1.3201835,-1.3632108,-1.338836,-1.3488545,-0.0100185
6,-1.8198018,-1.8092904,"('distant', 'open')",-1.2381203,-1.2580478,-1.5289611,-1.5336691,-0.004708
7,0.35664943,0.44957012,"('insensitive', 'sensitive')",-0.30087566,-0.2464605,0.0278869,0.1015548,0.0736679
8,-0.29515445,-0.36646095,"('unaffectionate', 'affectionate')",-1.1577233,-1.2625445,-0.7264389,-0.8145027,-0.0880638
9,-0.3279868,-0.38540462,"('unaffectionate', 'caring')",-0.6559247,-0.7661809,-0.4919558,-0.5757927,-0.0838369
10,-0.025054054,0.043461666,"('unsympathetic', 'sympathetic')",0.1408582,0.19666508,0.0579021,0.1200634,0.0621613
11,1.1709104,1.2054268,"('unhelpful', 'helpful')",1.5530903,1.5510855,1.3620003,1.3782561,0.0162558
12,0.6386834,0.7207706,"('unsupportive', 'supportive')",-0.5365099,-0.5219496,0.0510868,0.0994105,0.0483237
13,-0.13180706,-0.08901163,"('impolite', 'polite')",0.0049325596,0.08667665,-0.0634373,-0.0011675,0.0622698
14,1.336216,1.4639018,"('antisocial', 'social')",0.6173511,0.671683,0.9767835,1.0677924,0.0910089
15,0.15295152,0.026736857,"('boring', 'funny')",1.098185,0.9746678,0.6255682,0.5007023,-0.1248659
16,-0.3768681,-0.3890368,"('unpopular', 'popular')",-0.33008716,-0.34345564,-0.3534776,-0.3662462,-0.0127686
17,0.3662673,0.35067537,"('nasty', 'nice')",-0.039489016,-0.022369305,0.1633891,0.164153,0.0007639
18,0.5800007,0.63195235,"('disagreeable', 'welcoming')",-0.82525927,-0.83525556,-0.1226293,-0.1016516,0.0209777
19,-1.1384634,-1.1404177,"('inhospitable', 'hospitable')",-0.4394095,-0.506529,-0.7889364,-0.8234733,-0.0345369
20,-0.49133983,-0.46460968,"('rough', 'thoughtful')",-0.052476004,-0.068127826,-0.2719079,-0.2663687,0.0055392
21,0.11028605,0.18221952,"('immoral', 'moral')",0.29755405,0.39766556,0.2039201,0.2899425,0.0860224
22,0.5492801,0.6936,"('untrustworthy', 'trustworthy')",0.46828,0.5789467,0.5087801,0.6362734,0.1274933
23,0.645019,0.6109345,"('insincere', 'sincere')",2.3656404,2.3164365,1.5053297,1.4636855,-0.0416442
24,0.14115831,0.18669587,"('dishonest', 'honest')",0.11070782,0.07930642,0.1259331,0.1330011,0.007068
25,-0.4807454,-0.49216026,"('egoistic', 'altruistic')",-0.49317074,-0.56698304,-0.4869581,-0.5295717,-0.0426136
26,-0.19239336,-0.22210665,"('hardhearted', 'benevolent')",-0.065067016,-0.17272428,-0.1287302,-0.1974155,-0.0686853
