,ppg_male,ppg_female,tuple,industries_male,industries_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.4843225,-0.5999273,"('unsociable', 'sociable')",-0.09775121,-0.25196752,-0.319831,-0.44250786,-0.3006349,-0.4314676,-0.1308327
1,-0.79528725,-0.83904374,"('unfriendly', 'friendly')",-0.42448583,-0.5272877,1.7184088,1.5580941,0.1662119,0.0639209,-0.102291
2,1.0995607,1.1157913,"('unlikable', 'likable')",0.46581352,0.49821877,0.6140025,0.71978676,0.7264589,0.7779323,0.0514734
3,-0.15808241,-0.031551726,"('repellent', 'pleasant')",0.36509243,0.45720148,0.18510145,0.21537375,0.1307038,0.2136745,0.0829707
4,0.27542737,0.2263496,"('disliked', 'liked')",0.32168037,0.27484286,-5.833529,-5.886969,-1.7454737,-1.7952588,-0.0497851
5,-0.38814265,-0.37171555,"('distant', 'outgoing')",-0.5878683,-0.5147251,-0.30144876,-0.31388083,-0.4258199,-0.4001071,0.0257128
6,-0.8123388,-0.77956736,"('distant', 'open')",-1.1761932,-1.1213272,0.14669697,0.07077922,-0.613945,-0.6100384,0.0039066
7,0.058736578,-0.016416132,"('insensitive', 'sensitive')",0.29278633,0.2686563,0.6483958,0.5971615,0.3333062,0.2831339,-0.0501723
8,-0.5473323,-0.563749,"('unaffectionate', 'affectionate')",-0.39103383,-0.42511454,0.4835657,0.34880036,-0.1516001,-0.2133544,-0.0617543
9,-0.5269937,-0.58413064,"('unaffectionate', 'caring')",-0.3615618,-0.40237004,0.9165649,0.8300825,0.0093365,-0.0521394,-0.0614759
10,-1.1741596,-1.2154069,"('unsympathetic', 'sympathetic')",-0.45229614,-0.47898546,-0.41562542,-0.43762556,-0.6806937,-0.7106726,-0.0299789
11,-0.026892193,-0.037085474,"('unhelpful', 'helpful')",1.0348395,0.99659586,2.0950859,2.0974119,1.0343444,1.0189741,-0.0153703
12,0.079285055,0.15356268,"('unsupportive', 'supportive')",-0.09112553,-0.009575859,-2.0168173,-2.0065663,-0.6762193,-0.6208598,0.0553595
13,-0.16942501,-0.22162627,"('impolite', 'polite')",0.15528019,0.1320114,-0.29086173,-0.34604213,-0.1016689,-0.145219,-0.0435501
14,0.6049756,0.55591077,"('antisocial', 'social')",1.6788191,1.6021322,-0.27646962,-0.33048236,0.6691083,0.6091868,-0.0599215
15,0.5883689,0.4497478,"('boring', 'funny')",0.4675482,0.38449687,1.0963256,1.0637578,0.7174142,0.6326675,-0.0847467
16,-0.47278392,-0.4476698,"('unpopular', 'popular')",-0.5898659,-0.60203075,0.72545177,0.681538,-0.1123994,-0.1227208,-0.0103214
17,-0.27513698,-0.19729877,"('nasty', 'nice')",-0.13115902,-0.06756728,-0.10522795,-0.0749304,-0.170508,-0.1132655,0.0572425
18,-0.9913788,-1.0063711,"('disagreeable', 'welcoming')",-0.4803605,-0.51571226,-0.47704318,-0.5121046,-0.6495941,-0.6780627,-0.0284686
19,-0.1601348,-0.1144458,"('inhospitable', 'hospitable')",-0.92450315,-0.8852994,0.07293736,0.11188781,-0.3372335,-0.2959525,0.041281
20,-0.05925288,-0.02590788,"('rough', 'thoughtful')",0.22445896,0.2738262,0.7601793,0.7113688,0.3084618,0.3197624,0.0113006
