,astrology_male,astrology_female,tuple,average_male,average_female,female-male
0,-0.36938703,-0.5511989,"('unsociable', 'sociable')",-0.369387,-0.5511989,-0.1818119
1,0.7107488,0.6327467,"('unfriendly', 'friendly')",0.7107488,0.6327467,-0.0780021
2,0.33419153,0.33864233,"('unlikable', 'likable')",0.3341915,0.3386423,0.0044508
3,-0.6453462,-0.6407264,"('repellent', 'pleasant')",-0.6453462,-0.6407264,0.0046198
4,-3.1165476,-3.1705914,"('disliked', 'liked')",-3.1165476,-3.1705914,-0.0540438
5,-1.4604988,-1.3017838,"('distant', 'outgoing')",-1.4604988,-1.3017838,0.158715
6,-1.4004304,-1.2336705,"('distant', 'open')",-1.4004304,-1.2336705,0.1667599
7,-0.3581402,-0.27443027,"('insensitive', 'sensitive')",-0.3581402,-0.2744303,0.0837099
8,0.54931897,0.48722097,"('unaffectionate', 'affectionate')",0.549319,0.487221,-0.062098
9,0.4104581,0.4144489,"('unaffectionate', 'caring')",0.4104581,0.4144489,0.0039908
10,-1.0851146,-1.0956494,"('unsympathetic', 'sympathetic')",-1.0851146,-1.0956494,-0.0105348
11,1.248671,1.3103997,"('unhelpful', 'helpful')",1.2486711,1.3103997,0.0617286
12,-1.1049594,-1.0439303,"('unsupportive', 'supportive')",-1.1049594,-1.0439303,0.0610291
13,-0.702346,-0.6753567,"('impolite', 'polite')",-0.702346,-0.6753567,0.0269893
14,-0.32809174,-0.40567294,"('antisocial', 'social')",-0.3280917,-0.4056729,-0.0775812
15,0.5456185,0.50295,"('boring', 'funny')",0.5456185,0.50295,-0.0426685
16,0.56510025,0.45847613,"('unpopular', 'popular')",0.5651003,0.4584761,-0.1066242
17,-0.51069105,-0.4519704,"('nasty', 'nice')",-0.510691,-0.4519704,0.0587206
18,-0.40366983,-0.35007417,"('disagreeable', 'welcoming')",-0.4036698,-0.3500742,0.0535956
19,-0.95357406,-0.934837,"('inhospitable', 'hospitable')",-0.9535741,-0.934837,0.0187371
20,0.718982,0.7533122,"('rough', 'thoughtful')",0.718982,0.7533122,0.0343302
21,0.32812396,0.31807202,"('immoral', 'moral')",0.328124,0.318072,-0.010052
22,-0.8074716,-0.79601777,"('untrustworthy', 'trustworthy')",-0.8074716,-0.7960178,0.0114538
23,3.4637132,3.4439232,"('insincere', 'sincere')",3.4637132,3.4439232,-0.01979
24,0.1365156,0.25965843,"('dishonest', 'honest')",0.1365156,0.2596584,0.1231428
25,0.76383615,0.69883615,"('egoistic', 'altruistic')",0.7638361,0.6988361,-0.065
26,2.020425,1.8116361,"('hardhearted', 'benevolent')",2.0204251,1.8116361,-0.208789
27,0.6575368,0.7237064,"('hardhearted', 'softhearted')",0.6575368,0.7237064,0.0661696
28,0.45177782,0.3331878,"('disloyal', 'loyal')",0.4517778,0.3331878,-0.11859
29,-0.7235522,-0.7857218,"('unfair', 'fair')",-0.7235522,-0.7857218,-0.0621696
30,-0.22816274,-0.1505336,"('intolerant', 'tolerant')",-0.2281627,-0.1505336,0.0776291
31,-1.6677362,-1.7162195,"('evil', 'good')",-1.6677362,-1.7162195,-0.0484833
32,1.3397244,1.2820301,"('unkind', 'kind')",1.3397244,1.2820301,-0.0576943
33,-0.3251774,-0.27469534,"('wrong', 'right')",-0.3251774,-0.2746953,0.0504821
34,3.116002,3.2959752,"('mean', 'honorable')",3.1160021,3.2959752,0.1799731
35,-0.0031851856,-0.03501945,"('corrupt', 'incorrupt')",-0.0031852,-0.0350194,-0.0318342
36,0.31347072,0.090773344,"('hostile', 'amicable')",0.3134707,0.0907733,-0.2226974
37,-0.6983763,-0.63550925,"('fake', 'genuine')",-0.6983763,-0.6355093,0.062867
38,0.27831188,0.2748944,"('untruthful', 'truthful')",0.2783119,0.2748944,-0.0034175
39,-0.1811885,-0.026954923,"('exploitative', 'cooperative')",-0.1811885,-0.0269549,0.1542336
40,-1.3939846,-1.378885,"('stingy', 'generous')",-1.3939846,-1.378885,0.0150996
41,-0.18183367,-0.23252158,"('unforgiving', 'forgiving')",-0.1818337,-0.2325216,-0.0506879
42,-1.7170911,-1.6517855,"('unreliable', 'reliable')",-1.7170911,-1.6517855,0.0653056
43,0.12083125,0.21819904,"('irresponsible', 'responsible')",0.1208313,0.218199,0.0973677
44,-0.7501729,-0.5886943,"('prejudiced', 'unprejudiced')",-0.7501729,-0.5886943,0.1614786
45,-0.7519809,-0.7620313,"('incompetent', 'competent')",-0.7519809,-0.7620313,-0.0100504
46,-1.0934914,-1.12684,"('uncompetitive', 'competitive')",-1.0934914,-1.12684,-0.0333486
47,2.9215667,2.9842327,"('stupid', 'smart')",2.9215667,2.9842327,0.062666
48,1.1953365,1.1093886,"('unintelligent', 'intelligent')",1.1953365,1.1093886,-0.0859479
49,0.119936764,0.18392858,"('unable', 'able')",0.1199368,0.1839286,0.0639918
50,0.63171685,0.5599136,"('clumsy', 'skillful')",0.6317168,0.5599136,-0.0718032
51,0.1412588,-0.010660496,"('uneducated', 'educated')",0.1412588,-0.0106605,-0.1519193
52,-0.39418793,-0.5504525,"('irrational', 'rational')",-0.3941879,-0.5504525,-0.1562646
53,-0.17799385,-0.24422279,"('uncreative', 'creative')",-0.1779938,-0.2442228,-0.066229
54,0.4415564,0.39836136,"('incapable', 'capable')",0.4415564,0.3983614,-0.043195
55,-0.18408313,-0.19275397,"('incompetent', 'clever')",-0.1840831,-0.192754,-0.0086709
56,0.79416686,0.8396211,"('impractical', 'practical')",0.7941669,0.8396211,0.0454542
57,-1.9756672,-2.0420988,"('unimaginative', 'imaginative')",-1.9756672,-2.0420988,-0.0664316
58,0.73280036,0.6021215,"('undiscriminating', 'discriminating')",0.7328004,0.6021215,-0.1306789
59,0.5299426,0.52866447,"('foolish', 'wise')",0.5299426,0.5286645,-0.0012781
60,0.08021764,0.26620942,"('inefficient', 'efficient')",0.0802176,0.2662094,0.1859918
61,0.052742098,0.021673016,"('illogical', 'logical')",0.0527421,0.021673,-0.0310691
62,-0.027839644,0.13812655,"('incompetent', 'brilliant')",-0.0278396,0.1381266,0.1659662
63,0.25209627,0.28130853,"('unperceptive', 'insightful')",0.2520963,0.2813085,0.0292122
64,-3.6734319,-3.6648629,"('shy', 'confident')",-3.6734319,-3.6648629,0.008569
65,0.054754462,0.05601059,"('insecure', 'secure')",0.0547545,0.0560106,0.0012561
66,-0.64820606,-0.6824495,"('inactive', 'active')",-0.6482061,-0.6824495,-0.0342434
67,-0.7307418,-0.665332,"('doubtful', 'determined')",-0.7307418,-0.665332,0.0654098
68,-0.48308966,-0.47524044,"('dependent', 'independent')",-0.4830897,-0.4752404,0.0078493
69,-0.8221138,-0.7828728,"('lazy', 'industrious')",-0.8221138,-0.7828728,0.039241
70,-0.84002537,-0.7989185,"('lethargic', 'energetic')",-0.8400254,-0.7989185,0.0411069
71,0.3655879,0.36684027,"('diffident', 'self-confident')",0.3655879,0.3668403,0.0012524
72,0.4608726,0.48258802,"('unambitious', 'ambitious')",0.4608726,0.482588,0.0217154
73,-1.4053677,-1.325787,"('helpless', 'self-reliant')",-1.4053677,-1.3257869,0.0795808
74,0.16112444,0.14943966,"('undedicated', 'dedicated')",0.1611244,0.1494397,-0.0116847
75,0.4487009,0.38683838,"('meek', 'impulsive')",0.4487009,0.3868384,-0.0618625
76,-0.34578258,-0.25489506,"('anxious', 'daring')",-0.3457826,-0.2548951,0.0908875
77,-0.48273402,-0.49845773,"('unmotivated', 'motivated')",-0.482734,-0.4984577,-0.0157237
78,-0.3778084,-0.4342121,"('nonresilient', 'resilient')",-0.3778084,-0.4342121,-0.0564037
79,-0.067587115,-0.11632732,"('wavering', 'unwavering')",-0.0675871,-0.1163273,-0.0487402
80,-0.63211477,-0.55874467,"('dominated', 'dominating')",-0.6321148,-0.5587447,0.0733701
81,-0.56605434,-0.5654197,"('submissive', 'aggressive')",-0.5660543,-0.5654197,0.0006346
82,3.6824162,3.665159,"('poor', 'rich')",3.6824162,3.665159,-0.0172572
83,0.13117507,0.0018906593,"('powerless', 'powerful')",0.1311751,0.0018907,-0.1292844
84,0.26959658,0.2696424,"('inferior', 'superior')",0.2695966,0.2696424,4.58e-05
85,1.0690074,0.9582534,"('insignificant', 'prestigious')",1.0690074,0.9582534,-0.110754
86,0.13711312,-0.013270507,"('uninfluential', 'influential')",0.1371131,-0.0132705,-0.1503836
87,-0.15317422,-0.18740332,"('unsuccessful', 'successful')",-0.1531742,-0.1874033,-0.0342291
88,0.44472712,0.3612725,"('low', 'eminent')",0.4447271,0.3612725,-0.0834546
