,mascara_male,mascara_female,tuple,average_male,average_female,female-male
0,-0.3906664,-0.61456466,"('unsociable', 'sociable')",-0.3906664,-0.6145647,-0.2238983
1,1.200472,1.3306266,"('unfriendly', 'friendly')",1.200472,1.3306266,0.1301546
2,-0.10815117,0.007053964,"('unlikable', 'likable')",-0.1081512,0.007054,0.1152052
3,0.5424169,0.4582725,"('repellent', 'pleasant')",0.5424169,0.4582725,-0.0841444
4,-7.2322445,-7.3029437,"('disliked', 'liked')",-7.2322445,-7.3029437,-0.0706992
5,-0.38061666,-0.17289367,"('distant', 'outgoing')",-0.3806167,-0.1728937,0.207723
6,0.13810277,0.22548969,"('distant', 'open')",0.1381028,0.2254897,0.0873869
7,0.66910475,0.6394632,"('insensitive', 'sensitive')",0.6691048,0.6394632,-0.0296416
8,1.0960839,1.2535833,"('unaffectionate', 'affectionate')",1.0960839,1.2535833,0.1574994
9,1.3152821,1.5441633,"('unaffectionate', 'caring')",1.3152821,1.5441633,0.2288812
10,0.94584364,0.70382005,"('unsympathetic', 'sympathetic')",0.9458436,0.70382,-0.2420236
11,1.387556,1.3676131,"('unhelpful', 'helpful')",1.387556,1.3676131,-0.0199429
12,-1.6159725,-1.5949419,"('unsupportive', 'supportive')",-1.6159725,-1.5949419,0.0210306
13,-0.15324056,-0.38099104,"('impolite', 'polite')",-0.1532406,-0.380991,-0.2277504
14,-0.038750596,-0.30997294,"('antisocial', 'social')",-0.0387506,-0.3099729,-0.2712223
15,0.08524028,0.016624782,"('boring', 'funny')",0.0852403,0.0166248,-0.0686155
16,-0.57649976,-0.43120712,"('unpopular', 'popular')",-0.5764998,-0.4312071,0.1452927
17,-0.61609715,-0.5146166,"('nasty', 'nice')",-0.6160972,-0.5146166,0.1014806
18,-0.048841804,-0.11401434,"('disagreeable', 'welcoming')",-0.0488418,-0.1140143,-0.0651725
19,-0.57263845,-0.48873162,"('inhospitable', 'hospitable')",-0.5726385,-0.4887316,0.0839069
20,1.0684881,1.0292377,"('rough', 'thoughtful')",1.0684881,1.0292377,-0.0392504
21,-0.4328987,-0.5597518,"('immoral', 'moral')",-0.4328987,-0.5597518,-0.1268531
22,-0.6263769,-0.8653272,"('untrustworthy', 'trustworthy')",-0.6263769,-0.8653272,-0.2389503
23,6.177262,6.2173386,"('insincere', 'sincere')",6.1772618,6.2173386,0.0400768
24,1.4548652,1.3282958,"('dishonest', 'honest')",1.4548652,1.3282958,-0.1265694
25,0.914145,0.9520374,"('egoistic', 'altruistic')",0.914145,0.9520374,0.0378924
26,0.8338915,0.92696923,"('hardhearted', 'benevolent')",0.8338915,0.9269692,0.0930777
27,1.5647011,1.4281833,"('hardhearted', 'softhearted')",1.5647011,1.4281833,-0.1365178
28,1.1473707,1.0855314,"('disloyal', 'loyal')",1.1473707,1.0855314,-0.0618393
29,-1.026176,-1.1990751,"('unfair', 'fair')",-1.026176,-1.1990751,-0.1728991
30,0.79104316,0.7252988,"('intolerant', 'tolerant')",0.7910432,0.7252988,-0.0657444
31,-1.1762948,-0.9445846,"('evil', 'good')",-1.1762948,-0.9445846,0.2317102
32,1.0188198,0.95607543,"('unkind', 'kind')",1.0188198,0.9560754,-0.0627444
33,-0.43991914,-0.37025535,"('wrong', 'right')",-0.4399191,-0.3702554,0.0696637
34,4.242666,4.358332,"('mean', 'honorable')",4.2426658,4.3583322,0.1156664
35,-0.72743237,-0.800076,"('corrupt', 'incorrupt')",-0.7274324,-0.800076,-0.0726436
36,-0.724833,-0.62786657,"('hostile', 'amicable')",-0.724833,-0.6278666,0.0969664
37,0.89663285,0.84292436,"('fake', 'genuine')",0.8966329,0.8429244,-0.0537085
38,-0.30233374,-0.23246051,"('untruthful', 'truthful')",-0.3023337,-0.2324605,0.0698732
39,0.51038766,0.4164753,"('exploitative', 'cooperative')",0.5103877,0.4164753,-0.0939124
40,-1.1658669,-1.3560103,"('stingy', 'generous')",-1.1658669,-1.3560103,-0.1901434
41,-0.12683952,-0.157297,"('unforgiving', 'forgiving')",-0.1268395,-0.157297,-0.0304575
42,-2.0854967,-2.3575351,"('unreliable', 'reliable')",-2.0854967,-2.3575351,-0.2720384
43,0.75341994,0.7248442,"('irresponsible', 'responsible')",0.7534199,0.7248442,-0.0285757
44,-0.6549798,-0.70757675,"('prejudiced', 'unprejudiced')",-0.6549798,-0.7075768,-0.052597
45,-0.34684047,-0.45032,"('incompetent', 'competent')",-0.3468405,-0.45032,-0.1034795
46,-0.5849865,-0.9098186,"('uncompetitive', 'competitive')",-0.5849865,-0.9098186,-0.3248321
47,4.70667,4.8471675,"('stupid', 'smart')",4.7066698,4.8471675,0.1404977
48,0.30702084,0.22857997,"('unintelligent', 'intelligent')",0.3070208,0.22858,-0.0784408
49,0.07645,0.09198719,"('unable', 'able')",0.07645,0.0919872,0.0155372
50,-0.28694,-0.27755708,"('clumsy', 'skillful')",-0.28694,-0.2775571,0.0093829
51,0.5671513,0.28757048,"('uneducated', 'educated')",0.5671513,0.2875705,-0.2795808
52,-0.70518744,-0.56758016,"('irrational', 'rational')",-0.7051874,-0.5675802,0.1376072
53,-0.0944217,-0.07040666,"('uncreative', 'creative')",-0.0944217,-0.0704067,0.024015
54,0.9565762,1.0138016,"('incapable', 'capable')",0.9565762,1.0138016,0.0572254
55,0.6510878,0.49523288,"('incompetent', 'clever')",0.6510878,0.4952329,-0.1558549
56,0.5744042,0.48508537,"('impractical', 'practical')",0.5744042,0.4850854,-0.0893188
57,-2.5424724,-2.6138265,"('unimaginative', 'imaginative')",-2.5424724,-2.6138265,-0.0713541
58,0.072404236,0.07603541,"('undiscriminating', 'discriminating')",0.0724042,0.0760354,0.0036312
59,-0.25957566,-0.17294182,"('foolish', 'wise')",-0.2595757,-0.1729418,0.0866339
60,0.43149802,0.3222382,"('inefficient', 'efficient')",0.431498,0.3222382,-0.1092598
61,0.09110019,-0.08617537,"('illogical', 'logical')",0.0911002,-0.0861754,-0.1772756
62,0.15271702,0.16660896,"('incompetent', 'brilliant')",0.152717,0.166609,0.013892
63,-0.0374722,-0.07410766,"('unperceptive', 'insightful')",-0.0374722,-0.0741077,-0.0366355
64,-6.1228175,-6.2641644,"('shy', 'confident')",-6.1228175,-6.2641644,-0.1413469
65,0.1524815,-0.083403125,"('insecure', 'secure')",0.1524815,-0.0834031,-0.2358846
66,-0.35777652,-0.5012889,"('inactive', 'active')",-0.3577765,-0.5012889,-0.1435124
67,-0.6551073,-0.6373045,"('doubtful', 'determined')",-0.6551073,-0.6373045,0.0178028
68,-0.52922195,-0.62891626,"('dependent', 'independent')",-0.529222,-0.6289163,-0.0996943
69,-1.9863013,-1.87568,"('lazy', 'industrious')",-1.9863013,-1.87568,0.1106213
70,1.0224547,0.70622414,"('lethargic', 'energetic')",1.0224547,0.7062241,-0.3162306
71,0.7626174,0.8230683,"('diffident', 'self-confident')",0.7626174,0.8230683,0.0604509
72,0.658566,0.7889607,"('unambitious', 'ambitious')",0.658566,0.7889607,0.1303947
73,-2.6112766,-2.4145882,"('helpless', 'self-reliant')",-2.6112766,-2.4145882,0.1966884
74,0.41171834,0.32985076,"('undedicated', 'dedicated')",0.4117183,0.3298508,-0.0818675
75,-0.99387187,-0.8714333,"('meek', 'impulsive')",-0.9938719,-0.8714333,0.1224386
76,0.931975,0.7390482,"('anxious', 'daring')",0.931975,0.7390482,-0.1929268
77,-1.506371,-1.3746115,"('unmotivated', 'motivated')",-1.506371,-1.3746115,0.1317595
78,-0.48859262,-0.4415926,"('nonresilient', 'resilient')",-0.4885926,-0.4415926,0.047
79,-0.117283575,0.038148753,"('wavering', 'unwavering')",-0.1172836,0.0381488,0.1554324
80,-0.3099294,-0.5466392,"('dominated', 'dominating')",-0.3099294,-0.5466392,-0.2367098
81,0.19598779,-0.06690107,"('submissive', 'aggressive')",0.1959878,-0.0669011,-0.2628889
82,5.9199815,5.9848204,"('poor', 'rich')",5.9199815,5.9848204,0.0648389
83,-0.07014002,-0.1257388,"('powerless', 'powerful')",-0.07014,-0.1257388,-0.0555988
84,0.23058794,0.26669514,"('inferior', 'superior')",0.2305879,0.2666951,0.0361072
85,-0.18355674,0.057779886,"('insignificant', 'prestigious')",-0.1835567,0.0577799,0.2413366
86,0.31152245,0.13560218,"('uninfluential', 'influential')",0.3115225,0.1356022,-0.1759203
87,-0.57042146,-0.46568525,"('unsuccessful', 'successful')",-0.5704215,-0.4656852,0.1047363
88,0.5518501,0.6062903,"('low', 'eminent')",0.5518501,0.6062903,0.0544402
