,resident_male,resident_female,tuple,average_male,average_female,female-male
0,0.37401587,0.38471463,"('unsociable', 'sociable')",0.3740159,0.3847146,0.0106987
1,0.75524896,0.6142262,"('unfriendly', 'friendly')",0.755249,0.6142262,-0.1410228
2,-0.13519935,-0.0654465,"('unlikable', 'likable')",-0.1351994,-0.0654465,0.0697529
3,0.5617091,0.69263965,"('repellent', 'pleasant')",0.5617091,0.6926396,0.1309305
4,-7.3225546,-7.3328276,"('disliked', 'liked')",-7.3225546,-7.3328276,-0.010273
5,-1.3238606,-1.4748183,"('distant', 'outgoing')",-1.3238606,-1.4748183,-0.1509577
6,-0.7536214,-1.0179751,"('distant', 'open')",-0.7536214,-1.0179751,-0.2643537
7,1.2843539,1.3921357,"('insensitive', 'sensitive')",1.2843539,1.3921357,0.1077818
8,0.62554556,0.41971415,"('unaffectionate', 'affectionate')",0.6255456,0.4197142,-0.2058314
9,1.2576154,1.2560143,"('unaffectionate', 'caring')",1.2576154,1.2560143,-0.0016011
10,1.2567447,1.2699281,"('unsympathetic', 'sympathetic')",1.2567447,1.2699281,0.0131834
11,2.1642623,2.2285,"('unhelpful', 'helpful')",2.1642623,2.2284999,0.0642376
12,-1.4364856,-1.3986211,"('unsupportive', 'supportive')",-1.4364856,-1.3986211,0.0378645
13,0.104018934,0.23876476,"('impolite', 'polite')",0.1040189,0.2387648,0.1347459
14,0.5249167,0.7037388,"('antisocial', 'social')",0.5249167,0.7037388,0.1788221
15,-0.03188373,0.0011872365,"('boring', 'funny')",-0.0318837,0.0011872,0.0330709
16,-0.7458847,-0.68230873,"('unpopular', 'popular')",-0.7458847,-0.6823087,0.063576
17,0.23414163,0.16994044,"('nasty', 'nice')",0.2341416,0.1699404,-0.0642012
18,-0.78948104,-0.83371395,"('disagreeable', 'welcoming')",-0.789481,-0.8337139,-0.0442329
19,-0.7601836,-0.89955187,"('inhospitable', 'hospitable')",-0.7601836,-0.8995519,-0.1393683
20,0.55802107,0.47161534,"('rough', 'thoughtful')",0.5580211,0.4716153,-0.0864058
21,-0.044378687,0.24393107,"('immoral', 'moral')",-0.0443787,0.2439311,0.2883098
22,0.15790775,0.20111927,"('untrustworthy', 'trustworthy')",0.1579078,0.2011193,0.0432115
23,6.3504934,6.4101,"('insincere', 'sincere')",6.3504934,6.4101,0.0596066
24,1.6213031,1.6082094,"('dishonest', 'honest')",1.6213031,1.6082094,-0.0130937
25,0.3254817,0.16861407,"('egoistic', 'altruistic')",0.3254817,0.1686141,-0.1568676
26,1.1105342,0.90658015,"('hardhearted', 'benevolent')",1.1105342,0.9065802,-0.203954
27,1.4034275,1.1130188,"('hardhearted', 'softhearted')",1.4034275,1.1130188,-0.2904087
