,franklin_male,franklin_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.2246372,-1.385039,"('unsociable', 'sociable')",-0.11737571,-0.29944006,-0.49162897,-0.62418205,-0.611214,-0.7695537,-0.1583397
1,-0.11248275,-0.21377459,"('unfriendly', 'friendly')",0.31962392,0.07499039,1.5017871,1.3124392,0.5696427,0.3912183,-0.1784244
2,0.5012061,0.4930529,"('unlikable', 'likable')",0.8922284,0.8627875,0.6115615,0.64234316,0.668332,0.6660612,-0.0022708
3,0.12925011,0.18050951,"('repellent', 'pleasant')",0.845141,0.9587498,0.19609882,0.24916963,0.3901633,0.4628096,0.0726463
4,-0.8444978,-0.9190691,"('disliked', 'liked')",-0.20968607,-0.34256074,-6.0129347,-5.9629197,-2.3557062,-2.4081831,-0.0524769
5,-0.8756439,-0.8563555,"('distant', 'outgoing')",-0.6225543,-0.6688001,-0.15195692,-0.21675977,-0.5500517,-0.5806384,-0.0305867
6,-1.3972547,-1.3633053,"('distant', 'open')",-1.0099685,-1.1149874,0.3157692,0.23277506,-0.6971513,-0.7485059,-0.0513546
7,0.5021994,0.49221864,"('insensitive', 'sensitive')",0.4834876,0.5914816,0.83392346,0.8437328,0.6065368,0.6424777,0.0359409
8,-0.28426084,-0.3039182,"('unaffectionate', 'affectionate')",-0.4045838,-0.5131548,0.699701,0.5614255,0.0036188,-0.0852158,-0.0888346
9,0.97453433,0.9788711,"('unaffectionate', 'caring')",0.56917816,0.52217335,1.1085232,1.0278062,0.8840786,0.8429502,-0.0411284
10,0.33469352,0.27201253,"('unsympathetic', 'sympathetic')",-0.46788624,-0.5131941,-0.04030711,-0.047568582,-0.0578333,-0.09625,-0.0384167
11,0.599809,0.68596095,"('unhelpful', 'helpful')",0.7029463,0.78066456,1.7916982,1.8387735,1.0314845,1.1017996,0.0703151
12,1.0409584,0.9686906,"('unsupportive', 'supportive')",0.7311176,0.71071345,-1.5857793,-1.5650795,0.0620989,0.0381082,-0.0239907
13,-0.16832301,-0.16324425,"('impolite', 'polite')",-0.34794977,-0.2649148,-0.16398728,-0.18174005,-0.2267534,-0.2032997,0.0234537
14,-0.20204917,-0.23990305,"('antisocial', 'social')",0.512181,0.53144634,-0.4963701,-0.50800246,-0.0620794,-0.0721531,-0.0100737
15,-0.62743914,-0.6507791,"('boring', 'funny')",-0.6640168,-0.7044408,0.45995554,0.42748564,-0.2771668,-0.3092447,-0.0320779
16,-1.4871286,-1.4795411,"('unpopular', 'popular')",0.033594146,0.0071854144,0.45124054,0.46983024,-0.334098,-0.3341751,-7.71e-05
17,-0.60536295,-0.54000497,"('nasty', 'nice')",0.016254805,0.11475979,-0.3114093,-0.23337333,-0.3001725,-0.2195395,0.080633
18,-0.34842065,-0.42351168,"('disagreeable', 'welcoming')",-0.6235826,-0.6951191,-0.44752955,-0.53215027,-0.4731776,-0.5502603,-0.0770827
19,-0.8121589,-0.7734886,"('inhospitable', 'hospitable')",-1.3908478,-1.3692923,-0.062193386,-0.08243872,-0.7550667,-0.7417398,0.0133269
20,0.16767748,0.20549408,"('rough', 'thoughtful')",0.08227117,0.08831291,0.97788334,0.97834855,0.4092773,0.4240518,0.0147745
21,0.44116184,0.38413942,"('immoral', 'moral')",0.8272586,0.82154214,-0.5458592,-0.47890013,0.2408537,0.2422605,0.0014068
22,-0.21831098,-0.19011055,"('untrustworthy', 'trustworthy')",-0.5117917,-0.52824533,-0.997059,-0.97048336,-0.5757205,-0.5629464,0.0127741
23,0.5275741,0.46779895,"('insincere', 'sincere')",0.48821077,0.46605983,5.408439,5.277456,2.141408,2.0704382,-0.0709698
24,1.0771899,1.0888687,"('dishonest', 'honest')",0.15493698,0.13820373,0.82200474,0.7463939,0.6847106,0.6578221,-0.0268885
25,0.07565456,0.08650698,"('egoistic', 'altruistic')",0.8137577,0.7804568,1.4189883,1.3948275,0.7694669,0.7539304,-0.0155365
26,0.297381,0.21132948,"('hardhearted', 'benevolent')",0.68013734,0.6127492,1.4867154,1.387899,0.8214113,0.7373259,-0.0840854
27,-0.21157975,-0.12779802,"('hardhearted', 'softhearted')",-0.23445271,-0.10686213,1.6053672,1.5542296,0.3864449,0.4398565,0.0534116
28,0.32032576,0.22567505,"('disloyal', 'loyal')",0.0007423619,-0.16566563,0.5760527,0.4547346,0.2990403,0.1715813,-0.127459
29,-0.13612391,-0.15490732,"('unfair', 'fair')",0.05874403,0.00027236342,-0.53312457,-0.6752755,-0.2035015,-0.2766368,-0.0731353
30,0.7749836,0.8357045,"('intolerant', 'tolerant')",1.2487725,1.1998384,1.3516921,1.293834,1.1251494,1.1097923,-0.0153571
31,-0.76182336,-0.7142621,"('evil', 'good')",-0.94640976,-1.0571598,-0.999513,-1.1146479,-0.902582,-0.9620233,-0.0594413
32,0.549027,0.47067115,"('unkind', 'kind')",0.20600548,0.2632781,0.7586601,0.6498822,0.5045642,0.4612772,-0.043287
33,1.0837184,1.0125378,"('wrong', 'right')",1.1414618,1.0836681,-0.2827733,-0.33143944,0.647469,0.5882555,-0.0592135
34,-0.35729745,-0.25709727,"('mean', 'honorable')",0.03488203,0.10303135,5.729156,5.7650547,1.8022469,1.8703295,0.0680826
35,-0.25586414,-0.2507717,"('corrupt', 'incorrupt')",-0.99481475,-1.0227867,-0.06844281,-0.20323244,-0.4397072,-0.4922636,-0.0525564
36,-1.5935593,-1.6637712,"('hostile', 'amicable')",-1.8822535,-2.1551163,0.0071072876,-0.17159754,-1.1562352,-1.3301617,-0.1739265
37,0.46934456,0.46308285,"('fake', 'genuine')",0.17503619,0.21471252,0.3776683,0.3949794,0.340683,0.3575916,0.0169086
38,0.33525994,0.29364666,"('untruthful', 'truthful')",0.4380192,0.34703925,0.080610104,0.11235202,0.2846297,0.2510126,-0.0336171
39,1.1586354,1.2501729,"('exploitative', 'cooperative')",-0.089043945,0.0099381115,0.0656639,0.07960948,0.3784184,0.4465735,0.0681551
40,0.34201303,0.26977652,"('stingy', 'generous')",0.3343166,0.22200336,-1.2668115,-1.2979733,-0.1968273,-0.2687311,-0.0719038
41,-0.6617373,-0.6557089,"('unforgiving', 'forgiving')",-0.17713363,-0.34090897,0.08200909,-0.001247758,-0.2522873,-0.3326219,-0.0803346
42,-0.049568094,0.043375134,"('unreliable', 'reliable')",-0.08195315,-0.008075155,-2.7028377,-2.5302057,-0.9447863,-0.8316352,0.1131511
43,0.476501,0.49980363,"('irresponsible', 'responsible')",-0.505339,-0.45092803,0.31580803,0.2985029,0.0956567,0.1157928,0.0201361
44,-1.1941698,-1.1206362,"('prejudiced', 'unprejudiced')",-0.9627598,-0.84315306,-1.491205,-1.4463308,-1.2160448,-1.1367067,0.0793381
45,-0.4824472,-0.48707685,"('incompetent', 'competent')",-0.52307075,-0.5845902,-0.3321213,-0.36227763,-0.4458798,-0.4779816,-0.0321018
46,0.0075324215,-0.010386363,"('uncompetitive', 'competitive')",0.45951304,0.44962105,-0.71501416,-0.6753033,-0.0826562,-0.0786895,0.0039667
47,-0.0954422,0.06012769,"('stupid', 'smart')",0.24800652,0.36893108,5.2610483,5.227818,1.8045376,1.8856255,0.0810879
48,0.75383794,0.5680016,"('unintelligent', 'intelligent')",1.0220742,0.862756,0.6683082,0.61648804,0.8147401,0.6824152,-0.1323249
49,-0.5113212,-0.54516536,"('unable', 'able')",-0.1711925,-0.13505107,-0.29192305,-0.15572374,-0.3248123,-0.2786467,0.0461656
50,-0.14465818,-0.16941212,"('clumsy', 'skillful')",0.094294764,0.14461932,0.1383661,0.12172535,0.0293342,0.0323108,0.0029766
51,-0.15141651,-0.3281878,"('uneducated', 'educated')",-0.31399846,-0.4630064,0.33373183,0.20757818,-0.0438944,-0.1945387,-0.1506443
52,-0.33371115,-0.3977865,"('irrational', 'rational')",-0.100040235,-0.21882373,-0.24029484,-0.34241414,-0.2246821,-0.3196748,-0.0949927
