,gamestop_male,gamestop_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.24430092,-0.30639982,"('unsociable', 'sociable')",-0.21716163,-0.35655087,-0.2307313,-0.3314753,-0.100744
1,0.66185415,0.45641917,"('unfriendly', 'friendly')",1.5847948,1.4555775,1.1233244,0.9559983,-0.1673261
2,-0.2603967,-0.2961735,"('unlikable', 'likable')",0.5096232,0.55825454,0.1246133,0.1310405,0.0064272
3,-1.2457522,-1.1704646,"('repellent', 'pleasant')",0.7883415,0.7743402,-0.2287053,-0.1980622,0.0306431
4,0.024431726,-0.008518279,"('disliked', 'liked')",-7.318681,-7.55363,-3.6471245,-3.781074,-0.1339495
5,0.61082494,0.5490589,"('distant', 'outgoing')",-0.22544184,-0.20475103,0.1926915,0.1721539,-0.0205376
6,0.4439016,0.34811217,"('distant', 'open')",-0.23002744,-0.19941199,0.1069371,0.0743501,-0.032587
7,-1.0190122,-0.94323623,"('insensitive', 'sensitive')",-0.0028859428,0.06239874,-0.5109491,-0.4404188,0.0705303
8,0.9148259,0.8139221,"('unaffectionate', 'affectionate')",0.74668103,0.72909904,0.8307534,0.7715106,-0.0592428
9,0.8002275,0.7080903,"('unaffectionate', 'caring')",1.3033816,1.3661076,1.0518045,1.0370989,-0.0147056
10,-1.8748171,-1.7943822,"('unsympathetic', 'sympathetic')",-0.75676215,-0.6964404,-1.3157897,-1.2454113,0.0703784
11,0.036887355,0.14583449,"('unhelpful', 'helpful')",1.7488987,1.8561611,0.8928931,1.0009978,0.1081047
12,-0.29942822,-0.22545432,"('unsupportive', 'supportive')",-2.340092,-2.2918372,-1.3197601,-1.2586458,0.0611143
13,-0.98804814,-0.9715664,"('impolite', 'polite')",-0.8404524,-0.8132873,-0.9142503,-0.8924268,0.0218235
14,-0.48721328,-0.45891434,"('antisocial', 'social')",-0.34069252,-0.4521249,-0.4139529,-0.4555196,-0.0415667
15,1.1461724,1.069295,"('boring', 'funny')",-0.031201264,-0.0886227,0.5574856,0.4903362,-0.0671494
16,-0.09100258,-0.11927215,"('unpopular', 'popular')",0.65173393,0.5567557,0.2803657,0.2187418,-0.0616239
17,-0.17121322,-0.1127076,"('nasty', 'nice')",-0.45769876,-0.44616136,-0.314456,-0.2794345,0.0350215
18,-0.76175016,-0.7845444,"('disagreeable', 'welcoming')",-0.7861359,-0.812048,-0.7739431,-0.7982962,-0.0243531
19,-0.8628709,-0.8709083,"('inhospitable', 'hospitable')",-0.49357837,-0.42912662,-0.6782246,-0.6500175,0.0282071
20,-0.5259144,-0.44984075,"('rough', 'thoughtful')",0.9946668,1.0074167,0.2343762,0.278788,0.0444118
21,-0.6875102,-0.6486032,"('immoral', 'moral')",-0.80019784,-0.7322923,-0.743854,-0.6904477,0.0534063
22,-0.9421952,-0.9699731,"('untrustworthy', 'trustworthy')",-1.0555489,-1.1042477,-0.998872,-1.0371103,-0.0382383
23,-0.45874587,-0.4479196,"('insincere', 'sincere')",6.3266726,6.3851376,2.9339633,2.9686089,0.0346456
24,-0.47817904,-0.4795101,"('dishonest', 'honest')",0.64104956,0.7243056,0.0814353,0.1223978,0.0409625
25,0.48269212,0.3796793,"('egoistic', 'altruistic')",1.1930841,1.1525713,0.8378881,0.7661253,-0.0717628
26,0.6797127,0.5005761,"('hardhearted', 'benevolent')",1.554247,1.4610103,1.1169798,0.9807932,-0.1361866
27,-0.18315521,-0.18910068,"('hardhearted', 'softhearted')",1.078119,1.0605398,0.4474819,0.4357196,-0.0117623
28,0.44996205,0.3910007,"('disloyal', 'loyal')",1.26746,1.1960943,0.858711,0.7935475,-0.0651635
29,-0.2350347,-0.2349158,"('unfair', 'fair')",-0.1716314,-0.28829905,-0.2033331,-0.2616074,-0.0582743
30,-0.5683097,-0.48877478,"('intolerant', 'tolerant')",0.5187316,0.5045747,-0.0247891,0.0079,0.0326891
31,-0.39495388,-0.4820472,"('evil', 'good')",-0.88061935,-1.0114602,-0.6377866,-0.7467537,-0.1089671
32,-0.4415793,-0.5361464,"('unkind', 'kind')",0.71663535,0.63687444,0.137528,0.050364,-0.087164
33,0.34273553,0.28648216,"('wrong', 'right')",-0.47606996,-0.45264238,-0.0666672,-0.0830801,-0.0164129
34,-0.70658225,-0.5948383,"('mean', 'honorable')",5.732315,5.9495144,2.5128665,2.6773381,0.1644716
35,0.50943047,0.40969715,"('corrupt', 'incorrupt')",-0.3424561,-0.38502607,0.0834872,0.0123355,-0.0711517
36,0.2327615,0.07132681,"('hostile', 'amicable')",0.107931234,-0.052481778,0.1703464,0.0094225,-0.1609239
37,-0.3797736,-0.34610957,"('fake', 'genuine')",-0.15140945,-0.108398095,-0.2655915,-0.2272538,0.0383377
