,cincinnati_male,cincinnati_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,female-male
0,0.6422053,0.5491202,"('unsociable', 'sociable')",-0.35704714,-0.50057435,0.019328784,-0.042319797,0.1014956,0.0020753,-0.0994203
1,0.43665195,0.3540067,"('unfriendly', 'friendly')",1.3115636,1.1594899,0.5959343,0.45082957,0.7813833,0.6547754,-0.1266079
2,0.7070489,0.80954677,"('unlikable', 'likable')",2.541368,2.6044683,0.73687816,0.79019463,1.3284317,1.4014033,0.0729716
3,-0.0052567427,0.0833118,"('repellent', 'pleasant')",-0.6199469,-0.5392939,0.9670904,1.0688797,0.1139623,0.2042992,0.0903369
4,-0.94419605,-0.9170505,"('disliked', 'liked')",0.38358003,0.35229895,-6.63468,-6.7422743,-2.3984319,-2.4356753,-0.0372434
5,-0.079094686,-0.09715399,"('distant', 'outgoing')",1.0816813,1.0622792,-1.1063194,-1.1549313,-0.0345776,-0.0632687,-0.0286911
6,0.24580574,0.22670648,"('distant', 'open')",0.5310082,0.49301344,-1.1719632,-1.3109742,-0.1317164,-0.1970848,-0.0653684
7,1.1530994,1.1683445,"('insensitive', 'sensitive')",0.22265077,0.26620808,0.75685495,0.80625945,0.7108684,0.7469374,0.036069
8,-1.0977641,-1.1300831,"('unaffectionate', 'affectionate')",0.45604873,0.35579637,-0.2359438,-0.42595488,-0.2925531,-0.4000805,-0.1075274
9,0.74627566,0.72609526,"('unaffectionate', 'caring')",1.4176745,1.3184721,0.6926854,0.5866477,0.9522119,0.8770717,-0.0751402
10,1.8070292,1.803125,"('unsympathetic', 'sympathetic')",-1.2714627,-1.283932,0.2882904,0.29985932,0.274619,0.2730174,-0.0016016
11,1.1156994,1.1892098,"('unhelpful', 'helpful')",-0.011444818,-0.0071783364,2.3733592,2.4585426,1.1592046,1.2135247,0.0543201
12,1.1821373,1.2373095,"('unsupportive', 'supportive')",1.242724,1.3036854,-1.5932785,-1.6040418,0.2771942,0.3123177,0.0351235
13,0.8674233,0.7940763,"('impolite', 'polite')",-0.10120513,-0.06255379,-0.026254851,-0.031348936,0.2466545,0.2333912,-0.0132633
14,1.2465631,1.208161,"('antisocial', 'social')",1.4615822,1.5469873,0.27920184,0.34401235,0.9957823,1.0330536,0.0372713
15,-0.14189821,-0.19962873,"('boring', 'funny')",0.2563599,0.21680644,-0.6613,-0.65967774,-0.1822794,-0.2141667,-0.0318873
16,-1.7221489,-1.6672566,"('unpopular', 'popular')",-0.23871152,-0.18894123,-0.27975845,-0.20057759,-0.7468729,-0.6855918,0.0612811
17,-1.1908817,-1.1431737,"('nasty', 'nice')",-0.2681367,-0.18440665,-0.73683196,-0.6101216,-0.7319501,-0.6459006,0.0860495
