,lymphocyte_male,lymphocyte_female,tuple,average_male,average_female,female-male
0,-1.3555176,-1.5136892,"('unsociable', 'sociable')",-1.3555176,-1.5136892,-0.1581716
1,-0.018667448,-0.26018527,"('unfriendly', 'friendly')",-0.0186674,-0.2601853,-0.2415179
2,0.22930476,0.19122176,"('unlikable', 'likable')",0.2293048,0.1912218,-0.038083
3,-2.2066042,-1.9944012,"('repellent', 'pleasant')",-2.2066042,-1.9944012,0.212203
4,-0.2676336,-0.18925121,"('disliked', 'liked')",-0.2676336,-0.1892512,0.0783824
5,1.0061785,0.9677399,"('distant', 'outgoing')",1.0061785,0.9677399,-0.0384386
6,1.3069593,1.2313302,"('distant', 'open')",1.3069593,1.2313302,-0.0756291
7,-1.7972034,-1.7417117,"('insensitive', 'sensitive')",-1.7972034,-1.7417117,0.0554917
8,0.61019784,0.39943373,"('unaffectionate', 'affectionate')",0.6101978,0.3994337,-0.2107641
9,0.323528,0.1433436,"('unaffectionate', 'caring')",0.323528,0.1433436,-0.1801844
10,-3.2972186,-3.39478,"('unsympathetic', 'sympathetic')",-3.2972186,-3.3947799,-0.0975613
11,-1.0286338,-1.0075961,"('unhelpful', 'helpful')",-1.0286338,-1.0075961,0.0210377
12,-0.079368055,-0.09666646,"('unsupportive', 'supportive')",-0.0793681,-0.0966665,-0.0172984
13,-1.7379541,-1.8432049,"('impolite', 'polite')",-1.7379541,-1.8432049,-0.1052508
14,-1.2783272,-1.2762944,"('antisocial', 'social')",-1.2783272,-1.2762944,0.0020328
15,0.96635574,0.7880344,"('boring', 'funny')",0.9663557,0.7880344,-0.1783213
16,0.34814253,0.4345777,"('unpopular', 'popular')",0.3481425,0.4345777,0.0864352
17,-0.47840557,-0.38152674,"('nasty', 'nice')",-0.4784056,-0.3815267,0.0968789
18,-0.02906683,-0.10378608,"('disagreeable', 'welcoming')",-0.0290668,-0.1037861,-0.0747193
19,-0.31810555,-0.29127544,"('inhospitable', 'hospitable')",-0.3181055,-0.2912754,0.0268301
20,-0.78241074,-0.7260746,"('rough', 'thoughtful')",-0.7824107,-0.7260746,0.0563361
21,-1.3850559,-1.3275868,"('immoral', 'moral')",-1.3850559,-1.3275868,0.0574691
22,-1.1980809,-1.2353042,"('untrustworthy', 'trustworthy')",-1.1980809,-1.2353042,-0.0372233
23,-0.8317851,-0.9197538,"('insincere', 'sincere')",-0.8317851,-0.9197538,-0.0879687
24,-1.4602368,-1.6034565,"('dishonest', 'honest')",-1.4602368,-1.6034565,-0.1432197
25,0.52400625,0.48170808,"('egoistic', 'altruistic')",0.5240062,0.4817081,-0.0422981
26,1.2873098,0.8734455,"('hardhearted', 'benevolent')",1.2873098,0.8734455,-0.4138643
27,0.22025865,0.14075904,"('hardhearted', 'softhearted')",0.2202587,0.140759,-0.0794997
28,-1.3069179,-1.4973447,"('disloyal', 'loyal')",-1.3069179,-1.4973447,-0.1904268
29,-0.17977324,-0.17222577,"('unfair', 'fair')",-0.1797732,-0.1722258,0.0075474
30,-1.5660629,-1.5951881,"('intolerant', 'tolerant')",-1.5660629,-1.5951881,-0.0291252
31,1.144521,1.0594028,"('evil', 'good')",1.144521,1.0594028,-0.0851182
32,0.13253424,-0.09745613,"('unkind', 'kind')",0.1325342,-0.0974561,-0.2299903
33,1.0570936,0.9725517,"('wrong', 'right')",1.0570936,0.9725517,-0.0845419
