,brain_male,brain_female,tuple,average_male,average_female,female-male
0,0.20236689,0.20914167,"('unsociable', 'sociable')",0.2023669,0.2091417,0.0067748
1,1.4319279,1.3990183,"('unfriendly', 'friendly')",1.4319279,1.3990183,-0.0329096
2,0.69848585,0.7983603,"('unlikable', 'likable')",0.6984859,0.7983603,0.0998744
3,1.0761982,1.2691383,"('repellent', 'pleasant')",1.0761982,1.2691383,0.1929401
4,-6.8646874,-6.8470035,"('disliked', 'liked')",-6.8646874,-6.8470035,0.0176839
5,0.018946722,0.055852547,"('distant', 'outgoing')",0.0189467,0.0558525,0.0369058
6,0.13262537,0.20073842,"('distant', 'open')",0.1326254,0.2007384,0.068113
7,1.4351919,1.5515852,"('insensitive', 'sensitive')",1.4351919,1.5515852,0.1163933
8,1.0113142,0.9206789,"('unaffectionate', 'affectionate')",1.0113142,0.9206789,-0.0906353
9,1.4032339,1.4181461,"('unaffectionate', 'caring')",1.4032339,1.4181461,0.0149122
10,1.3923935,1.5039728,"('unsympathetic', 'sympathetic')",1.3923935,1.5039728,0.1115793
11,2.2476482,2.2700727,"('unhelpful', 'helpful')",2.2476482,2.2700727,0.0224245
12,-0.9203459,-0.82885313,"('unsupportive', 'supportive')",-0.9203459,-0.8288531,0.0914928
13,0.31214175,0.32056803,"('impolite', 'polite')",0.3121417,0.320568,0.0084263
14,0.19744733,0.15817015,"('antisocial', 'social')",0.1974473,0.1581701,-0.0392772
15,0.37875503,0.33834854,"('boring', 'funny')",0.378755,0.3383485,-0.0404065
16,-0.5472443,-0.49378884,"('unpopular', 'popular')",-0.5472443,-0.4937888,0.0534555
17,0.12232854,0.0807164,"('nasty', 'nice')",0.1223285,0.0807164,-0.0416121
18,-0.25210926,-0.28765222,"('disagreeable', 'welcoming')",-0.2521093,-0.2876522,-0.0355429
19,-0.061689988,-0.04993569,"('inhospitable', 'hospitable')",-0.06169,-0.0499357,0.0117543
20,0.71185464,0.6650476,"('rough', 'thoughtful')",0.7118546,0.6650476,-0.046807
21,0.43525222,0.55722433,"('immoral', 'moral')",0.4352522,0.5572243,0.1219721
22,0.11854115,0.10364693,"('untrustworthy', 'trustworthy')",0.1185412,0.1036469,-0.0148943
23,6.621454,6.6947613,"('insincere', 'sincere')",6.6214538,6.6947613,0.0733075
24,2.1907325,2.2582984,"('dishonest', 'honest')",2.1907325,2.2582984,0.0675659
25,0.3010828,0.19132961,"('egoistic', 'altruistic')",0.3010828,0.1913296,-0.1097532
26,-0.10361203,-0.08017013,"('hardhearted', 'benevolent')",-0.103612,-0.0801701,0.0234419
27,1.5385605,1.4836235,"('hardhearted', 'softhearted')",1.5385605,1.4836235,-0.054937
28,1.2296956,1.2481025,"('disloyal', 'loyal')",1.2296956,1.2481025,0.0184069
29,-0.08159195,-0.20674801,"('unfair', 'fair')",-0.0815919,-0.206748,-0.1251561
30,1.1790092,1.1006424,"('intolerant', 'tolerant')",1.1790092,1.1006424,-0.0783668
31,-1.3667824,-1.4036871,"('evil', 'good')",-1.3667824,-1.4036871,-0.0369047
32,1.3639194,1.3665453,"('unkind', 'kind')",1.3639194,1.3665453,0.0026259
33,-0.47479087,-0.48849025,"('wrong', 'right')",-0.4747909,-0.4884903,-0.0136994
34,4.513078,4.6449995,"('mean', 'honorable')",4.5130782,4.6449995,0.1319213
35,-1.0654117,-1.177556,"('corrupt', 'incorrupt')",-1.0654117,-1.177556,-0.1121443
36,-1.1252975,-1.2214049,"('hostile', 'amicable')",-1.1252975,-1.2214049,-0.0961074
37,1.0065002,0.9984738,"('fake', 'genuine')",1.0065002,0.9984738,-0.0080264
38,0.29085022,0.2359927,"('untruthful', 'truthful')",0.2908502,0.2359927,-0.0548575
39,-0.035101093,-0.04081076,"('exploitative', 'cooperative')",-0.0351011,-0.0408108,-0.0057097
40,-1.1256504,-1.1115127,"('stingy', 'generous')",-1.1256504,-1.1115127,0.0141377
41,-0.024293274,-0.05316039,"('unforgiving', 'forgiving')",-0.0242933,-0.0531604,-0.0288671
42,-1.5516037,-1.5530548,"('unreliable', 'reliable')",-1.5516037,-1.5530548,-0.0014511
43,1.3954619,1.385326,"('irresponsible', 'responsible')",1.3954619,1.385326,-0.0101359
44,-1.280302,-1.4685545,"('prejudiced', 'unprejudiced')",-1.280302,-1.4685545,-0.1882525
45,0.5152769,0.65625286,"('incompetent', 'competent')",0.5152769,0.6562529,0.140976
46,-0.27379087,-0.13970368,"('uncompetitive', 'competitive')",-0.2737909,-0.1397037,0.1340872
47,5.356188,5.593848,"('stupid', 'smart')",5.3561878,5.5938482,0.2376604
48,1.1831328,1.1630452,"('unintelligent', 'intelligent')",1.1831328,1.1630452,-0.0200876
49,0.41983747,0.55382127,"('unable', 'able')",0.4198375,0.5538213,0.1339838
50,0.31704062,0.390412,"('clumsy', 'skillful')",0.3170406,0.390412,0.0733714
51,1.0802264,1.139501,"('uneducated', 'educated')",1.0802264,1.139501,0.0592746
52,-0.47152022,-0.5337138,"('irrational', 'rational')",-0.4715202,-0.5337138,-0.0621936
53,0.5311135,0.5437935,"('uncreative', 'creative')",0.5311135,0.5437935,0.01268
54,1.3798918,1.5174983,"('incapable', 'capable')",1.3798918,1.5174983,0.1376065
55,1.1947447,1.2375162,"('incompetent', 'clever')",1.1947447,1.2375162,0.0427715
56,0.6745495,0.74923986,"('impractical', 'practical')",0.6745495,0.7492399,0.0746904
57,-2.1787705,-2.0410101,"('unimaginative', 'imaginative')",-2.1787705,-2.0410101,0.1377604
58,-0.19127415,-0.15091573,"('undiscriminating', 'discriminating')",-0.1912742,-0.1509157,0.0403585
59,0.26714945,0.3392347,"('foolish', 'wise')",0.2671494,0.3392347,0.0720853
60,0.8898644,0.9587884,"('inefficient', 'efficient')",0.8898644,0.9587884,0.068924
61,0.6460093,0.556203,"('illogical', 'logical')",0.6460093,0.556203,-0.0898063
62,1.9106854,2.0356655,"('incompetent', 'brilliant')",1.9106854,2.0356655,0.1249801
