,spray_male,spray_female,tuple,average_male,average_female,female-male
0,0.33580497,0.27709928,"('unsociable', 'sociable')",0.335805,0.2770993,-0.0587057
1,1.1830184,1.2541988,"('unfriendly', 'friendly')",1.1830184,1.2541988,0.0711804
2,0.6046,0.7192582,"('unlikable', 'likable')",0.6046,0.7192582,0.1146582
3,0.97166747,1.0463283,"('repellent', 'pleasant')",0.9716675,1.0463283,0.0746608
4,-7.3610864,-7.3598228,"('disliked', 'liked')",-7.3610864,-7.3598228,0.0012636
5,-0.5250084,-0.43757445,"('distant', 'outgoing')",-0.5250084,-0.4375744,0.087434
6,-0.18305191,-0.15123017,"('distant', 'open')",-0.1830519,-0.1512302,0.0318217
7,1.5357909,1.5165762,"('insensitive', 'sensitive')",1.5357909,1.5165762,-0.0192147
8,1.1378345,1.0553355,"('unaffectionate', 'affectionate')",1.1378345,1.0553355,-0.082499
9,1.3700426,1.4309466,"('unaffectionate', 'caring')",1.3700426,1.4309466,0.060904
10,1.7378609,1.5402,"('unsympathetic', 'sympathetic')",1.7378609,1.5402,-0.1976609
11,2.10096,2.091826,"('unhelpful', 'helpful')",2.10096,2.091826,-0.009134
12,-1.0400459,-0.9844881,"('unsupportive', 'supportive')",-1.0400459,-0.9844881,0.0555578
13,0.28136098,0.24339736,"('impolite', 'polite')",0.281361,0.2433974,-0.0379636
14,0.39864022,0.37263334,"('antisocial', 'social')",0.3986402,0.3726333,-0.0260069
15,0.3802107,0.41163486,"('boring', 'funny')",0.3802107,0.4116349,0.0314242
16,-0.763904,-0.6398639,"('unpopular', 'popular')",-0.763904,-0.6398639,0.1240401
17,-0.041034475,-0.12468091,"('nasty', 'nice')",-0.0410345,-0.1246809,-0.0836464
18,-0.5182672,-0.45101926,"('disagreeable', 'welcoming')",-0.5182672,-0.4510193,0.0672479
19,-0.5915356,-0.5831302,"('inhospitable', 'hospitable')",-0.5915356,-0.5831302,0.0084054
20,1.0673008,0.995862,"('rough', 'thoughtful')",1.0673008,0.995862,-0.0714388
21,0.3515669,0.4098069,"('immoral', 'moral')",0.3515669,0.4098069,0.05824
22,0.2595508,0.2167031,"('untrustworthy', 'trustworthy')",0.2595508,0.2167031,-0.0428477
23,6.504991,6.635835,"('insincere', 'sincere')",6.5049911,6.6358352,0.1308441
24,1.8986312,1.917235,"('dishonest', 'honest')",1.8986312,1.917235,0.0186038
25,0.32368788,0.3418346,"('egoistic', 'altruistic')",0.3236879,0.3418346,0.0181467
26,0.53230304,0.40521932,"('hardhearted', 'benevolent')",0.532303,0.4052193,-0.1270837
27,1.7670586,1.5658991,"('hardhearted', 'softhearted')",1.7670586,1.5658991,-0.2011595
28,1.1142023,0.98130095,"('disloyal', 'loyal')",1.1142023,0.981301,-0.1329013
29,-0.23434088,-0.37896413,"('unfair', 'fair')",-0.2343409,-0.3789641,-0.1446232
30,1.3006947,1.2344145,"('intolerant', 'tolerant')",1.3006947,1.2344145,-0.0662802
31,-1.0253705,-0.98846585,"('evil', 'good')",-1.0253705,-0.9884658,0.0369047
32,1.2510588,1.1440656,"('unkind', 'kind')",1.2510588,1.1440656,-0.1069932
33,-0.9769151,-0.82525027,"('wrong', 'right')",-0.9769151,-0.8252503,0.1516648
34,4.2495346,4.4762206,"('mean', 'honorable')",4.2495346,4.4762206,0.226686
35,-1.2704412,-1.4162169,"('corrupt', 'incorrupt')",-1.2704412,-1.4162169,-0.1457757
36,-0.9983585,-1.1056828,"('hostile', 'amicable')",-0.9983585,-1.1056828,-0.1073243
37,1.008639,0.9325324,"('fake', 'genuine')",1.008639,0.9325324,-0.0761066
38,-0.4152296,-0.35985735,"('untruthful', 'truthful')",-0.4152296,-0.3598574,0.0553722
39,0.16061169,0.16249919,"('exploitative', 'cooperative')",0.1606117,0.1624992,0.0018875
40,-0.8905717,-1.0057253,"('stingy', 'generous')",-0.8905717,-1.0057253,-0.1151536
41,0.25458974,0.10879628,"('unforgiving', 'forgiving')",0.2545897,0.1087963,-0.1457934
42,-1.485339,-1.588869,"('unreliable', 'reliable')",-1.485339,-1.588869,-0.10353
43,1.5773896,1.5308591,"('irresponsible', 'responsible')",1.5773896,1.5308591,-0.0465305
44,-1.0925251,-1.2314442,"('prejudiced', 'unprejudiced')",-1.0925251,-1.2314442,-0.1389191
45,0.7239724,0.6184852,"('incompetent', 'competent')",0.7239724,0.6184852,-0.1054872
46,-0.3517998,-0.39632452,"('uncompetitive', 'competitive')",-0.3517998,-0.3963245,-0.0445247
47,5.5761414,5.7342467,"('stupid', 'smart')",5.5761414,5.7342467,0.1581053
48,1.1413593,1.1129652,"('unintelligent', 'intelligent')",1.1413593,1.1129652,-0.0283941
49,-0.08246757,0.07125933,"('unable', 'able')",-0.0824676,0.0712593,0.1537269
50,-0.091110244,-0.1218988,"('clumsy', 'skillful')",-0.0911102,-0.1218988,-0.0307886
