,hilton_male,hilton_female,tuple,worldwide_male,worldwide_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,1.4366834,1.3245289,"('unsociable', 'sociable')",0.48377174,0.3785498,-0.074914575,-0.27695885,-0.12627211,-0.23191577,0.4298171,0.298551,-0.1312661
1,1.8323725,2.0260472,"('unfriendly', 'friendly')",0.07086444,0.11501634,0.43906897,0.30794245,1.8225511,1.6961206,1.0412142,1.0362817,-0.0049325
2,2.0105472,2.0944312,"('unlikable', 'likable')",1.6386681,1.7119404,2.2649164,2.3326056,1.0469289,1.1829863,1.7402651,1.8304908,0.0902257
3,-1.1509434,-1.0248259,"('repellent', 'pleasant')",-0.3963142,-0.31186488,0.15129328,0.18469687,0.13725142,0.12654376,-0.3146783,-0.2563625,0.0583158
4,-0.47520608,-0.43457928,"('disliked', 'liked')",0.24853769,0.2588967,0.06977643,-0.008171216,-6.0663314,-6.13007,-1.5558058,-1.578481,-0.0226752
5,0.47872978,0.6432686,"('distant', 'outgoing')",0.22177489,0.27700946,0.05994527,0.09125015,-0.2068583,-0.15677434,0.1383979,0.2136885,0.0752906
6,0.22137067,0.46101606,"('distant', 'open')",-0.69505095,-0.6131847,-0.36111477,-0.3444594,0.4612337,0.44355488,-0.0933903,-0.0132683,0.080122
7,0.2828555,0.31407362,"('insensitive', 'sensitive')",-0.41116995,-0.37165907,0.008035319,-0.04473148,0.5960598,0.4818872,0.1189452,0.0948926,-0.0240526
8,1.3296098,1.397432,"('unaffectionate', 'affectionate')",-0.7136044,-0.72088134,-0.43764248,-0.47566584,0.43302998,0.37913576,0.1528482,0.1450051,-0.0078431
9,1.7827026,1.8559626,"('unaffectionate', 'caring')",-0.11271414,-0.076186754,0.10142548,0.022052959,1.0746131,1.0655855,0.7115067,0.7168536,0.0053469
10,0.10744695,0.05605655,"('unsympathetic', 'sympathetic')",-0.97417104,-0.9775714,-1.153097,-1.2479665,0.0074169636,-0.10314937,-0.5031011,-0.5681577,-0.0650566
11,-1.2658371,-1.3043648,"('unhelpful', 'helpful')",-0.5413484,-0.57453954,-1.2070848,-1.2759945,2.0823228,2.0802672,-0.2329869,-0.2686579,-0.035671
12,2.0384984,2.138625,"('unsupportive', 'supportive')",1.9299574,2.03867,0.27474645,0.37206528,-1.3468046,-1.3290914,0.7240994,0.8050671,0.0809677
13,0.1740364,0.072348684,"('impolite', 'polite')",-0.27635348,-0.33079568,-0.28828496,-0.36300978,0.34332186,0.25539297,-0.01182,-0.0915159,-0.0796959
14,2.2087626,2.1240954,"('antisocial', 'social')",1.6390333,1.6326295,1.9373846,1.8873789,-0.4545513,-0.48219335,1.3326573,1.2904776,-0.0421797
15,-0.19590487,-0.28903592,"('boring', 'funny')",-0.8749381,-0.9367078,-0.97952,-0.98441577,0.35054436,0.297014,-0.4249547,-0.4782864,-0.0533317
