,loews_male,loews_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.6466793,-0.79689515,"('unsociable', 'sociable')",-0.17697296,-0.28698134,-0.4118261,-0.5419382,-0.1301121
1,-1.0521606,-1.3139099,"('unfriendly', 'friendly')",1.4895196,1.3463862,0.2186795,0.0162382,-0.2024413
2,0.5231115,0.4901419,"('unlikable', 'likable')",0.30164492,0.30140045,0.4123782,0.3957712,-0.016607
3,-1.0362196,-0.8934945,"('repellent', 'pleasant')",0.7441288,0.7619729,-0.1460454,-0.0657608,0.0802846
4,0.33242318,0.17935194,"('disliked', 'liked')",-7.2745833,-7.345067,-3.4710801,-3.5828576,-0.1117775
5,0.032045033,-0.060325686,"('distant', 'outgoing')",-0.23428331,-0.18243249,-0.1011191,-0.1213791,-0.02026
6,-0.085309975,-0.1700723,"('distant', 'open')",-0.089024425,-0.061279602,-0.0871672,-0.115676,-0.0285088
7,-0.63753915,-0.4931105,"('insensitive', 'sensitive')",0.6612012,0.6458796,0.011831,0.0763846,0.0645536
8,-0.0049265027,-0.17009807,"('unaffectionate', 'affectionate')",1.2260026,1.1348594,0.610538,0.4823807,-0.1281573
9,-0.32179403,-0.45034128,"('unaffectionate', 'caring')",1.5289475,1.5204399,0.6035767,0.5350493,-0.0685274
10,-1.3487188,-1.4581293,"('unsympathetic', 'sympathetic')",-0.45621666,-0.52496606,-0.9024677,-0.9915477,-0.08908
11,-1.5269685,-1.4739118,"('unhelpful', 'helpful')",1.4613823,1.6531179,-0.0327931,0.0896031,0.1223962
12,-0.32731736,-0.35553294,"('unsupportive', 'supportive')",-2.1258147,-2.1257765,-1.2265661,-1.2406547,-0.0140886
13,-0.63360536,-0.6375358,"('impolite', 'polite')",-0.8442532,-0.72308344,-0.7389293,-0.6803097,0.0586196
14,0.5632756,0.64440835,"('antisocial', 'social')",-0.026590385,-0.12303967,0.2683426,0.2606843,-0.0076583
15,0.537405,0.40644088,"('boring', 'funny')",0.21919061,0.19422992,0.3782978,0.3003354,-0.0779624
16,-0.6775319,-0.66645664,"('unpopular', 'popular')",0.10267673,0.08056846,-0.2874276,-0.2929441,-0.0055165
17,-0.17970945,-0.11445108,"('nasty', 'nice')",-0.6098998,-0.63137394,-0.3948046,-0.3729125,0.0218921
18,-0.71518326,-0.6107058,"('disagreeable', 'welcoming')",-0.78713274,-0.74293256,-0.751158,-0.6768192,0.0743388
19,-0.20536433,-0.39011538,"('inhospitable', 'hospitable')",-0.34206158,-0.3538207,-0.273713,-0.371968,-0.098255
20,-0.47945654,-0.47205532,"('rough', 'thoughtful')",0.7426711,0.7571257,0.1316073,0.1425352,0.0109279
21,-0.7053873,-0.53767794,"('immoral', 'moral')",-0.93410325,-0.79400873,-0.8197453,-0.6658434,0.1539019
22,-0.4455084,-0.3638012,"('untrustworthy', 'trustworthy')",-0.85648286,-0.8501701,-0.6509956,-0.6069856,0.04401
23,-0.85563964,-0.85630685,"('insincere', 'sincere')",5.9661894,6.069424,2.555275,2.6065586,0.0512836
24,-0.8510145,-0.7763127,"('dishonest', 'honest')",0.65118986,0.6885324,-0.0999123,-0.0438901,0.0560222
25,0.31295612,0.3548212,"('egoistic', 'altruistic')",1.0822037,1.0572652,0.6975799,0.7060432,0.0084633
26,0.782283,0.4436206,"('hardhearted', 'benevolent')",2.07339,1.8089397,1.4278365,1.1262802,-0.3015563
27,-0.6530034,-0.62669617,"('hardhearted', 'softhearted')",1.3706793,1.2934248,0.3588379,0.3333643,-0.0254736
28,-0.69122785,-0.8121248,"('disloyal', 'loyal')",1.1516576,1.0475175,0.2302149,0.1176964,-0.1125185
29,-1.0294898,-1.0861067,"('unfair', 'fair')",-0.33458522,-0.4631571,-0.6820375,-0.7746319,-0.0925944
30,0.15879108,0.23460081,"('intolerant', 'tolerant')",0.69089097,0.7480192,0.424841,0.49131,0.066469
31,-0.22840719,-0.32788295,"('evil', 'good')",-0.8028932,-0.94103014,-0.5156502,-0.6344565,-0.1188063
32,-0.57432073,-0.70662636,"('unkind', 'kind')",0.70242584,0.49983907,0.0640526,-0.1033936,-0.1674462
33,0.3776397,0.35834038,"('wrong', 'right')",-0.44760218,-0.4899452,-0.0349812,-0.0658024,-0.0308212
34,-0.24514681,-0.019652003,"('mean', 'honorable')",5.702744,6.00961,2.7287986,2.9949791,0.2661805
35,0.6332284,0.4856382,"('corrupt', 'incorrupt')",-0.19066957,-0.31897134,0.2212794,0.0833334,-0.137946
36,0.17322564,-0.07087906,"('hostile', 'amicable')",-0.12758589,-0.31769913,0.0228199,-0.1942891,-0.217109
37,-0.21757084,-0.17269385,"('fake', 'genuine')",0.33024043,0.40324667,0.0563348,0.1152764,0.0589416
38,-0.70943844,-0.7766469,"('untruthful', 'truthful')",-0.280951,-0.104039155,-0.4951947,-0.440343,0.0548517
39,0.7058643,0.8552611,"('exploitative', 'cooperative')",0.36595732,0.39195043,0.5359108,0.6236057,0.0876949
40,0.22325759,0.21944886,"('stingy', 'generous')",-1.7086207,-1.7433696,-0.7426816,-0.7619604,-0.0192788
41,-0.025465298,-0.12473645,"('unforgiving', 'forgiving')",-0.1091039,-0.21619822,-0.0672846,-0.1704673,-0.1031827
42,0.6689581,0.64899784,"('unreliable', 'reliable')",-3.606787,-3.5635803,-1.4689144,-1.4572912,0.0116232
43,-0.4611324,-0.49051636,"('irresponsible', 'responsible')",0.45199376,0.45224833,-0.0045693,-0.019134,-0.0145647
44,-0.5877732,-0.5824316,"('prejudiced', 'unprejudiced')",-1.6330607,-1.6476786,-1.1104169,-1.1150551,-0.0046382
45,-0.61521626,-0.8315155,"('incompetent', 'competent')",0.019833442,-0.020601224,-0.2976914,-0.4260584,-0.128367
46,-1.0270982,-1.0476619,"('uncompetitive', 'competitive')",-1.1701686,-1.1838442,-1.0986334,-1.1157531,-0.0171197
