,colgate_male,colgate_female,tuple,palmolive_male,palmolive_female,co_male,co_female,average_male,average_female,female-male
0,-1.2651287,-1.4042209,"('unsociable', 'sociable')",-0.978758,-1.0720148,-0.36135414,-0.4939544,-0.8684136,-0.9900634,-0.1216498
1,-1.0675033,-1.2440138,"('unfriendly', 'friendly')",-0.0015917523,-0.16730729,1.4989973,1.3672171,0.1433007,-0.0147013,-0.158002
2,0.49149787,0.6156156,"('unlikable', 'likable')",0.9111512,0.9685741,0.90692735,1.1877735,0.7698588,0.9239877,0.1541289
3,-0.8654993,-0.774381,"('repellent', 'pleasant')",-1.2544932,-1.2055432,0.479622,0.5877164,-0.5467902,-0.4640693,0.0827209
4,0.21949518,-0.013375811,"('disliked', 'liked')",0.4145666,0.37085852,-6.77767,-6.8463807,-2.0478694,-2.1629659,-0.1150965
5,0.63860583,0.5917416,"('distant', 'outgoing')",0.85404867,0.8583979,-0.3772498,-0.2711816,0.3718016,0.392986,0.0211844
6,0.24318278,0.24547395,"('distant', 'open')",1.0999563,1.1226732,-0.18658969,-0.10548337,0.3855164,0.4208879,0.0353715
7,-0.6802387,-0.6508154,"('insensitive', 'sensitive')",-0.77317286,-0.7815714,-0.01272545,0.017799433,-0.4887124,-0.4715292,0.0171832
8,-0.5318719,-0.7393437,"('unaffectionate', 'affectionate')",-0.048096202,-0.19281006,0.54175174,0.46893972,-0.0127388,-0.1544047,-0.1416659
9,-0.854116,-1.0287102,"('unaffectionate', 'caring')",-0.55285424,-0.67937726,0.9733075,0.94473267,-0.1445543,-0.2544516,-0.1098973
10,-1.731511,-1.7362837,"('unsympathetic', 'sympathetic')",-1.5976614,-1.6104414,-0.16644263,-0.21914016,-1.165205,-1.1886217,-0.0234167
11,-0.6280149,-0.69160676,"('unhelpful', 'helpful')",-1.8389705,-1.8929164,2.1059248,2.1146927,-0.1203535,-0.1566102,-0.0362567
12,-0.79165584,-0.765477,"('unsupportive', 'supportive')",-1.1222095,-1.0816687,-2.1790996,-2.0647216,-1.3643217,-1.3039558,0.0603659
13,-0.967364,-0.92599595,"('impolite', 'polite')",-0.8866281,-0.9002311,-0.33261812,-0.32975915,-0.7288701,-0.7186621,0.010208
14,-0.2927399,-0.24088943,"('antisocial', 'social')",-0.06663689,-0.09527335,-0.11725285,-0.19140324,-0.1588765,-0.1758553,-0.0169788
15,0.31091464,0.17974633,"('boring', 'funny')",0.7697289,0.6786,0.60511446,0.63282645,0.5619193,0.4970576,-0.0648617
16,-0.74553716,-0.73611176,"('unpopular', 'popular')",0.46618575,0.51976943,0.3023119,0.30222666,0.0076535,0.0286281,0.0209746
17,0.14868563,0.09864116,"('nasty', 'nice')",0.027934767,0.053526986,-0.26300108,-0.32764035,-0.0287936,-0.0584907,-0.0296971
18,-0.40526524,-0.15710682,"('disagreeable', 'welcoming')",0.08673789,0.2650871,-0.85600567,-0.7123706,-0.391511,-0.2014634,0.1900476
19,0.011000201,-0.033235848,"('inhospitable', 'hospitable')",-0.60283506,-0.55438316,-0.33326164,-0.18837714,-0.3083655,-0.2586654,0.0497001
20,-0.17231323,-0.13112767,"('rough', 'thoughtful')",-0.049113624,-0.07694481,0.4173688,0.4336314,0.065314,0.0751863,0.0098723
21,-1.18593,-0.90014684,"('immoral', 'moral')",-0.9711271,-0.8515276,-0.97374135,-0.72234136,-1.0435994,-0.8246719,0.2189275
22,0.21724185,0.1517035,"('untrustworthy', 'trustworthy')",-0.110424906,-0.16495375,-0.37340596,-0.47148374,-0.088863,-0.161578,-0.072715
23,-1.1983049,-1.243147,"('insincere', 'sincere')",-1.6174587,-1.6351347,5.73925,5.682144,0.9744956,0.9346209,-0.0398747
24,-0.35921794,-0.33504733,"('dishonest', 'honest')",-0.60216886,-0.6362464,1.0880972,1.0157052,0.0422368,0.0148038,-0.027433
