,delta_male,delta_female,tuple,air_male,air_female,lines_male,lines_female,inc_male,inc_female,average_male,average_female,female-male
0,0.060367964,-0.0919915,"('unsociable', 'sociable')",-1.8271574,-2.103821,-0.19577208,-0.32251686,-0.076668315,-0.27997094,-0.5098075,-0.6995751,-0.1897676
1,1.3212025,1.2888113,"('unfriendly', 'friendly')",0.5967083,0.65574914,0.75122535,0.7199632,1.796269,1.5952594,1.1163512,1.0649457,-0.0514055
2,1.22957,1.2672615,"('unlikable', 'likable')",0.65081286,0.78390336,0.53666663,0.593169,0.5868674,0.6709429,0.7509792,0.8288192,0.07784
3,-0.66227484,-0.6279776,"('repellent', 'pleasant')",-1.1593353,-1.1918054,-0.16645326,-0.16487876,0.18276882,0.28671044,-0.4513236,-0.4244878,0.0268358
4,0.16260912,0.2286059,"('disliked', 'liked')",1.132293,1.2093104,0.6978862,0.7185088,-5.9494004,-5.8476033,-0.989153,-0.9227946,0.0663584
5,1.0216305,0.98215175,"('distant', 'outgoing')",1.486674,1.6328785,-0.2501112,-0.21818309,-0.14154354,-0.20149875,0.5291625,0.5488371,0.0196746
6,1.0013587,1.021357,"('distant', 'open')",1.5586333,1.6863886,-0.70892,-0.6818733,0.49746925,0.4003659,0.5871353,0.6065595,0.0194242
7,-0.0013558939,-0.018895194,"('insensitive', 'sensitive')",-0.7162778,-0.738104,-0.72775483,-0.68390065,0.8586741,0.8102097,-0.1466786,-0.1576725,-0.0109939
8,1.0669491,1.0401399,"('unaffectionate', 'affectionate')",0.36676827,0.41583717,-0.58688784,-0.5832446,0.26757812,0.122455925,0.2786019,0.2487971,-0.0298048
9,1.8808503,1.886083,"('unaffectionate', 'caring')",0.41359574,0.44408113,0.08711694,0.13855967,0.9180542,0.8315813,0.8249043,0.8250763,0.000172
10,-0.6642979,-0.72741836,"('unsympathetic', 'sympathetic')",-2.5133846,-2.7027385,-1.3037101,-1.2808248,0.027542163,-0.076853536,-1.1134626,-1.1969589,-0.0834963
