,click_male,click_female,tuple,average_male,average_female,female-male
0,0.6147254,0.24171676,"('unsociable', 'sociable')",0.6147254,0.2417168,-0.3730086
1,1.1420909,1.4136435,"('unfriendly', 'friendly')",1.1420909,1.4136435,0.2715526
2,0.7248084,0.6591887,"('unlikable', 'likable')",0.7248084,0.6591887,-0.0656197
3,1.1302578,0.7978718,"('repellent', 'pleasant')",1.1302578,0.7978718,-0.332386
4,-7.171962,-7.443904,"('disliked', 'liked')",-7.1719618,-7.4439039,-0.2719421
5,-0.5361694,-0.39926624,"('distant', 'outgoing')",-0.5361694,-0.3992662,0.1369032
6,-0.45639896,-0.2554237,"('distant', 'open')",-0.456399,-0.2554237,0.2009753
7,1.8839437,1.7388394,"('insensitive', 'sensitive')",1.8839437,1.7388394,-0.1451043
8,0.48589727,0.59567124,"('unaffectionate', 'affectionate')",0.4858973,0.5956712,0.1097739
9,1.1313447,1.4126017,"('unaffectionate', 'caring')",1.1313447,1.4126017,0.281257
10,2.0172336,1.6649765,"('unsympathetic', 'sympathetic')",2.0172336,1.6649765,-0.3522571
11,2.590378,2.7711446,"('unhelpful', 'helpful')",2.590378,2.7711446,0.1807666
12,-0.9162215,-1.1255811,"('unsupportive', 'supportive')",-0.9162215,-1.1255811,-0.2093596
13,0.7890036,0.5727713,"('impolite', 'polite')",0.7890036,0.5727713,-0.2162323
14,0.77904564,0.4466916,"('antisocial', 'social')",0.7790456,0.4466916,-0.332354
15,0.18781938,0.2833655,"('boring', 'funny')",0.1878194,0.2833655,0.0955461
16,-0.73080575,-0.73116416,"('unpopular', 'popular')",-0.7308058,-0.7311642,-0.0003584
17,-0.092770725,-0.20681645,"('nasty', 'nice')",-0.0927707,-0.2068164,-0.1140457
18,-0.1932092,-0.32309994,"('disagreeable', 'welcoming')",-0.1932092,-0.3230999,-0.1298907
19,-0.53159475,-0.43216127,"('inhospitable', 'hospitable')",-0.5315948,-0.4321613,0.0994335
20,0.96736294,0.82452613,"('rough', 'thoughtful')",0.9673629,0.8245261,-0.1428368
21,0.73705214,0.45594865,"('immoral', 'moral')",0.7370521,0.4559487,-0.2811034
