,keysight_male,keysight_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,1.1339759,1.1077914,"('unsociable', 'sociable')",-0.24149397,-0.46719757,-0.4742216,-0.6613996,0.1394201,-0.0069352,-0.1463553
1,-1.0828011,-1.2019414,"('unfriendly', 'friendly')",-0.14230444,-0.24769504,1.7998673,1.6502143,0.1915872,0.0668593,-0.1247279
2,0.45844996,0.4312263,"('unlikable', 'likable')",0.35638186,0.43122676,0.86114883,0.9316606,0.5586602,0.5980379,0.0393777
3,0.25375432,0.43278867,"('repellent', 'pleasant')",0.1529384,0.23675369,-0.441406,-0.34115914,-0.0115711,0.1094611,0.1210322
4,-1.5397857,-1.6043094,"('disliked', 'liked')",-0.6587685,-0.68255764,-5.3811235,-5.559875,-2.5265592,-2.6155807,-0.0890215
5,-1.6956283,-1.7688025,"('distant', 'outgoing')",-0.483379,-0.36515906,0.23417598,0.30206504,-0.6482771,-0.6106322,0.0376449
6,-2.0756073,-2.1418393,"('distant', 'open')",-1.1486198,-1.0491505,0.5365813,0.5811573,-0.8958819,-0.8699441,0.0259378
7,1.5304521,1.6769202,"('insensitive', 'sensitive')",0.46332917,0.53973,0.22300696,0.28000128,0.7389294,0.8322172,0.0932878
8,-1.6002502,-1.7037836,"('unaffectionate', 'affectionate')",-0.5234493,-0.51132566,0.45693135,0.39295352,-0.5555894,-0.6073853,-0.0517959
9,-0.6548773,-0.6746396,"('unaffectionate', 'caring')",-0.17748722,-0.14940298,1.0032959,0.99923515,0.0569771,0.0583975,0.0014204
10,1.7657377,1.9879161,"('unsympathetic', 'sympathetic')",-0.6750177,-0.69401413,-0.8524967,-0.9268843,0.0794078,0.1223392,0.0429314
11,1.5651784,1.6337318,"('unhelpful', 'helpful')",1.1493725,1.1872764,1.6415219,1.6303203,1.4520243,1.4837761,0.0317518
12,0.5927574,0.6949988,"('unsupportive', 'supportive')",0.49923635,0.7060971,-1.6460842,-1.6332278,-0.1846968,-0.0773773,0.1073195
13,1.6123422,1.6386808,"('impolite', 'polite')",0.030202892,-0.03565744,-0.20671898,-0.25724477,0.4786087,0.4485929,-0.0300158
14,1.1860775,1.2774295,"('antisocial', 'social')",0.7734532,0.7854993,-0.83172107,-0.8064646,0.3759365,0.4188213,0.0428848
15,0.2625369,0.17299417,"('boring', 'funny')",-0.07482514,-0.0735229,0.73301405,0.7001744,0.3069086,0.2665486,-0.04036
16,-1.5625364,-1.5703646,"('unpopular', 'popular')",-0.119277954,-0.13289656,0.83578926,0.8802868,-0.2820083,-0.2743248,0.0076835
17,-0.93123317,-0.90188533,"('nasty', 'nice')",-0.8401504,-0.7816102,-0.4373897,-0.37596935,-0.7362577,-0.6864883,0.0497694
18,0.19486275,0.18259795,"('disagreeable', 'welcoming')",0.32504264,0.3801421,0.023404103,-0.039390918,0.1811032,0.1744497,-0.0066535
19,-1.505846,-1.5792917,"('inhospitable', 'hospitable')",-0.76223993,-0.7857413,0.023753792,0.080348514,-0.7481107,-0.7615616,-0.0134509
20,0.4465577,0.45266452,"('rough', 'thoughtful')",0.99605334,1.0527653,0.75569606,0.7326507,0.732769,0.7460268,0.0132578
21,2.0623531,2.170808,"('immoral', 'moral')",0.44357023,0.35272047,-0.72926533,-0.7739869,0.5922193,0.5831806,-0.0090387
