,cub_male,cub_female,tuple,average_male,average_female,female-male
0,0.518291,0.1954617,"('unsociable', 'sociable')",0.518291,0.1954617,-0.3228293
1,1.2264044,1.3060858,"('unfriendly', 'friendly')",1.2264044,1.3060858,0.0796814
2,0.47030082,0.6842741,"('unlikable', 'likable')",0.4703008,0.6842741,0.2139733
3,0.43633783,0.53787285,"('repellent', 'pleasant')",0.4363378,0.5378729,0.1015351
4,-7.402747,-7.358427,"('disliked', 'liked')",-7.4027472,-7.358427,0.0443202
5,-0.3043071,-0.09293413,"('distant', 'outgoing')",-0.3043071,-0.0929341,0.211373
6,-0.09350437,0.13227406,"('distant', 'open')",-0.0935044,0.1322741,0.2257785
7,0.49410093,0.51368254,"('insensitive', 'sensitive')",0.4941009,0.5136825,0.0195816
8,1.4511999,1.4620695,"('unaffectionate', 'affectionate')",1.4511999,1.4620695,0.0108696
9,1.9676228,2.0023084,"('unaffectionate', 'caring')",1.9676228,2.0023084,0.0346856
10,1.1752912,1.2074069,"('unsympathetic', 'sympathetic')",1.1752912,1.2074069,0.0321157
11,2.1884248,2.1624863,"('unhelpful', 'helpful')",2.1884248,2.1624863,-0.0259385
12,-1.5118009,-1.5500278,"('unsupportive', 'supportive')",-1.5118009,-1.5500278,-0.0382269
13,0.4545173,0.3014965,"('impolite', 'polite')",0.4545173,0.3014965,-0.1530208
14,0.073360324,-0.21554945,"('antisocial', 'social')",0.0733603,-0.2155495,-0.2889098
15,0.4674949,0.42865568,"('boring', 'funny')",0.4674949,0.4286557,-0.0388392
16,-0.4850808,-0.39080775,"('unpopular', 'popular')",-0.4850808,-0.3908077,0.0942731
17,-0.22502333,-0.109217055,"('nasty', 'nice')",-0.2250233,-0.1092171,0.1158062
18,-0.607802,-0.6222206,"('disagreeable', 'welcoming')",-0.607802,-0.6222206,-0.0144186
19,-0.4642772,-0.2677941,"('inhospitable', 'hospitable')",-0.4642772,-0.2677941,0.1964831
20,0.63528943,0.49412903,"('rough', 'thoughtful')",0.6352894,0.494129,-0.1411604
21,0.0041126236,0.08887426,"('immoral', 'moral')",0.0041126,0.0888743,0.0847617
22,-0.6334392,-0.6494671,"('untrustworthy', 'trustworthy')",-0.6334392,-0.6494671,-0.0160279
23,6.3203197,6.262491,"('insincere', 'sincere')",6.3203197,6.2624912,-0.0578285
24,1.601442,1.5701277,"('dishonest', 'honest')",1.601442,1.5701277,-0.0313143
25,0.0709195,0.14529961,"('egoistic', 'altruistic')",0.0709195,0.1452996,0.0743801
26,0.8543631,0.46952525,"('hardhearted', 'benevolent')",0.8543631,0.4695252,-0.3848379
27,1.6863832,1.7007273,"('hardhearted', 'softhearted')",1.6863832,1.7007273,0.0143441
28,1.2663392,1.1922548,"('disloyal', 'loyal')",1.2663392,1.1922548,-0.0740844
29,-0.31899807,-0.4040089,"('unfair', 'fair')",-0.3189981,-0.4040089,-0.0850108
30,1.0426164,1.0027193,"('intolerant', 'tolerant')",1.0426164,1.0027193,-0.0398971
31,-1.7384384,-1.6323086,"('evil', 'good')",-1.7384384,-1.6323086,0.1061298
32,1.392783,1.2182732,"('unkind', 'kind')",1.392783,1.2182732,-0.1745098
33,-0.23252335,-0.26664186,"('wrong', 'right')",-0.2325234,-0.2666419,-0.0341185
34,4.680265,4.8697686,"('mean', 'honorable')",4.6802649,4.8697686,0.1895037
35,-1.2396232,-1.3339394,"('corrupt', 'incorrupt')",-1.2396232,-1.3339394,-0.0943162
36,-0.9007316,-0.9093491,"('hostile', 'amicable')",-0.9007316,-0.9093491,-0.0086175
37,0.8786509,1.0102915,"('fake', 'genuine')",0.8786509,1.0102915,0.1316406
38,0.13069293,0.15186998,"('untruthful', 'truthful')",0.1306929,0.15187,0.0211771
39,0.41863546,0.2267401,"('exploitative', 'cooperative')",0.4186355,0.2267401,-0.1918954
40,-2.175845,-2.2297926,"('stingy', 'generous')",-2.1758449,-2.2297926,-0.0539477
41,0.48398158,0.30232874,"('unforgiving', 'forgiving')",0.4839816,0.3023287,-0.1816529
42,-2.4970744,-2.3153443,"('unreliable', 'reliable')",-2.4970744,-2.3153443,0.1817301
43,1.5001887,1.5161859,"('irresponsible', 'responsible')",1.5001887,1.5161859,0.0159972
44,-1.0761955,-1.0077738,"('prejudiced', 'unprejudiced')",-1.0761955,-1.0077738,0.0684217
45,0.1067641,0.044607706,"('incompetent', 'competent')",0.1067641,0.0446077,-0.0621564
46,-0.324155,-0.34538174,"('uncompetitive', 'competitive')",-0.324155,-0.3453817,-0.0212267
47,5.1971045,5.2900467,"('stupid', 'smart')",5.1971045,5.2900467,0.0929422
48,0.9006153,0.7399549,"('unintelligent', 'intelligent')",0.9006153,0.7399549,-0.1606604
49,0.52560616,0.59088075,"('unable', 'able')",0.5256062,0.5908808,0.0652746
50,-0.57557565,-0.5010428,"('clumsy', 'skillful')",-0.5755756,-0.5010428,0.0745328
51,0.25403354,0.20873837,"('uneducated', 'educated')",0.2540335,0.2087384,-0.0452951
52,-0.4511236,-0.39053026,"('irrational', 'rational')",-0.4511236,-0.3905303,0.0605933
53,-0.18961518,-0.14486636,"('uncreative', 'creative')",-0.1896152,-0.1448664,0.0447488
54,1.5142384,1.645758,"('incapable', 'capable')",1.5142384,1.645758,0.1315196
55,0.76911306,0.67736894,"('incompetent', 'clever')",0.7691131,0.6773689,-0.0917442
56,1.0569862,0.8621669,"('impractical', 'practical')",1.0569862,0.8621669,-0.1948193
57,-2.718874,-2.6693215,"('unimaginative', 'imaginative')",-2.718874,-2.6693215,0.0495525
58,0.15817764,0.100354284,"('undiscriminating', 'discriminating')",0.1581776,0.1003543,-0.0578233
59,0.055135477,0.1285544,"('foolish', 'wise')",0.0551355,0.1285544,0.0734189
60,0.78321564,0.8340299,"('inefficient', 'efficient')",0.7832156,0.8340299,0.0508143
61,0.5030212,0.30491984,"('illogical', 'logical')",0.5030212,0.3049198,-0.1981014
62,1.1472439,1.1955861,"('incompetent', 'brilliant')",1.1472439,1.1955861,0.0483422
63,0.5879553,0.526914,"('unperceptive', 'insightful')",0.5879553,0.526914,-0.0610413
64,-6.2914042,-6.203981,"('shy', 'confident')",-6.2914042,-6.2039809,0.0874233
65,0.44197488,0.3304217,"('insecure', 'secure')",0.4419749,0.3304217,-0.1115532
66,-0.3071261,-0.27161437,"('inactive', 'active')",-0.3071261,-0.2716144,0.0355117
67,-0.33280197,-0.38864672,"('doubtful', 'determined')",-0.332802,-0.3886467,-0.0558447
68,-0.48792315,-0.43520328,"('dependent', 'independent')",-0.4879231,-0.4352033,0.0527198
69,-2.0595465,-1.8992084,"('lazy', 'industrious')",-2.0595465,-1.8992084,0.1603381
70,1.0420702,1.0723971,"('lethargic', 'energetic')",1.0420702,1.0723971,0.0303269
71,0.23699377,0.26356214,"('diffident', 'self-confident')",0.2369938,0.2635621,0.0265683
72,0.7380992,0.72391486,"('unambitious', 'ambitious')",0.7380992,0.7239149,-0.0141843
