,baxter_male,baxter_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,female-male
0,0.46498868,0.254518,"('unsociable', 'sociable')",0.17483297,0.042489253,-0.4586203,-0.6621999,0.0604004,-0.1217309,-0.1821313
1,1.3449624,1.3275543,"('unfriendly', 'friendly')",0.52232206,0.47448996,1.8932697,1.7608173,1.253518,1.1876205,-0.0658975
2,0.30462873,0.37025493,"('unlikable', 'likable')",1.0724809,1.1818432,0.6811765,0.827539,0.6860954,0.7932123,0.1071169
3,-1.2842022,-1.3136034,"('repellent', 'pleasant')",-0.34684116,-0.33360544,0.096221745,0.13606496,-0.5116072,-0.5037146,0.0078926
4,-0.4344714,-0.42394894,"('disliked', 'liked')",-0.13487537,-0.13975099,-6.4182143,-6.4806166,-2.3291871,-2.3481054,-0.0189183
5,0.4023172,0.5822425,"('distant', 'outgoing')",-0.13564938,-0.04617127,0.029573381,0.11114524,0.0987471,0.2157388,0.1169917
6,-0.42143562,-0.2183803,"('distant', 'open')",-0.3837574,-0.27788338,0.49875376,0.56894404,-0.1021464,0.0242268,0.1263732
7,0.22621378,0.1524895,"('insensitive', 'sensitive')",-0.013474733,0.009668574,0.4092768,0.34598684,0.2073386,0.1693816,-0.037957
8,0.8110437,0.8796121,"('unaffectionate', 'affectionate')",-0.41285574,-0.42099303,0.5020537,0.5228077,0.3000805,0.3271423,0.0270618
9,1.6484314,1.6919274,"('unaffectionate', 'caring')",0.30654454,0.34517133,0.9658484,1.0331221,0.9736081,1.023407,0.0497989
10,-0.32946876,-0.5126165,"('unsympathetic', 'sympathetic')",-0.6740403,-0.6581068,-0.5346232,-0.6496068,-0.5127107,-0.6067767,-0.094066
11,0.25219196,0.2405551,"('unhelpful', 'helpful')",0.60928226,0.659652,1.9287515,1.9872769,0.9300752,0.9624947,0.0324195
12,1.1375216,1.1478049,"('unsupportive', 'supportive')",0.4681172,0.620755,-1.901406,-1.8577838,-0.0985891,-0.0297413,0.0688478
13,-0.25661647,-0.4868129,"('impolite', 'polite')",0.4677166,0.42272845,-0.30295533,-0.38463175,-0.0306184,-0.1495721,-0.1189537
14,0.014141396,-0.15821035,"('antisocial', 'social')",0.73875153,0.65969694,-0.58479834,-0.6692581,0.0560315,-0.0559238,-0.1119553
15,0.29299396,0.30637127,"('boring', 'funny')",0.14847077,0.12642327,0.6455928,0.6128956,0.3623525,0.3485634,-0.0137891
16,-1.4099251,-1.3925092,"('unpopular', 'popular')",0.13099909,0.073951766,0.78208876,0.7113111,-0.1656124,-0.2024155,-0.0368031
17,-0.18131858,-0.08336487,"('nasty', 'nice')",-0.98337007,-0.9040004,-0.38232008,-0.30043533,-0.5156695,-0.4292669,0.0864026
18,-0.063002184,-0.057815257,"('disagreeable', 'welcoming')",1.023592,1.1734419,-0.3460844,-0.36671206,0.2048351,0.2496382,0.0448031
19,-0.08464824,0.014304955,"('inhospitable', 'hospitable')",-1.2471844,-1.2186214,-0.12484872,-0.029672118,-0.4855605,-0.4113295,0.074231
20,-0.7006632,-0.7416763,"('rough', 'thoughtful')",0.5667717,0.5031782,1.0956912,1.0289333,0.3205999,0.2634784,-0.0571215
21,0.26632106,0.19190595,"('immoral', 'moral')",0.4893086,0.5014385,-0.9375358,-0.9301597,-0.0606354,-0.0789384,-0.018303
22,0.15681802,0.01891756,"('untrustworthy', 'trustworthy')",0.041904524,0.04960479,-1.0528275,-1.0816813,-0.2847016,-0.3377196,-0.053018
23,0.6444674,0.5417691,"('insincere', 'sincere')",0.39541778,0.41256592,5.8386025,5.726151,2.2928292,2.2268286,-0.0660006
24,0.21424901,0.15458551,"('dishonest', 'honest')",-0.10954558,-0.0058706105,0.7805346,0.7585513,0.2950794,0.3024221,0.0073427
25,0.16062704,0.26914942,"('egoistic', 'altruistic')",0.2232725,0.20636919,1.4430315,1.3837086,0.608977,0.6197424,0.0107654
26,1.6631342,1.599764,"('hardhearted', 'benevolent')",1.5230806,1.4773669,1.5877204,1.4579232,1.5913118,1.5116847,-0.0796271
27,0.80119693,0.8432887,"('hardhearted', 'softhearted')",-0.039866213,-0.0050139595,1.3511151,1.278027,0.7041486,0.7054339,0.0012853
28,0.54782254,0.44865686,"('disloyal', 'loyal')",-0.0218122,-0.123704515,0.9278733,0.7970807,0.4846279,0.374011,-0.1106169
29,0.2287979,0.20781623,"('unfair', 'fair')",-0.5518027,-0.535107,-0.37054256,-0.51662254,-0.2311825,-0.2813044,-0.0501219
30,0.60809934,0.45654702,"('intolerant', 'tolerant')",0.49358198,0.46051466,1.1328028,1.1467532,0.7448281,0.6879383,-0.0568898
31,0.10672789,0.26189357,"('evil', 'good')",-0.6933936,-0.66671467,-0.80520266,-0.8689387,-0.4639561,-0.4245866,0.0393695
32,1.0984967,1.0386611,"('unkind', 'kind')",0.1259875,0.14780322,1.0242699,0.8712941,0.7495847,0.6859194,-0.0636653
33,0.80613375,0.8339917,"('wrong', 'right')",0.37679255,0.44271016,-0.51388806,-0.54808915,0.2230127,0.2428709,0.0198582
34,-0.670038,-0.5298132,"('mean', 'honorable')",0.110459566,0.20304717,6.1068773,6.208404,1.8490996,1.960546,0.1114464
35,-0.24113557,-0.13473997,"('corrupt', 'incorrupt')",-0.49098682,-0.589882,-0.10242434,-0.19356528,-0.2781822,-0.3060624,-0.0278802
36,-0.2978823,-0.18616284,"('hostile', 'amicable')",0.05144038,-0.03497579,0.41373047,0.26202163,0.0557629,0.0136277,-0.0421352
37,-0.65014285,-0.7521614,"('fake', 'genuine')",-0.7038193,-0.7027519,0.3337116,0.35555252,-0.3400835,-0.3664536,-0.0263701
38,0.45576158,0.46212325,"('untruthful', 'truthful')",-0.11720237,0.0018540397,-0.018260553,0.08766098,0.1067662,0.1838794,0.0771132
39,1.5141315,1.4965844,"('exploitative', 'cooperative')",0.8075526,0.8623059,-0.051277015,-0.0144879995,0.7568024,0.7814674,0.024665
40,-0.46222296,-0.4630926,"('stingy', 'generous')",0.15914187,0.24224785,-1.5170767,-1.7050412,-0.6067193,-0.641962,-0.0352427
41,0.9583657,0.8883299,"('unforgiving', 'forgiving')",0.12750241,0.17908224,0.13858616,0.07916198,0.4081514,0.3821914,-0.02596
42,0.061216768,0.11086884,"('unreliable', 'reliable')",0.69619596,0.8706137,-2.9355495,-2.7888093,-0.7260456,-0.6024423,0.1236033
43,0.8736776,0.7940567,"('irresponsible', 'responsible')",0.45267612,0.48763773,0.4235987,0.42900342,0.5833175,0.5702326,-0.0130849
44,-2.1437173,-2.132007,"('prejudiced', 'unprejudiced')",0.018980857,0.06501661,-1.3721464,-1.3523583,-1.1656276,-1.1397829,0.0258447
45,-0.06870075,-0.24210471,"('incompetent', 'competent')",0.0895559,0.03739393,-0.25800884,-0.38857606,-0.0790512,-0.1977623,-0.1187111
46,-0.86187744,-1.0493301,"('uncompetitive', 'competitive')",0.12975557,0.14893924,-0.69933486,-0.7681408,-0.4771523,-0.5561772,-0.0790249
47,0.13671419,0.07565847,"('stupid', 'smart')",0.21261647,0.27536392,5.8495035,5.9098845,2.0662781,2.0869689,0.0206908
48,1.043475,1.0161434,"('unintelligent', 'intelligent')",0.41184598,0.3885262,0.5243306,0.5253766,0.6598839,0.6433488,-0.0165351
49,-0.6293466,-0.6094982,"('unable', 'able')",-0.36179188,-0.266787,-0.2892521,-0.11698255,-0.4267968,-0.3310893,0.0957075
50,-0.847358,-0.8112117,"('clumsy', 'skillful')",-0.20893532,-0.19534802,0.18889697,0.21394421,-0.2891321,-0.2642052,0.0249269
51,-0.29567993,-0.40082794,"('uneducated', 'educated')",0.6257648,0.52299833,0.38571438,0.2704389,0.2385997,0.1308698,-0.1077299
52,-0.22343275,-0.2270097,"('irrational', 'rational')",-0.6364439,-0.7310536,0.33481824,0.23168558,-0.1750195,-0.2421259,-0.0671064
53,-0.10788897,-0.18813367,"('uncreative', 'creative')",-0.1490921,-0.24630436,1.0846568,0.97277915,0.2758919,0.179447,-0.0964449
54,0.16849342,0.18814434,"('incapable', 'capable')",0.20251542,0.25131357,1.0932276,1.1838237,0.4880788,0.5410939,0.0530151
55,-0.14950156,-0.3170415,"('incompetent', 'clever')",-0.3415558,-0.39287436,-0.15200523,-0.18864083,-0.2143542,-0.2995189,-0.0851647
56,1.2093618,1.0966893,"('impractical', 'practical')",1.4593133,1.4506482,-0.013557291,-0.012619505,0.8850393,0.844906,-0.0401333
57,-0.9783733,-1.1362027,"('unimaginative', 'imaginative')",-0.17982164,-0.27639216,-2.5996773,-2.7142954,-1.252624,-1.3756301,-0.1230061
58,0.48502827,0.3775685,"('undiscriminating', 'discriminating')",0.19249527,0.08108659,-0.061218806,-0.12656127,0.2054349,0.1106979,-0.094737
