,vestment_male,vestment_female,tuple,average_male,average_female,female-male
0,0.44948187,0.22789815,"('unsociable', 'sociable')",0.4494819,0.2278982,-0.2215837
1,-1.2378252,-1.3646027,"('unfriendly', 'friendly')",-1.2378252,-1.3646027,-0.1267775
2,0.5864285,0.611288,"('unlikable', 'likable')",0.5864285,0.611288,0.0248595
3,0.45081806,0.48748243,"('repellent', 'pleasant')",0.4508181,0.4874824,0.0366643
4,-3.906658,-3.8649247,"('disliked', 'liked')",-3.9066579,-3.8649247,0.0417332
5,-2.2978892,-2.23292,"('distant', 'outgoing')",-2.2978892,-2.2329199,0.0649693
6,-2.3343487,-2.2714052,"('distant', 'open')",-2.3343487,-2.2714052,0.0629435
7,0.99796814,0.9059647,"('insensitive', 'sensitive')",0.9979681,0.9059647,-0.0920034
8,-0.5642025,-0.6280674,"('unaffectionate', 'affectionate')",-0.5642025,-0.6280674,-0.0638649
9,-0.36670548,-0.45562613,"('unaffectionate', 'caring')",-0.3667055,-0.4556261,-0.0889206
10,0.99121946,0.85573894,"('unsympathetic', 'sympathetic')",0.9912195,0.8557389,-0.1354806
11,1.1768876,1.1403491,"('unhelpful', 'helpful')",1.1768876,1.1403491,-0.0365385
12,-0.79877734,-0.8170279,"('unsupportive', 'supportive')",-0.7987773,-0.8170279,-0.0182506
13,0.5642556,0.3989455,"('impolite', 'polite')",0.5642556,0.3989455,-0.1653101
14,1.6295803,1.4833837,"('antisocial', 'social')",1.6295803,1.4833837,-0.1461966
15,0.055942945,-0.03270419,"('boring', 'funny')",0.0559429,-0.0327042,-0.0886471
16,-1.2086799,-1.1704556,"('unpopular', 'popular')",-1.2086799,-1.1704556,0.0382243
17,-0.09246412,-0.075364545,"('nasty', 'nice')",-0.0924641,-0.0753645,0.0170996
18,-0.21824677,-0.28834522,"('disagreeable', 'welcoming')",-0.2182468,-0.2883452,-0.0700984
19,-1.4387971,-1.3997563,"('inhospitable', 'hospitable')",-1.4387971,-1.3997563,0.0390408
20,0.7948753,0.70013046,"('rough', 'thoughtful')",0.7948753,0.7001305,-0.0947448
21,1.6999878,1.6245207,"('immoral', 'moral')",1.6999878,1.6245207,-0.0754671
22,0.6121415,0.52326167,"('untrustworthy', 'trustworthy')",0.6121415,0.5232617,-0.0888798
23,4.1944823,4.036878,"('insincere', 'sincere')",4.1944823,4.0368781,-0.1576042
24,0.91451603,0.7604512,"('dishonest', 'honest')",0.914516,0.7604512,-0.1540648
25,-0.11768626,-0.22205853,"('egoistic', 'altruistic')",-0.1176863,-0.2220585,-0.1043722
26,0.62229687,0.47758234,"('hardhearted', 'benevolent')",0.6222969,0.4775823,-0.1447146
27,0.6352226,0.40478283,"('hardhearted', 'softhearted')",0.6352226,0.4047828,-0.2304398
28,0.72527605,0.52464676,"('disloyal', 'loyal')",0.7252761,0.5246468,-0.2006293
29,-0.8491339,-0.94588375,"('unfair', 'fair')",-0.8491339,-0.9458838,-0.0967499
30,1.4532081,1.3190123,"('intolerant', 'tolerant')",1.4532081,1.3190123,-0.1341958
31,-2.7612417,-2.6988184,"('evil', 'good')",-2.7612417,-2.6988184,0.0624233
32,1.7931896,1.5751207,"('unkind', 'kind')",1.7931896,1.5751207,-0.2180689
33,-0.49406642,-0.51226866,"('wrong', 'right')",-0.4940664,-0.5122687,-0.0182023
34,2.7321239,2.8620796,"('mean', 'honorable')",2.7321239,2.8620796,0.1299557
35,-1.3525802,-1.378859,"('corrupt', 'incorrupt')",-1.3525802,-1.378859,-0.0262788
36,-1.8610778,-1.8801143,"('hostile', 'amicable')",-1.8610778,-1.8801143,-0.0190365
37,0.6646304,0.5680016,"('fake', 'genuine')",0.6646304,0.5680016,-0.0966288
38,-0.09281553,-0.10740505,"('untruthful', 'truthful')",-0.0928155,-0.1074051,-0.0145896
39,0.8977973,0.88547957,"('exploitative', 'cooperative')",0.8977973,0.8854796,-0.0123177
40,-0.8890832,-1.0730379,"('stingy', 'generous')",-0.8890832,-1.0730379,-0.1839547
41,0.7527981,0.66600364,"('unforgiving', 'forgiving')",0.7527981,0.6660036,-0.0867945
42,-0.7759613,-0.81004524,"('unreliable', 'reliable')",-0.7759613,-0.8100452,-0.0340839
43,0.8435646,0.76834244,"('irresponsible', 'responsible')",0.8435646,0.7683424,-0.0752222
44,-0.20427883,-0.11514288,"('prejudiced', 'unprejudiced')",-0.2042788,-0.1151429,0.0891359
45,0.3603468,0.32276484,"('incompetent', 'competent')",0.3603468,0.3227648,-0.037582
46,-0.28518477,-0.38892603,"('uncompetitive', 'competitive')",-0.2851848,-0.388926,-0.1037412
47,3.2111816,3.2399004,"('stupid', 'smart')",3.2111816,3.2399004,0.0287188
48,0.6622826,0.55864,"('unintelligent', 'intelligent')",0.6622826,0.55864,-0.1036426
49,0.000882647,0.04791401,"('unable', 'able')",0.0008826,0.047914,0.0470314
50,-0.06260097,-0.10929412,"('clumsy', 'skillful')",-0.062601,-0.1092941,-0.0466931
51,0.54507077,0.3830596,"('uneducated', 'educated')",0.5450708,0.3830596,-0.1620112
52,-1.503048,-1.5386764,"('irrational', 'rational')",-1.5030479,-1.5386764,-0.0356285
53,-1.6878073,-1.8375617,"('uncreative', 'creative')",-1.6878073,-1.8375617,-0.1497544
54,-0.31102094,-0.31468904,"('incapable', 'capable')",-0.3110209,-0.314689,-0.0036681
55,1.3522165,1.2746588,"('incompetent', 'clever')",1.3522165,1.2746588,-0.0775577
56,1.7238522,1.6513844,"('impractical', 'practical')",1.7238522,1.6513844,-0.0724678
57,-1.9361258,-1.9376668,"('unimaginative', 'imaginative')",-1.9361258,-1.9376668,-0.001541
58,-0.16599387,-0.17473438,"('undiscriminating', 'discriminating')",-0.1659939,-0.1747344,-0.0087405
59,-0.598111,-0.5255914,"('foolish', 'wise')",-0.598111,-0.5255914,0.0725196
60,1.7689964,1.6923373,"('inefficient', 'efficient')",1.7689964,1.6923373,-0.0766591
61,-0.12209222,-0.33578515,"('illogical', 'logical')",-0.1220922,-0.3357852,-0.213693
62,1.2328446,1.2579427,"('incompetent', 'brilliant')",1.2328446,1.2579427,0.0250981
63,0.077480696,0.069944076,"('unperceptive', 'insightful')",0.0774807,0.0699441,-0.0075366
64,-2.670499,-2.6492915,"('shy', 'confident')",-2.6704991,-2.6492915,0.0212076
65,1.4565825,1.3619845,"('insecure', 'secure')",1.4565825,1.3619845,-0.094598
66,-1.4145882,-1.4366034,"('inactive', 'active')",-1.4145882,-1.4366034,-0.0220152
67,0.3104852,0.31663147,"('doubtful', 'determined')",0.3104852,0.3166315,0.0061463
68,-0.5255093,-0.57466173,"('dependent', 'independent')",-0.5255093,-0.5746617,-0.0491524
69,-1.580948,-1.4907352,"('lazy', 'industrious')",-1.580948,-1.4907352,0.0902128
