,mcafee_male,mcafee_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.8904082,-2.0476632,"('unsociable', 'sociable')",-0.19671987,-0.31388953,-1.043564,-1.1807764,-0.1372124
1,-0.97969157,-1.1144882,"('unfriendly', 'friendly')",1.9044826,1.8223728,0.4623955,0.3539423,-0.1084532
2,0.7757226,0.8356827,"('unlikable', 'likable')",0.5613676,0.66178286,0.6685451,0.7487328,0.0801877
3,-0.8563261,-0.86418533,"('repellent', 'pleasant')",0.03699162,0.023632297,-0.4096673,-0.4202765,-0.0106092
4,0.6078343,0.5513813,"('disliked', 'liked')",-5.621963,-5.660157,-2.5070643,-2.554388,-0.0473237
5,0.33763212,0.35488564,"('distant', 'outgoing')",-0.24935612,-0.23040928,0.044138,0.0622382,0.0181002
6,0.583943,0.6093079,"('distant', 'open')",0.1426437,0.09797082,0.3632933,0.3536394,-0.0096539
7,-0.9786986,-1.0090022,"('insensitive', 'sensitive')",0.8169314,0.786908,-0.0808836,-0.1110471,-0.0301635
8,-0.15129387,-0.2352468,"('unaffectionate', 'affectionate')",0.7851637,0.7004893,0.3169349,0.2326212,-0.0843137
9,-0.7405618,-0.8113076,"('unaffectionate', 'caring')",1.1226755,1.0791111,0.1910569,0.1339017,-0.0571552
10,-2.6693492,-2.7155707,"('unsympathetic', 'sympathetic')",-0.0070365667,-0.08852333,-1.3381929,-1.402047,-0.0638541
11,-1.964055,-1.9844677,"('unhelpful', 'helpful')",1.455184,1.4559767,-0.2544355,-0.2642455,-0.00981
12,-0.9455569,-0.92445654,"('unsupportive', 'supportive')",-1.2082689,-1.19559,-1.0769129,-1.0600233,0.0168896
13,-1.0433611,-1.1498908,"('impolite', 'polite')",-0.36829236,-0.426943,-0.7058267,-0.7884169,-0.0825902
14,-0.88074875,-0.93476635,"('antisocial', 'social')",-0.45981017,-0.49002922,-0.6702794,-0.7123978,-0.0421184
15,0.054476693,0.00089774653,"('boring', 'funny')",0.38093114,0.37779447,0.2177039,0.1893461,-0.0283578
16,-0.1444973,-0.09633651,"('unpopular', 'popular')",0.4426105,0.46147135,0.1490566,0.1825674,0.0335108
17,-0.611755,-0.55517656,"('nasty', 'nice')",-0.34804654,-0.3009071,-0.4799008,-0.4280418,0.051859
18,-0.21242842,-0.25391772,"('disagreeable', 'welcoming')",-0.3471724,-0.40665963,-0.2798004,-0.3302887,-0.0504883
19,-0.1509146,-0.11265091,"('inhospitable', 'hospitable')",0.04812225,0.092252195,-0.0513962,-0.0101994,0.0411968
20,-0.022303507,-0.023478158,"('rough', 'thoughtful')",1.3383834,1.28966,0.65804,0.6330909,-0.0249491
21,-1.2169756,-1.2422261,"('immoral', 'moral')",-0.3559622,-0.3253367,-0.7864689,-0.7837814,0.0026875
22,-0.5832257,-0.6572323,"('untrustworthy', 'trustworthy')",-0.8932477,-0.9850997,-0.7382367,-0.821166,-0.0829293
23,-1.8378056,-1.9443417,"('insincere', 'sincere')",5.1349044,4.9992285,1.6485493,1.5274434,-0.1211059
24,-0.9567836,-1.0638194,"('dishonest', 'honest')",0.6200527,0.5113403,-0.1683654,-0.2762395,-0.1078741
25,0.40944174,0.40371847,"('egoistic', 'altruistic')",1.4673603,1.4910251,0.938401,0.9473718,0.0089708
26,0.1257142,0.08025366,"('hardhearted', 'benevolent')",2.069842,2.038466,1.0977782,1.0593598,-0.0384184
27,-0.4541042,-0.49619538,"('hardhearted', 'softhearted')",1.6113011,1.5027257,0.5785984,0.5032651,-0.0753333
28,-1.3562648,-1.4904578,"('disloyal', 'loyal')",0.7757203,0.64221185,-0.2902723,-0.424123,-0.1338507
29,-0.18154922,-0.25049758,"('unfair', 'fair')",-0.49066624,-0.6237917,-0.3361077,-0.4371446,-0.1010369
30,-0.78415763,-0.8497671,"('intolerant', 'tolerant')",1.3481864,1.2596397,0.2820144,0.2049363,-0.0770781
