,american_male,american_female,tuple,airlines_male,airlines_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.4081064,-1.5262655,"('unsociable', 'sociable')",-0.6004454,-0.6766561,0.6152151,0.47613752,-0.48472697,-0.6737877,-0.4695159,-0.600143,-0.1306271
1,-0.4710801,-0.3879988,"('unfriendly', 'friendly')",1.3013866,1.3631741,-0.21060771,-0.24943584,1.4380144,1.4101707,0.5144283,0.5339775,0.0195492
2,0.95571303,1.0841151,"('unlikable', 'likable')",0.33966422,0.42103976,1.7676021,1.8812577,0.9792178,1.1460642,1.0105493,1.1331192,0.1225699
3,-0.8377483,-0.67839646,"('repellent', 'pleasant')",-0.6045924,-0.58759815,0.9064933,0.9365979,0.39722267,0.41272375,-0.0346562,0.0208318,0.055488
4,-0.009323879,0.028290879,"('disliked', 'liked')",0.5246591,0.48560235,-0.5786861,-0.62736225,-5.765519,-5.7574115,-1.4572175,-1.4677202,-0.0105027
5,0.21970132,0.34219313,"('distant', 'outgoing')",0.8226733,0.93085295,-1.9814415,-1.8649758,-0.47242805,-0.31311655,-0.3528737,-0.2262616,0.1266121
6,0.18243426,0.36413133,"('distant', 'open')",0.58413863,0.7130723,-2.2218022,-2.0747914,0.026311345,0.18734917,-0.3572295,-0.2025596,0.1546699
7,0.12099904,0.08539453,"('insensitive', 'sensitive')",0.452717,0.45133695,0.3463072,0.30871615,0.50449735,0.43337414,0.3561301,0.3197055,-0.0364246
8,-0.1030972,-0.01611313,"('unaffectionate', 'affectionate')",0.41222167,0.39407974,-0.57585543,-0.57983166,0.04567488,0.08541398,-0.055264,-0.0291128,0.0261512
9,0.43314803,0.49344704,"('unaffectionate', 'caring')",0.44771475,0.45301437,-0.23674804,-0.23707494,0.8313898,0.86937135,0.3688761,0.3946894,0.0258133
10,-0.042454623,-0.06920438,"('unsympathetic', 'sympathetic')",-1.2122502,-1.2441686,-0.07322952,-0.09029351,-0.33530325,-0.4518571,-0.4158094,-0.4638809,-0.0480715
11,0.19807789,0.15165254,"('unhelpful', 'helpful')",-0.20372249,-0.18805371,-0.18272921,-0.24453747,2.0546558,2.021391,0.4665705,0.4351131,-0.0314574
12,0.47753382,0.61446375,"('unsupportive', 'supportive')",-0.0942256,-0.016980402,0.72405744,0.88592935,-1.7951362,-1.7268785,-0.1719427,-0.0608664,0.1110763
13,-0.17975685,-0.32868344,"('impolite', 'polite')",-0.029035542,-0.069101006,0.49484092,0.36356378,-0.035793874,-0.12681574,0.0625637,-0.0402591,-0.1028228
14,-0.1242539,-0.18714134,"('antisocial', 'social')",-0.36218408,-0.42445603,1.9033515,1.8772911,-0.43221873,-0.5326829,0.2461737,0.1832527,-0.062921
15,0.10795086,0.006731093,"('boring', 'funny')",0.21905157,0.1714134,-1.5440559,-1.6769961,0.26489758,0.23320448,-0.238039,-0.3164118,-0.0783728
16,-0.9795796,-0.9379103,"('unpopular', 'popular')",0.31677717,0.30022368,-0.2934186,-0.24541901,0.6454533,0.63859,-0.0776919,-0.0611289,0.016563
17,-0.18207335,-0.17364667,"('nasty', 'nice')",0.42031604,0.3858321,-0.80912757,-0.79188037,-0.38256714,-0.35078093,-0.238363,-0.232619,0.005744
18,0.85620844,1.0110147,"('disagreeable', 'welcoming')",0.41865987,0.4687842,-0.57823056,-0.4682987,-0.56650203,-0.53438514,0.0325339,0.1192788,0.0867449
19,0.1796677,0.33699158,"('inhospitable', 'hospitable')",-0.39345348,-0.35984716,-1.8881068,-1.9145154,-0.50467736,-0.36565587,-0.6516425,-0.5757567,0.0758858
20,0.08976765,0.121659465,"('rough', 'thoughtful')",-0.63984066,-0.6241058,0.87544215,0.9593239,1.1953828,1.1794802,0.380188,0.4090894,0.0289014
21,0.31005183,0.18480119,"('immoral', 'moral')",-0.58716834,-0.6653007,0.6914068,0.64184654,-0.7261108,-0.8230001,-0.0779551,-0.1654133,-0.0874582
22,-0.8079218,-0.8071782,"('untrustworthy', 'trustworthy')",-0.44735885,-0.49545693,0.76256824,0.6987501,-0.9016268,-0.93343407,-0.3485848,-0.3843298,-0.035745
23,-0.36576307,-0.37952888,"('insincere', 'sincere')",-0.5939087,-0.57703465,0.40590915,0.3250865,5.4378834,5.2497573,1.2210302,1.1545701,-0.0664601
24,1.2054912,1.1743737,"('dishonest', 'honest')",0.0037047844,-0.02193399,0.17005971,0.15301234,0.7616204,0.73544896,0.535219,0.5102253,-0.0249937
25,0.119102165,0.04347373,"('egoistic', 'altruistic')",1.2170334,1.1831836,-0.053482786,-0.099009305,1.36286,1.2891872,0.6613781,0.6042088,-0.0571693
26,1.0345644,0.9856387,"('hardhearted', 'benevolent')",2.2291934,2.1858523,1.034994,1.0439674,1.5538838,1.5008405,1.4631588,1.4290748,-0.034084
27,0.44324544,0.5051574,"('hardhearted', 'softhearted')",-0.16423905,-0.13855974,-0.40511745,-0.38903856,1.0525011,1.0329592,0.2315975,0.2526296,0.0210321
28,0.71373594,0.49549618,"('disloyal', 'loyal')",-0.04181742,-0.06517796,-0.04897449,-0.1734877,0.89873195,0.7288545,0.380419,0.2464212,-0.1339978
