,pantyhose_male,pantyhose_female,tuple,average_male,average_female,female-male
0,-0.179011,-0.2776701,"('unsociable', 'sociable')",-0.179011,-0.2776701,-0.0986591
1,-0.6093261,-0.6002809,"('unfriendly', 'friendly')",-0.6093261,-0.6002809,0.0090452
2,0.6974005,0.6301583,"('unlikable', 'likable')",0.6974005,0.6301583,-0.0672422
3,-0.98619276,-0.785208,"('repellent', 'pleasant')",-0.9861928,-0.785208,0.2009848
4,-1.2789878,-1.3005815,"('disliked', 'liked')",-1.2789878,-1.3005815,-0.0215937
5,-0.0372981,0.03454016,"('distant', 'outgoing')",-0.0372981,0.0345402,0.0718383
6,-0.042006627,0.03675336,"('distant', 'open')",-0.0420066,0.0367534,0.07876
7,-0.7896649,-0.8078437,"('insensitive', 'sensitive')",-0.7896649,-0.8078437,-0.0181788
8,-0.027975399,-0.015302222,"('unaffectionate', 'affectionate')",-0.0279754,-0.0153022,0.0126732
9,-1.0112164,-1.0144292,"('unaffectionate', 'caring')",-1.0112164,-1.0144292,-0.0032128
10,-1.5133884,-1.5658882,"('unsympathetic', 'sympathetic')",-1.5133884,-1.5658882,-0.0524998
11,-0.39816844,-0.4898725,"('unhelpful', 'helpful')",-0.3981684,-0.4898725,-0.0917041
12,-1.1402118,-1.0737525,"('unsupportive', 'supportive')",-1.1402118,-1.0737525,0.0664593
13,-0.44461378,-0.5778928,"('impolite', 'polite')",-0.4446138,-0.5778928,-0.133279
14,0.65036035,0.5650308,"('antisocial', 'social')",0.6503603,0.5650308,-0.0853295
15,1.1603802,0.904982,"('boring', 'funny')",1.1603802,0.904982,-0.2553982
16,-0.18691045,-0.114985295,"('unpopular', 'popular')",-0.1869105,-0.1149853,0.0719252
17,-0.6695134,-0.54108924,"('nasty', 'nice')",-0.6695134,-0.5410892,0.1284242
18,-0.35912403,-0.39227313,"('disagreeable', 'welcoming')",-0.359124,-0.3922731,-0.0331491
19,-1.4956509,-1.4310384,"('inhospitable', 'hospitable')",-1.4956509,-1.4310384,0.0646125
20,-0.66408837,-0.6536041,"('rough', 'thoughtful')",-0.6640884,-0.6536041,0.0104843
21,-0.9496914,-0.97954136,"('immoral', 'moral')",-0.9496914,-0.9795414,-0.02985
22,-0.3266231,-0.35224542,"('untrustworthy', 'trustworthy')",-0.3266231,-0.3522454,-0.0256223
23,0.14914007,0.12360216,"('insincere', 'sincere')",0.1491401,0.1236022,-0.0255379
24,-0.59246343,-0.71137893,"('dishonest', 'honest')",-0.5924634,-0.7113789,-0.1189155
25,-0.37309885,-0.43947375,"('egoistic', 'altruistic')",-0.3730989,-0.4394737,-0.0663748
26,0.14049432,0.13007638,"('hardhearted', 'benevolent')",0.1404943,0.1300764,-0.0104179
27,-0.24747156,-0.39519656,"('hardhearted', 'softhearted')",-0.2474716,-0.3951966,-0.147725
28,-0.9569026,-1.0591571,"('disloyal', 'loyal')",-0.9569026,-1.0591571,-0.1022545
29,-0.98190594,-1.0388378,"('unfair', 'fair')",-0.9819059,-1.0388378,-0.0569319
30,0.25631225,0.23072302,"('intolerant', 'tolerant')",0.2563123,0.230723,-0.0255893
31,-0.772772,-0.5648437,"('evil', 'good')",-0.772772,-0.5648437,0.2079283
32,-0.26621422,-0.455445,"('unkind', 'kind')",-0.2662142,-0.455445,-0.1892308
33,-0.34647036,-0.35621116,"('wrong', 'right')",-0.3464704,-0.3562112,-0.0097408
34,0.61551374,0.73283863,"('mean', 'honorable')",0.6155137,0.7328386,0.1173249
35,-0.20332474,-0.39265803,"('corrupt', 'incorrupt')",-0.2033247,-0.392658,-0.1893333
36,-0.852401,-0.7257805,"('hostile', 'amicable')",-0.852401,-0.7257805,0.1266205
37,0.1909504,0.108984284,"('fake', 'genuine')",0.1909504,0.1089843,-0.0819661
38,-0.20814689,-0.17503896,"('untruthful', 'truthful')",-0.2081469,-0.175039,0.0331079
39,0.11283596,0.033197083,"('exploitative', 'cooperative')",0.112836,0.0331971,-0.0796389
40,-1.1122186,-1.1981359,"('stingy', 'generous')",-1.1122186,-1.1981359,-0.0859173
41,-0.04393982,-0.068370506,"('unforgiving', 'forgiving')",-0.0439398,-0.0683705,-0.0244307
42,-0.22915286,-0.21406029,"('unreliable', 'reliable')",-0.2291529,-0.2140603,0.0150926
43,0.103163466,0.10642363,"('irresponsible', 'responsible')",0.1031635,0.1064236,0.0032601
44,0.48540395,0.48085988,"('prejudiced', 'unprejudiced')",0.485404,0.4808599,-0.0045441
45,-0.53480905,-0.48755413,"('incompetent', 'competent')",-0.5348091,-0.4875541,0.047255
46,-0.6067818,-0.66614807,"('uncompetitive', 'competitive')",-0.6067818,-0.6661481,-0.0593663
47,1.5874941,1.7078495,"('stupid', 'smart')",1.5874941,1.7078495,0.1203554
48,-1.1541705,-1.1648433,"('unintelligent', 'intelligent')",-1.1541705,-1.1648433,-0.0106728
49,-0.8347257,-0.67477727,"('unable', 'able')",-0.8347257,-0.6747773,0.1599484
50,0.13316846,0.05330721,"('clumsy', 'skillful')",0.1331685,0.0533072,-0.0798613
51,-0.99392366,-1.2156618,"('uneducated', 'educated')",-0.9939237,-1.2156618,-0.2217381
52,-0.5262461,-0.6584899,"('irrational', 'rational')",-0.5262461,-0.6584899,-0.1322438
53,-1.2204937,-1.282113,"('uncreative', 'creative')",-1.2204937,-1.282113,-0.0616193
54,-0.39672357,-0.46573836,"('incapable', 'capable')",-0.3967236,-0.4657384,-0.0690148
55,-0.24296342,-0.19258621,"('incompetent', 'clever')",-0.2429634,-0.1925862,0.0503772
