,waist_male,waist_female,tuple,average_male,average_female,female-male
0,0.54024374,0.45308566,"('unsociable', 'sociable')",0.5402437,0.4530857,-0.087158
1,1.5766002,1.4608277,"('unfriendly', 'friendly')",1.5766002,1.4608277,-0.1157725
2,0.3570647,0.43004954,"('unlikable', 'likable')",0.3570647,0.4300495,0.0729848
3,1.3732036,1.383842,"('repellent', 'pleasant')",1.3732036,1.383842,0.0106384
4,-6.791257,-6.7782836,"('disliked', 'liked')",-6.7912569,-6.7782836,0.0129733
5,0.120156616,0.25096756,"('distant', 'outgoing')",0.1201566,0.2509676,0.130811
6,0.37200782,0.48284367,"('distant', 'open')",0.3720078,0.4828437,0.1108359
7,1.8067566,1.8293647,"('insensitive', 'sensitive')",1.8067566,1.8293647,0.0226081
8,0.8687757,0.8232705,"('unaffectionate', 'affectionate')",0.8687757,0.8232705,-0.0455052
9,1.4769143,1.4812999,"('unaffectionate', 'caring')",1.4769143,1.4812999,0.0043856
10,1.3973745,1.4384887,"('unsympathetic', 'sympathetic')",1.3973745,1.4384887,0.0411142
11,2.1414113,2.1772838,"('unhelpful', 'helpful')",2.1414113,2.1772838,0.0358725
12,-0.91931385,-0.7658919,"('unsupportive', 'supportive')",-0.9193138,-0.7658919,0.1534219
13,0.4175774,0.30633363,"('impolite', 'polite')",0.4175774,0.3063336,-0.1112438
14,0.17810674,0.085085705,"('antisocial', 'social')",0.1781067,0.0850857,-0.093021
15,0.47816032,0.42503533,"('boring', 'funny')",0.4781603,0.4250353,-0.053125
16,-0.36037436,-0.26946127,"('unpopular', 'popular')",-0.3603744,-0.2694613,0.0909131
17,-0.112549104,-0.017757151,"('nasty', 'nice')",-0.1125491,-0.0177572,0.0947919
18,-0.17205933,-0.16796361,"('disagreeable', 'welcoming')",-0.1720593,-0.1679636,0.0040957
19,-0.2050546,-0.065657526,"('inhospitable', 'hospitable')",-0.2050546,-0.0656575,0.1393971
20,0.6175549,0.53380233,"('rough', 'thoughtful')",0.6175549,0.5338023,-0.0837526
21,0.4126372,0.5555587,"('immoral', 'moral')",0.4126372,0.5555587,0.1429215
22,0.19524498,0.22738345,"('untrustworthy', 'trustworthy')",0.195245,0.2273834,0.0321384
23,6.8445983,6.848812,"('insincere', 'sincere')",6.8445983,6.8488121,0.0042138
24,2.2548683,2.3570871,"('dishonest', 'honest')",2.2548683,2.3570871,0.1022188
25,0.8121614,0.62000513,"('egoistic', 'altruistic')",0.8121614,0.6200051,-0.1921563
26,0.26649705,0.12730029,"('hardhearted', 'benevolent')",0.266497,0.1273003,-0.1391967
27,1.9313537,1.8128369,"('hardhearted', 'softhearted')",1.9313537,1.8128369,-0.1185168
28,1.2099886,1.1597221,"('disloyal', 'loyal')",1.2099886,1.1597221,-0.0502665
29,-0.6242458,-0.66894597,"('unfair', 'fair')",-0.6242458,-0.668946,-0.0447002
30,1.0006882,0.9823641,"('intolerant', 'tolerant')",1.0006882,0.9823641,-0.0183241
31,-1.4390461,-1.3787556,"('evil', 'good')",-1.4390461,-1.3787556,0.0602905
32,1.55127,1.5073313,"('unkind', 'kind')",1.55127,1.5073313,-0.0439387
33,0.0050429087,0.013891144,"('wrong', 'right')",0.0050429,0.0138911,0.0088482
34,4.808872,4.9784393,"('mean', 'honorable')",4.8088722,4.9784393,0.1695671
35,-1.1176474,-1.1339375,"('corrupt', 'incorrupt')",-1.1176474,-1.1339375,-0.0162901
36,-1.3752143,-1.4422145,"('hostile', 'amicable')",-1.3752143,-1.4422145,-0.0670002
37,1.2249128,1.107402,"('fake', 'genuine')",1.2249128,1.107402,-0.1175108
38,0.14142917,0.12513874,"('untruthful', 'truthful')",0.1414292,0.1251387,-0.0162905
39,0.30267996,0.34117192,"('exploitative', 'cooperative')",0.30268,0.3411719,0.0384919
40,-0.373175,-0.5029855,"('stingy', 'generous')",-0.373175,-0.5029855,-0.1298105
41,-0.11060129,-0.16621947,"('unforgiving', 'forgiving')",-0.1106013,-0.1662195,-0.0556182
42,-1.7288556,-1.7512262,"('unreliable', 'reliable')",-1.7288556,-1.7512262,-0.0223706
43,1.1646042,1.1793573,"('irresponsible', 'responsible')",1.1646042,1.1793573,0.0147531
44,-1.6093323,-1.783132,"('prejudiced', 'unprejudiced')",-1.6093323,-1.783132,-0.1737997
45,0.8364697,0.8286368,"('incompetent', 'competent')",0.8364697,0.8286368,-0.0078329
46,-0.2503698,-0.18989289,"('uncompetitive', 'competitive')",-0.2503698,-0.1898929,0.0604769
47,5.0455265,5.209194,"('stupid', 'smart')",5.0455265,5.2091942,0.1636677
48,0.7161302,0.7393473,"('unintelligent', 'intelligent')",0.7161302,0.7393473,0.0232171
49,0.27918416,0.38451144,"('unable', 'able')",0.2791842,0.3845114,0.1053272
50,-0.07501532,-0.005212523,"('clumsy', 'skillful')",-0.0750153,-0.0052125,0.0698028
51,1.4476776,1.462577,"('uneducated', 'educated')",1.4476776,1.462577,0.0148994
52,-0.36184177,-0.43134066,"('irrational', 'rational')",-0.3618418,-0.4313407,-0.0694989
53,-0.059160914,-0.09189844,"('uncreative', 'creative')",-0.0591609,-0.0918984,-0.0327375
