,device_male,device_female,tuple,average_male,average_female,female-male
0,0.24402046,0.05018968,"('unsociable', 'sociable')",0.2440205,0.0501897,-0.1938308
1,0.98756266,1.0090222,"('unfriendly', 'friendly')",0.9875627,1.0090222,0.0214595
2,-0.1010292,0.008267149,"('unlikable', 'likable')",-0.1010292,0.0082671,0.1092963
3,0.5892646,0.7889158,"('repellent', 'pleasant')",0.5892646,0.7889158,0.1996512
4,-7.2217803,-7.2521653,"('disliked', 'liked')",-7.2217803,-7.2521653,-0.030385
5,-1.2798369,-1.062335,"('distant', 'outgoing')",-1.2798369,-1.062335,0.2175019
6,-0.89114416,-0.65902126,"('distant', 'open')",-0.8911442,-0.6590213,0.2321229
7,1.3457545,1.5231202,"('insensitive', 'sensitive')",1.3457545,1.5231202,0.1773657
8,0.9519279,0.8865265,"('unaffectionate', 'affectionate')",0.9519279,0.8865265,-0.0654014
9,1.8664818,1.9760585,"('unaffectionate', 'caring')",1.8664818,1.9760585,0.1095767
10,1.4278841,1.3318906,"('unsympathetic', 'sympathetic')",1.4278841,1.3318906,-0.0959935
11,2.5714357,2.5654323,"('unhelpful', 'helpful')",2.5714357,2.5654323,-0.0060034
12,-1.0685892,-1.0878942,"('unsupportive', 'supportive')",-1.0685892,-1.0878942,-0.019305
13,0.31588927,0.119838424,"('impolite', 'polite')",0.3158893,0.1198384,-0.1960509
14,0.3143557,0.14116332,"('antisocial', 'social')",0.3143557,0.1411633,-0.1731924
15,0.31293982,0.26059142,"('boring', 'funny')",0.3129398,0.2605914,-0.0523484
16,-0.5405877,-0.41788062,"('unpopular', 'popular')",-0.5405877,-0.4178806,0.1227071
17,-0.61418116,-0.62021095,"('nasty', 'nice')",-0.6141812,-0.6202109,-0.0060297
18,-0.69110984,-0.75292563,"('disagreeable', 'welcoming')",-0.6911098,-0.7529256,-0.0618158
19,-1.0514565,-0.8899872,"('inhospitable', 'hospitable')",-1.0514565,-0.8899872,0.1614693
20,0.7923564,0.59347385,"('rough', 'thoughtful')",0.7923564,0.5934739,-0.1988825
21,0.2396946,0.30365127,"('immoral', 'moral')",0.2396946,0.3036513,0.0639567
22,-0.7165332,-0.55510277,"('untrustworthy', 'trustworthy')",-0.7165332,-0.5551028,0.1614304
23,6.6042156,6.7952595,"('insincere', 'sincere')",6.6042156,6.7952595,0.1910439
24,1.3121328,1.4430882,"('dishonest', 'honest')",1.3121328,1.4430882,0.1309554
25,0.62131387,0.6515803,"('egoistic', 'altruistic')",0.6213139,0.6515803,0.0302664
26,1.020052,0.54991025,"('hardhearted', 'benevolent')",1.020052,0.5499102,-0.4701418
27,1.8300276,1.709272,"('hardhearted', 'softhearted')",1.8300276,1.709272,-0.1207556
28,1.4925065,1.3460197,"('disloyal', 'loyal')",1.4925065,1.3460197,-0.1464868
29,-0.90757436,-1.0025707,"('unfair', 'fair')",-0.9075744,-1.0025707,-0.0949963
30,1.4288617,1.3572779,"('intolerant', 'tolerant')",1.4288617,1.3572779,-0.0715838
31,-2.186012,-2.2139285,"('evil', 'good')",-2.186012,-2.2139285,-0.0279165
32,1.2814378,1.0622834,"('unkind', 'kind')",1.2814378,1.0622834,-0.2191544
33,-0.17166522,-0.11767642,"('wrong', 'right')",-0.1716652,-0.1176764,0.0539888
34,4.7147264,5.0205307,"('mean', 'honorable')",4.7147264,5.0205307,0.3058043
35,-1.353331,-1.3092514,"('corrupt', 'incorrupt')",-1.353331,-1.3092514,0.0440796
36,-1.2074474,-1.2092398,"('hostile', 'amicable')",-1.2074474,-1.2092398,-0.0017924
37,0.71259594,0.686718,"('fake', 'genuine')",0.7125959,0.686718,-0.0258779
38,0.2774736,0.2241477,"('untruthful', 'truthful')",0.2774736,0.2241477,-0.0533259
39,0.2118611,0.1935148,"('exploitative', 'cooperative')",0.2118611,0.1935148,-0.0183463
40,-1.4115916,-1.4368287,"('stingy', 'generous')",-1.4115916,-1.4368287,-0.0252371
41,0.6474065,0.17875871,"('unforgiving', 'forgiving')",0.6474065,0.1787587,-0.4686478
42,-3.0971687,-2.9052625,"('unreliable', 'reliable')",-3.0971687,-2.9052625,0.1919062
43,1.1015341,0.9859492,"('irresponsible', 'responsible')",1.1015341,0.9859492,-0.1155849
44,-2.1849856,-2.231292,"('prejudiced', 'unprejudiced')",-2.1849856,-2.231292,-0.0463064
45,0.09930467,0.12876542,"('incompetent', 'competent')",0.0993047,0.1287654,0.0294607
46,-0.44988862,-0.3938234,"('uncompetitive', 'competitive')",-0.4498886,-0.3938234,0.0560652
47,4.6433144,4.846292,"('stupid', 'smart')",4.6433144,4.846292,0.2029776
48,1.3312203,1.2059857,"('unintelligent', 'intelligent')",1.3312203,1.2059857,-0.1252346
49,0.17461395,0.4457302,"('unable', 'able')",0.174614,0.4457302,0.2711162
50,-0.41524917,-0.33642218,"('clumsy', 'skillful')",-0.4152492,-0.3364222,0.078827
51,1.0785395,1.0860993,"('uneducated', 'educated')",1.0785395,1.0860993,0.0075598
52,-0.9120919,-0.80119765,"('irrational', 'rational')",-0.9120919,-0.8011976,0.1108943
53,0.007520223,0.0073091853,"('uncreative', 'creative')",0.0075202,0.0073092,-0.000211
54,0.38729,0.79623735,"('incapable', 'capable')",0.38729,0.7962373,0.4089473
55,1.3583623,1.3604815,"('incompetent', 'clever')",1.3583623,1.3604815,0.0021192
56,0.72830963,0.83837,"('impractical', 'practical')",0.7283096,0.83837,0.1100604
57,-2.4876275,-2.5058596,"('unimaginative', 'imaginative')",-2.4876275,-2.5058596,-0.0182321
58,0.3519921,0.308289,"('undiscriminating', 'discriminating')",0.3519921,0.308289,-0.0437031
59,-0.73632383,-0.604645,"('foolish', 'wise')",-0.7363238,-0.604645,0.1316788
60,1.3871655,1.3358365,"('inefficient', 'efficient')",1.3871655,1.3358365,-0.051329
61,0.42854437,0.15129796,"('illogical', 'logical')",0.4285444,0.151298,-0.2772464
62,1.1475782,1.4927443,"('incompetent', 'brilliant')",1.1475782,1.4927443,0.3451661
63,0.47826126,0.41615874,"('unperceptive', 'insightful')",0.4782613,0.4161587,-0.0621026
64,-6.5358644,-6.4913793,"('shy', 'confident')",-6.5358644,-6.4913793,0.0444851
65,0.48956558,0.50649625,"('insecure', 'secure')",0.4895656,0.5064963,0.0169307
66,-1.1322745,-1.0485806,"('inactive', 'active')",-1.1322745,-1.0485806,0.0836939
67,-0.36187857,-0.64554197,"('doubtful', 'determined')",-0.3618786,-0.645542,-0.2836634
68,-0.80573535,-0.673646,"('dependent', 'independent')",-0.8057353,-0.673646,0.1320893
69,-2.3329303,-2.1975722,"('lazy', 'industrious')",-2.3329303,-2.1975722,0.1353581
70,0.83522844,1.0641959,"('lethargic', 'energetic')",0.8352284,1.0641959,0.2289675
71,-0.13429332,-0.018179946,"('diffident', 'self-confident')",-0.1342933,-0.0181799,0.1161134
72,0.8761997,1.009157,"('unambitious', 'ambitious')",0.8761997,1.0091569,0.1329572
73,-2.9606395,-2.6774755,"('helpless', 'self-reliant')",-2.9606395,-2.6774755,0.283164
74,0.4178233,0.1862105,"('undedicated', 'dedicated')",0.4178233,0.1862105,-0.2316128
75,-1.6164846,-1.3733335,"('meek', 'impulsive')",-1.6164846,-1.3733335,0.2431511
