,art_male,art_female,tuple,average_male,average_female,female-male
0,-0.59047306,-0.5372039,"('unsociable', 'sociable')",-0.5904731,-0.5372039,0.0532692
1,1.225752,1.2385783,"('unfriendly', 'friendly')",1.225752,1.2385783,0.0128263
2,0.10764939,0.2730279,"('unlikable', 'likable')",0.1076494,0.2730279,0.1653785
3,0.27888137,0.45818365,"('repellent', 'pleasant')",0.2788814,0.4581836,0.1793022
4,-6.6234164,-6.7679467,"('disliked', 'liked')",-6.6234164,-6.7679467,-0.1445303
5,-0.20017329,-0.22831255,"('distant', 'outgoing')",-0.2001733,-0.2283126,-0.0281393
6,0.42836165,0.33412576,"('distant', 'open')",0.4283617,0.3341258,-0.0942359
7,0.75178814,0.84903157,"('insensitive', 'sensitive')",0.7517881,0.8490316,0.0972435
8,1.3645906,1.3048023,"('unaffectionate', 'affectionate')",1.3645906,1.3048023,-0.0597883
9,1.5110652,1.5598048,"('unaffectionate', 'caring')",1.5110652,1.5598048,0.0487396
10,0.22238442,0.34609497,"('unsympathetic', 'sympathetic')",0.2223844,0.346095,0.1237106
11,1.2770969,1.3977451,"('unhelpful', 'helpful')",1.2770969,1.3977451,0.1206482
12,-1.6821787,-1.564361,"('unsupportive', 'supportive')",-1.6821787,-1.564361,0.1178177
13,-0.7087094,-0.50790566,"('impolite', 'polite')",-0.7087094,-0.5079057,0.2008037
14,-0.032079235,-0.010945136,"('antisocial', 'social')",-0.0320792,-0.0109451,0.0211341
15,0.70586944,0.6307634,"('boring', 'funny')",0.7058694,0.6307634,-0.075106
16,-0.65080655,-0.58386874,"('unpopular', 'popular')",-0.6508065,-0.5838687,0.0669378
17,0.21640898,0.23772705,"('nasty', 'nice')",0.216409,0.237727,0.021318
18,-0.5433626,-0.43636712,"('disagreeable', 'welcoming')",-0.5433626,-0.4363671,0.1069955
19,-0.16424732,-0.11764473,"('inhospitable', 'hospitable')",-0.1642473,-0.1176447,0.0466026
20,0.4380883,0.35406357,"('rough', 'thoughtful')",0.4380883,0.3540636,-0.0840247
21,-0.72094184,-0.39890304,"('immoral', 'moral')",-0.7209418,-0.398903,0.3220388
22,-0.66803783,-0.62545365,"('untrustworthy', 'trustworthy')",-0.6680378,-0.6254537,0.0425841
23,5.648405,5.866076,"('insincere', 'sincere')",5.6484051,5.866076,0.2176709
24,1.3496171,1.3113356,"('dishonest', 'honest')",1.3496171,1.3113356,-0.0382815
25,0.88287985,0.8786446,"('egoistic', 'altruistic')",0.8828799,0.8786446,-0.0042353
26,1.2097342,0.9984118,"('hardhearted', 'benevolent')",1.2097342,0.9984118,-0.2113224
27,1.479412,1.2855288,"('hardhearted', 'softhearted')",1.479412,1.2855288,-0.1938832
28,1.3611,1.2187811,"('disloyal', 'loyal')",1.3611,1.2187811,-0.1423189
29,-0.41300613,-0.5705497,"('unfair', 'fair')",-0.4130061,-0.5705497,-0.1575436
