,leash_male,leash_female,tuple,average_male,average_female,female-male
0,0.5113586,0.49135298,"('unsociable', 'sociable')",0.5113586,0.491353,-0.0200056
1,0.8920765,1.0413903,"('unfriendly', 'friendly')",0.8920765,1.0413903,0.1493138
2,-0.09976274,0.13616678,"('unlikable', 'likable')",-0.0997627,0.1361668,0.2359295
3,0.90875924,1.1341139,"('repellent', 'pleasant')",0.9087592,1.1341139,0.2253547
4,-7.299148,-7.534021,"('disliked', 'liked')",-7.2991481,-7.5340209,-0.2348728
5,-0.6412853,-0.4904003,"('distant', 'outgoing')",-0.6412853,-0.4904003,0.150885
6,-0.13167536,-0.11174283,"('distant', 'open')",-0.1316754,-0.1117428,0.0199326
7,1.4762208,1.6548159,"('insensitive', 'sensitive')",1.4762208,1.6548159,0.1785951
8,0.86333495,0.8493754,"('unaffectionate', 'affectionate')",0.863335,0.8493754,-0.0139596
9,1.1972961,1.3568405,"('unaffectionate', 'caring')",1.1972961,1.3568405,0.1595444
10,1.438566,1.5124253,"('unsympathetic', 'sympathetic')",1.438566,1.5124253,0.0738593
11,1.6989826,1.9598272,"('unhelpful', 'helpful')",1.6989826,1.9598272,0.2608446
12,-1.4475473,-1.258086,"('unsupportive', 'supportive')",-1.4475473,-1.258086,0.1894613
13,0.3574934,0.6182619,"('impolite', 'polite')",0.3574934,0.6182619,0.2607685
14,0.61947155,0.6273179,"('antisocial', 'social')",0.6194715,0.6273179,0.0078464
15,0.55545986,0.56855327,"('boring', 'funny')",0.5554599,0.5685533,0.0130934
16,-0.81896895,-0.7023241,"('unpopular', 'popular')",-0.818969,-0.7023241,0.1166449
17,-0.078743905,-0.22336324,"('nasty', 'nice')",-0.0787439,-0.2233632,-0.1446193
18,-0.5276172,-0.32730567,"('disagreeable', 'welcoming')",-0.5276172,-0.3273057,0.2003115
19,-0.8048056,-0.6583699,"('inhospitable', 'hospitable')",-0.8048056,-0.6583699,0.1464357
20,0.50315946,0.3780086,"('rough', 'thoughtful')",0.5031595,0.3780086,-0.1251509
21,0.18858355,0.56203896,"('immoral', 'moral')",0.1885836,0.562039,0.3734554
22,0.1305696,0.24441516,"('untrustworthy', 'trustworthy')",0.1305696,0.2444152,0.1138456
23,6.0847344,6.6411233,"('insincere', 'sincere')",6.0847344,6.6411233,0.5563889
24,1.482808,1.7169251,"('dishonest', 'honest')",1.482808,1.7169251,0.2341171
25,0.57592124,0.539188,"('egoistic', 'altruistic')",0.5759212,0.539188,-0.0367332
26,1.1337715,0.7639545,"('hardhearted', 'benevolent')",1.1337715,0.7639545,-0.369817
27,1.7303326,1.5831584,"('hardhearted', 'softhearted')",1.7303326,1.5831584,-0.1471742
28,1.3444399,1.2519971,"('disloyal', 'loyal')",1.3444399,1.2519971,-0.0924428
29,-0.2893551,-0.4232156,"('unfair', 'fair')",-0.2893551,-0.4232156,-0.1338605
30,0.9488424,1.1090534,"('intolerant', 'tolerant')",0.9488424,1.1090534,0.160211
31,-1.6187685,-1.7243203,"('evil', 'good')",-1.6187685,-1.7243203,-0.1055518
32,1.2126336,1.2300352,"('unkind', 'kind')",1.2126336,1.2300352,0.0174016
33,-0.48721483,-0.48863173,"('wrong', 'right')",-0.4872148,-0.4886317,-0.0014169
34,4.2548947,4.8487744,"('mean', 'honorable')",4.2548947,4.8487744,0.5938797
35,-1.1433022,-1.573644,"('corrupt', 'incorrupt')",-1.1433022,-1.573644,-0.4303418
36,-0.91531116,-1.1933335,"('hostile', 'amicable')",-0.9153112,-1.1933335,-0.2780223
37,1.1377182,1.0726484,"('fake', 'genuine')",1.1377182,1.0726484,-0.0650698
38,-0.4949681,-0.22907317,"('untruthful', 'truthful')",-0.4949681,-0.2290732,0.2658949
39,0.47385675,0.4776929,"('exploitative', 'cooperative')",0.4738567,0.4776929,0.0038362
40,-1.123339,-1.1211662,"('stingy', 'generous')",-1.1233391,-1.1211662,0.0021729
41,0.684315,0.4746287,"('unforgiving', 'forgiving')",0.684315,0.4746287,-0.2096863
42,-1.945918,-1.9246329,"('unreliable', 'reliable')",-1.945918,-1.9246329,0.0212851
43,1.2586385,1.5272946,"('irresponsible', 'responsible')",1.2586385,1.5272946,0.2686561
44,-0.9795014,-1.2146778,"('prejudiced', 'unprejudiced')",-0.9795014,-1.2146778,-0.2351764
45,0.7121514,0.6441583,"('incompetent', 'competent')",0.7121514,0.6441583,-0.0679931
46,-0.1680827,-0.124059364,"('uncompetitive', 'competitive')",-0.1680827,-0.1240594,0.0440233
47,4.9134464,5.314124,"('stupid', 'smart')",4.9134464,5.3141241,0.4006777
