,evil_male,evil_female,tuple,average_male,average_female,female-male
0,-0.18998517,-0.266528,"('unsociable', 'sociable')",-0.1899852,-0.266528,-0.0765428
1,1.5488544,1.561844,"('unfriendly', 'friendly')",1.5488544,1.561844,0.0129896
2,0.18767488,0.28852317,"('unlikable', 'likable')",0.1876749,0.2885232,0.1008483
3,0.3716105,0.560072,"('repellent', 'pleasant')",0.3716105,0.560072,0.1884615
4,-7.3853474,-7.2853503,"('disliked', 'liked')",-7.3853474,-7.2853503,0.0999971
5,0.013418954,0.066013694,"('distant', 'outgoing')",0.013419,0.0660137,0.0525947
6,0.0794687,0.15342106,"('distant', 'open')",0.0794687,0.1534211,0.0739524
7,0.7426082,0.8605957,"('insensitive', 'sensitive')",0.7426082,0.8605957,0.1179875
8,1.1702616,1.1367474,"('unaffectionate', 'affectionate')",1.1702616,1.1367474,-0.0335142
9,1.8817115,1.9417593,"('unaffectionate', 'caring')",1.8817115,1.9417593,0.0600478
10,1.0742749,1.1745969,"('unsympathetic', 'sympathetic')",1.0742749,1.1745969,0.100322
11,2.5245724,2.532832,"('unhelpful', 'helpful')",2.5245724,2.5328319,0.0082595
12,-1.3129048,-1.2550269,"('unsupportive', 'supportive')",-1.3129048,-1.2550269,0.0578779
13,-0.0012076125,-0.07312662,"('impolite', 'polite')",-0.0012076,-0.0731266,-0.071919
14,-0.4710769,-0.6125119,"('antisocial', 'social')",-0.4710769,-0.6125119,-0.141435
15,0.497805,0.4769215,"('boring', 'funny')",0.497805,0.4769215,-0.0208835
16,-0.45905998,-0.4542943,"('unpopular', 'popular')",-0.45906,-0.4542943,0.0047657
17,-1.0047096,-1.0172617,"('nasty', 'nice')",-1.0047096,-1.0172617,-0.0125521
18,-0.72195643,-0.8052988,"('disagreeable', 'welcoming')",-0.7219564,-0.8052988,-0.0833424
19,-0.056305185,0.054862905,"('inhospitable', 'hospitable')",-0.0563052,0.0548629,0.1111681
20,0.60260254,0.4490155,"('rough', 'thoughtful')",0.6026025,0.4490155,-0.153587
21,0.022005826,0.10420891,"('immoral', 'moral')",0.0220058,0.1042089,0.0822031
22,-0.9633644,-1.0229315,"('untrustworthy', 'trustworthy')",-0.9633644,-1.0229315,-0.0595671
23,6.905092,6.925479,"('insincere', 'sincere')",6.9050918,6.9254789,0.0203871
24,1.9779925,1.9546677,"('dishonest', 'honest')",1.9779925,1.9546677,-0.0233248
25,0.43134972,0.3374547,"('egoistic', 'altruistic')",0.4313497,0.3374547,-0.093895
26,0.32723668,0.29879817,"('hardhearted', 'benevolent')",0.3272367,0.2987982,-0.0284385
27,1.1000788,1.094069,"('hardhearted', 'softhearted')",1.1000788,1.094069,-0.0060098
28,1.3376949,1.3538952,"('disloyal', 'loyal')",1.3376949,1.3538952,0.0162003
29,-0.8314173,-0.8890659,"('unfair', 'fair')",-0.8314173,-0.8890659,-0.0576486
30,1.4955419,1.453717,"('intolerant', 'tolerant')",1.4955419,1.453717,-0.0418249
31,-2.636064,-2.6403255,"('evil', 'good')",-2.6360641,-2.6403255,-0.0042614
32,1.2532729,1.1789607,"('unkind', 'kind')",1.2532729,1.1789607,-0.0743122
33,-0.33605683,-0.38253862,"('wrong', 'right')",-0.3360568,-0.3825386,-0.0464818
34,4.8401203,4.962053,"('mean', 'honorable')",4.8401203,4.9620528,0.1219325
35,-1.1638608,-1.2272027,"('corrupt', 'incorrupt')",-1.1638608,-1.2272027,-0.0633419
36,-1.0948104,-1.14758,"('hostile', 'amicable')",-1.0948104,-1.14758,-0.0527696
37,0.47668076,0.46898302,"('fake', 'genuine')",0.4766808,0.468983,-0.0076978
38,0.3611991,0.3597806,"('untruthful', 'truthful')",0.3611991,0.3597806,-0.0014185
39,-0.8242977,-0.86426824,"('exploitative', 'cooperative')",-0.8242977,-0.8642682,-0.0399705
40,-1.876038,-1.8686812,"('stingy', 'generous')",-1.876038,-1.8686812,0.0073568
41,-0.5482161,-0.6018409,"('unforgiving', 'forgiving')",-0.5482161,-0.6018409,-0.0536248
42,-2.1105616,-2.0763338,"('unreliable', 'reliable')",-2.1105616,-2.0763338,0.0342278
43,1.4827658,1.4838659,"('irresponsible', 'responsible')",1.4827658,1.4838659,0.0011001
44,-1.5317111,-1.7089103,"('prejudiced', 'unprejudiced')",-1.5317111,-1.7089103,-0.1771992
