,soulmate_male,soulmate_female,tuple,average_male,average_female,female-male
0,-0.49282265,-0.66795117,"('unsociable', 'sociable')",-0.4928226,-0.6679512,-0.1751286
1,0.92721206,0.8439156,"('unfriendly', 'friendly')",0.9272121,0.8439156,-0.0832965
2,0.14111438,0.20958702,"('unlikable', 'likable')",0.1411144,0.209587,0.0684726
3,-0.22759184,-0.121577725,"('repellent', 'pleasant')",-0.2275918,-0.1215777,0.1060141
4,-3.0553484,-3.1339386,"('disliked', 'liked')",-3.0553484,-3.1339386,-0.0785902
5,-0.33519918,-0.2719011,"('distant', 'outgoing')",-0.3351992,-0.2719011,0.0632981
6,-0.33611023,-0.27646682,"('distant', 'open')",-0.3361102,-0.2764668,0.0596434
7,0.018360667,0.09738389,"('insensitive', 'sensitive')",0.0183607,0.0973839,0.0790232
8,0.6691031,0.6923443,"('unaffectionate', 'affectionate')",0.6691031,0.6923443,0.0232412
9,0.7900765,0.9114045,"('unaffectionate', 'caring')",0.7900765,0.9114045,0.121328
10,-0.58824885,-0.45091212,"('unsympathetic', 'sympathetic')",-0.5882488,-0.4509121,0.1373367
11,0.9812309,1.0867082,"('unhelpful', 'helpful')",0.9812309,1.0867082,0.1054773
12,-1.0646311,-1.0170175,"('unsupportive', 'supportive')",-1.0646311,-1.0170175,0.0476136
13,-0.16901636,-0.28440416,"('impolite', 'polite')",-0.1690164,-0.2844042,-0.1153878
14,-0.76964,-0.94925785,"('antisocial', 'social')",-0.76964,-0.9492579,-0.1796179
15,-0.033122644,-0.1531497,"('boring', 'funny')",-0.0331226,-0.1531497,-0.1200271
16,0.116627485,0.1052932,"('unpopular', 'popular')",0.1166275,0.1052932,-0.0113343
17,0.28599027,0.3254574,"('nasty', 'nice')",0.2859903,0.3254574,0.0394671
18,-0.11274798,-0.2431682,"('disagreeable', 'welcoming')",-0.112748,-0.2431682,-0.1304202
19,-0.41475242,-0.1829835,"('inhospitable', 'hospitable')",-0.4147524,-0.1829835,0.2317689
