,xl_male,xl_female,tuple,group_male,group_female,ltd_male,ltd_female,average_male,average_female,female-male
0,1.1526934,1.4772824,"('unsociable', 'sociable')",0.47266236,0.285651,-0.40936247,-0.42224565,0.4053311,0.4468959,0.0415648
1,-1.0035334,-1.1205169,"('unfriendly', 'friendly')",-0.11919518,-0.2747373,1.675876,1.6027789,0.1843825,0.0691749,-0.1152076
2,0.6136352,0.63050693,"('unlikable', 'likable')",1.2687812,1.3720548,0.44682524,0.5448613,0.7764138,0.849141,0.0727272
3,0.4358026,0.79269665,"('repellent', 'pleasant')",0.2636408,0.36564156,0.2967201,0.3760348,0.3320545,0.5114577,0.1794032
4,-2.1277108,-2.537511,"('disliked', 'liked')",0.29691556,0.19066277,-6.060129,-6.0784626,-2.6303082,-2.808437,-0.1781288
5,-1.6106981,-1.940286,"('distant', 'outgoing')",-1.1453638,-1.1422602,-0.087132014,-0.105769634,-0.9477313,-1.062772,-0.1150407
6,-2.2760186,-2.6397364,"('distant', 'open')",-1.4129393,-1.4163734,0.43677104,0.38306004,-1.0840623,-1.22435,-0.1402877
7,1.9663727,2.2320042,"('insensitive', 'sensitive')",-0.25890547,-0.314779,0.25176045,0.3898331,0.6530759,0.7690194,0.1159435
8,-0.9247415,-1.1680949,"('unaffectionate', 'affectionate')",-0.24025743,-0.320552,0.6975169,0.6292496,-0.1558273,-0.2864658,-0.1306385
9,-0.05991631,-0.21109286,"('unaffectionate', 'caring')",-0.33790094,-0.5113077,1.1449523,1.1174023,0.249045,0.1316673,-0.1173777
10,2.2977958,2.8635912,"('unsympathetic', 'sympathetic')",-0.61314034,-0.69741404,0.07547012,0.19214506,0.5867085,0.7861075,0.199399
11,1.7010055,2.0258095,"('unhelpful', 'helpful')",-0.4827415,-0.5385278,1.8998307,2.0061343,1.0393649,1.164472,0.1251071
12,1.7461876,1.9447265,"('unsupportive', 'supportive')",0.13389276,0.2246733,-1.8985736,-1.8218397,-0.0061644,0.1158533,0.1220177
13,1.2611887,1.5246212,"('impolite', 'polite')",-0.52743363,-0.56117016,-0.5803562,-0.55770886,0.051133,0.1352474,0.0841144
14,2.7005126,3.0361834,"('antisocial', 'social')",1.7805465,1.7295254,0.00030502677,0.12988229,1.4937881,1.6318638,0.1380757
15,0.6360177,0.41042888,"('boring', 'funny')",-0.59791625,-0.6717771,0.3857515,0.37992024,0.1412843,0.039524,-0.1017603
16,-1.9177324,-2.0466347,"('unpopular', 'popular')",-0.31247258,-0.16696551,0.3949861,0.39076543,-0.6117396,-0.6076116,0.004128
17,-0.8865821,-0.90184516,"('nasty', 'nice')",-0.53307533,-0.48445198,-0.41021368,-0.43416366,-0.6099571,-0.6068203,0.0031368
18,-0.48207676,-0.40199265,"('disagreeable', 'welcoming')",-0.6919534,-0.466379,-0.96721655,-0.89837974,-0.7137489,-0.5889171,0.1248318
19,-1.3062793,-1.5229342,"('inhospitable', 'hospitable')",-1.7908134,-1.7340988,-0.6744178,-0.67979497,-1.2571701,-1.312276,-0.0551059
20,1.0451643,1.1209301,"('rough', 'thoughtful')",1.1876038,1.2937685,0.9582996,0.9981612,1.0636892,1.13762,0.0739308
21,1.7796571,2.2991016,"('immoral', 'moral')",-0.3635202,-0.3506866,-1.1533219,-0.9854641,0.087605,0.3209836,0.2333786
22,0.8935871,1.0219971,"('untrustworthy', 'trustworthy')",0.44338346,0.3964426,-0.7902786,-0.731962,0.1822307,0.2288259,0.0465952
23,1.5727254,2.0155962,"('insincere', 'sincere')",-0.1252537,-0.10789932,5.951255,5.9062514,2.4662422,2.6046494,0.1384072
24,1.1726793,1.2947571,"('dishonest', 'honest')",-0.62721705,-0.67588043,0.5347883,0.50170475,0.3600835,0.3735271,0.0134436
25,-1.9868561,-2.206765,"('egoistic', 'altruistic')",-0.072220676,-0.098792456,0.98104745,0.84688705,-0.3593431,-0.4862235,-0.1268804
26,0.51739097,0.24647507,"('hardhearted', 'benevolent')",1.6816657,1.5887839,1.955256,1.9378959,1.3847709,1.2577182,-0.1270527
27,0.13347106,0.092902,"('hardhearted', 'softhearted')",-0.45276803,-0.419738,0.7861202,0.6709008,0.1556077,0.1146883,-0.0409194
28,1.0406046,1.1459825,"('disloyal', 'loyal')",0.12268271,0.013127409,1.4070375,1.2962455,0.856775,0.8184518,-0.0383232
29,-0.69993657,-0.96153903,"('unfair', 'fair')",-0.63681245,-0.7833062,-0.7036862,-0.9042201,-0.6801451,-0.8830218,-0.2028767
30,2.1268709,2.31184,"('intolerant', 'tolerant')",0.74079907,0.67259973,0.910262,1.1231381,1.2593107,1.3691926,0.1098819
31,-3.1098506,-3.5895927,"('evil', 'good')",-0.7298224,-0.743023,-0.7048862,-0.8395018,-1.5148532,-1.7240392,-0.209186
32,1.0233241,1.0467697,"('unkind', 'kind')",0.27024633,0.17622402,0.9906898,0.8678725,0.7614201,0.6969554,-0.0644647
33,-0.45470044,-0.7956527,"('wrong', 'right')",-0.22839566,-0.1990583,-0.18458298,-0.38510567,-0.2892264,-0.4599389,-0.1707125
34,-0.08366622,0.22854275,"('mean', 'honorable')",-0.7323659,-0.5329922,5.5623693,5.7798505,1.5821125,1.8251336,0.2430211
35,-3.084662,-3.7012987,"('corrupt', 'incorrupt')",-1.261215,-1.354189,-0.06072031,-0.3722701,-1.4688657,-1.8092526,-0.3403869
36,-2.4952748,-3.0710888,"('hostile', 'amicable')",-1.1593213,-1.255756,0.43833643,0.2703733,-1.0720866,-1.3521571,-0.2800705
37,0.5529231,0.6687228,"('fake', 'genuine')",-0.1388143,-0.14700562,0.19617216,0.20022981,0.203427,0.240649,0.037222
38,-0.10501866,-0.10880116,"('untruthful', 'truthful')",-1.1730732,-1.1754597,0.7231269,0.7633176,-0.1849883,-0.1736478,0.0113405
39,1.707201,1.7570968,"('exploitative', 'cooperative')",1.3817532,1.4127418,-0.12731606,-0.07144584,0.9872127,1.0327975,0.0455848
40,-0.95870835,-0.95108837,"('stingy', 'generous')",0.35304585,0.29716176,-2.0888262,-2.1013632,-0.8981628,-0.9184299,-0.0202671
41,0.055452257,0.13421473,"('unforgiving', 'forgiving')",0.26467204,0.24049579,0.47180563,0.4758479,0.2639767,0.2835195,0.0195428
42,1.1003346,1.3202786,"('unreliable', 'reliable')",0.70678383,0.9315736,-2.8131392,-2.6249268,-0.3353403,-0.1243582,0.2109821
43,2.359964,2.7847438,"('irresponsible', 'responsible')",0.5815775,0.7341038,0.9481249,1.0647581,1.2965554,1.5278686,0.2313132
