,teledyne_male,teledyne_female,tuple,technologies_male,technologies_female,average_male,average_female,female-male
0,-1.610063,-1.7575231,"('unsociable', 'sociable')",-0.70339906,-0.8959355,-1.156731,-1.3267293,-0.1699983
1,-1.3571689,-1.5085775,"('unfriendly', 'friendly')",0.5510248,0.36644045,-0.4030721,-0.5710685,-0.1679964
2,0.54556215,0.5303125,"('unlikable', 'likable')",0.4967923,0.42727438,0.5211772,0.4787934,-0.0423838
3,-0.7690004,-0.77531075,"('repellent', 'pleasant')",0.73789656,0.803663,-0.0155519,0.0141761,0.029728
4,0.46401083,0.39018548,"('disliked', 'liked')",-5.146142,-5.07424,-2.3410656,-2.3420274,-0.0009618
5,-0.39449453,-0.32394195,"('distant', 'outgoing')",-0.98807514,-0.8480235,-0.6912848,-0.5859827,0.1053021
6,-0.62036455,-0.5269346,"('distant', 'open')",-1.0906276,-1.0239059,-0.855496,-0.7754202,0.0800758
7,-1.5186907,-1.4955751,"('insensitive', 'sensitive')",0.058186874,0.21313053,-0.7302519,-0.6412222,0.0890297
8,-0.118094616,-0.14123788,"('unaffectionate', 'affectionate')",0.5086772,0.39335003,0.1952913,0.1260561,-0.0692352
9,-1.0944463,-1.0912809,"('unaffectionate', 'caring')",1.019828,0.94764113,-0.0373092,-0.0718199,-0.0345107
10,-3.0446248,-3.0616653,"('unsympathetic', 'sympathetic')",-0.50524807,-0.5094832,-1.7749364,-1.7855742,-0.0106378
11,-0.93200904,-0.9252995,"('unhelpful', 'helpful')",1.8943436,1.9551353,0.4811673,0.5149179,0.0337506
12,-0.71345484,-0.5391739,"('unsupportive', 'supportive')",-1.1983432,-1.0323308,-0.955899,-0.7857523,0.1701467
13,-1.8337094,-1.8849643,"('impolite', 'polite')",-0.8666132,-0.94803125,-1.3501613,-1.4164978,-0.0663365
14,-0.19651064,-0.20116392,"('antisocial', 'social')",0.21379218,0.20214069,0.0086408,0.0004884,-0.0081524
15,0.800056,0.68180704,"('boring', 'funny')",-0.024386143,-0.15589207,0.3878349,0.2629575,-0.1248774
16,0.41238058,0.38760045,"('unpopular', 'popular')",0.3523686,0.3471952,0.3823746,0.3673978,-0.0149768
17,0.29977977,0.30179822,"('nasty', 'nice')",-0.05709663,-0.031784035,0.1213416,0.1350071,0.0136655
18,0.25696337,0.29274595,"('disagreeable', 'welcoming')",-0.35767442,-0.31613666,-0.0503555,-0.0116954,0.0386601
