,celebrity_male,celebrity_female,tuple,average_male,average_female,female-male
0,0.27667597,0.2843619,"('unsociable', 'sociable')",0.276676,0.2843619,0.0076859
1,1.2237884,1.1872683,"('unfriendly', 'friendly')",1.2237884,1.1872683,-0.0365201
2,0.4405175,0.5502363,"('unlikable', 'likable')",0.4405175,0.5502363,0.1097188
3,0.7592181,0.80389625,"('repellent', 'pleasant')",0.7592181,0.8038962,0.0446781
4,-7.6774426,-7.740591,"('disliked', 'liked')",-7.6774426,-7.740591,-0.0631484
5,-0.7676273,-0.85043764,"('distant', 'outgoing')",-0.7676273,-0.8504376,-0.0828103
6,-0.49282694,-0.58725494,"('distant', 'open')",-0.4928269,-0.5872549,-0.094428
7,0.91332114,1.0682015,"('insensitive', 'sensitive')",0.9133211,1.0682015,0.1548804
8,0.9365927,0.93736726,"('unaffectionate', 'affectionate')",0.9365927,0.9373673,0.0007746
9,1.8515548,2.0703151,"('unaffectionate', 'caring')",1.8515548,2.0703151,0.2187603
10,1.541128,1.7066301,"('unsympathetic', 'sympathetic')",1.541128,1.7066301,0.1655021
11,2.2037778,2.5495467,"('unhelpful', 'helpful')",2.2037778,2.5495467,0.3457689
12,-1.5647726,-1.4770341,"('unsupportive', 'supportive')",-1.5647726,-1.4770341,0.0877385
13,0.6907422,0.7183301,"('impolite', 'polite')",0.6907422,0.7183301,0.0275879
14,0.003949603,0.038076565,"('antisocial', 'social')",0.0039496,0.0380766,0.034127
15,0.3043638,0.24617948,"('boring', 'funny')",0.3043638,0.2461795,-0.0581843
16,-0.5043192,-0.49696916,"('unpopular', 'popular')",-0.5043192,-0.4969692,0.00735
17,-0.5123557,-0.55280024,"('nasty', 'nice')",-0.5123557,-0.5528002,-0.0404445
18,-0.78025913,-0.8711459,"('disagreeable', 'welcoming')",-0.7802591,-0.8711459,-0.0908868
19,-0.68646663,-0.6148318,"('inhospitable', 'hospitable')",-0.6864666,-0.6148318,0.0716348
20,0.93592507,0.823277,"('rough', 'thoughtful')",0.9359251,0.823277,-0.1126481
21,0.3966811,0.62192893,"('immoral', 'moral')",0.3966811,0.6219289,0.2252478
22,-0.16844757,-0.07607843,"('untrustworthy', 'trustworthy')",-0.1684476,-0.0760784,0.0923692
23,6.916909,7.125842,"('insincere', 'sincere')",6.9169092,7.1258421,0.2089329
24,1.9620736,2.0532079,"('dishonest', 'honest')",1.9620736,2.0532079,0.0911343
25,-0.20003809,-0.33644325,"('egoistic', 'altruistic')",-0.2000381,-0.3364432,-0.1364051
26,0.29502493,0.3008235,"('hardhearted', 'benevolent')",0.2950249,0.3008235,0.0057986
27,1.7811482,1.5792406,"('hardhearted', 'softhearted')",1.7811482,1.5792406,-0.2019076
