,aon_male,aon_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-0.5936722,-0.7105834,"('unsociable', 'sociable')",-0.21915686,-0.33565924,-0.4064145,-0.5231213,-0.1167068
1,-1.1105462,-1.3334082,"('unfriendly', 'friendly')",1.9554521,1.6555307,0.4224529,0.1610612,-0.2613917
2,0.8640651,0.86168265,"('unlikable', 'likable')",0.535704,0.6118307,0.6998845,0.7367567,0.0368722
3,-0.37125373,-0.2385276,"('repellent', 'pleasant')",-0.24938476,-0.15468435,-0.3103192,-0.196606,0.1137132
4,-0.36729294,-0.37649092,"('disliked', 'liked')",-5.072963,-5.004136,-2.7201281,-2.6903136,0.0298145
5,-0.8424119,-0.9211055,"('distant', 'outgoing')",0.103888445,0.017456979,-0.3692617,-0.4518242,-0.0825625
6,-0.6779644,-0.75016934,"('distant', 'open')",0.09346308,-0.05203404,-0.2922507,-0.4011017,-0.108851
7,0.1327864,0.17631993,"('insensitive', 'sensitive')",0.8372853,0.85880023,0.4850358,0.5175601,0.0325243
8,-1.1188344,-1.2236781,"('unaffectionate', 'affectionate')",0.61828077,0.3542899,-0.2502768,-0.4346941,-0.1844173
9,-0.94628143,-1.0385611,"('unaffectionate', 'caring')",1.2963228,1.0940932,0.1750207,0.027766,-0.1472547
10,-0.7754623,-0.73286784,"('unsympathetic', 'sympathetic')",-0.12364827,-0.12365397,-0.4495553,-0.4282609,0.0212944
11,0.0338647,0.050553016,"('unhelpful', 'helpful')",1.4821883,1.4251333,0.7580265,0.7378432,-0.0201833
12,0.09232913,0.06418432,"('unsupportive', 'supportive')",-1.0428922,-0.98067415,-0.4752815,-0.4582449,0.0170366
13,0.22898093,0.14145622,"('impolite', 'polite')",-0.09051129,-0.058668133,0.0692348,0.041394,-0.0278408
14,0.44949958,0.46258876,"('antisocial', 'social')",0.7083986,0.8326811,0.5789491,0.6476349,0.0686858
15,0.23086588,0.080634266,"('boring', 'funny')",0.021180455,0.04164338,0.1260232,0.0611388,-0.0648844
16,-0.47572297,-0.40639654,"('unpopular', 'popular')",-0.21829137,-0.27777007,-0.3470072,-0.3420833,0.0049239
17,-0.10854529,-0.042237144,"('nasty', 'nice')",-0.90163714,-0.95985216,-0.5050912,-0.5010446,0.0040466
18,-1.0683761,-1.0863446,"('disagreeable', 'welcoming')",-0.7890815,-0.82394016,-0.9287288,-0.9551424,-0.0264136
19,-0.8218654,-0.8513908,"('inhospitable', 'hospitable')",-0.4616887,-0.59722096,-0.641777,-0.7243059,-0.0825289
20,0.36453015,0.44563365,"('rough', 'thoughtful')",1.1042219,1.0229418,0.7343761,0.7342877,-8.84e-05
21,-0.30148605,-0.18910582,"('immoral', 'moral')",-0.844685,-0.70997685,-0.5730855,-0.4495413,0.1235442
