,doorpost_male,doorpost_female,tuple,average_male,average_female,female-male
0,1.0059336,0.82888013,"('unsociable', 'sociable')",1.0059336,0.8288801,-0.1770535
1,-0.029936496,-0.06368999,"('unfriendly', 'friendly')",-0.0299365,-0.06369,-0.0337535
2,-0.0023203678,0.10876858,"('unlikable', 'likable')",-0.0023204,0.1087686,0.111089
3,0.15024805,0.29810634,"('repellent', 'pleasant')",0.1502481,0.2981063,0.1478582
4,-4.087096,-4.1599364,"('disliked', 'liked')",-4.0870962,-4.1599364,-0.0728402
5,-0.7458482,-0.7650377,"('distant', 'outgoing')",-0.7458482,-0.7650377,-0.0191895
6,-0.6892108,-0.72802573,"('distant', 'open')",-0.6892108,-0.7280257,-0.0388149
7,1.2207342,1.2726454,"('insensitive', 'sensitive')",1.2207342,1.2726454,0.0519112
8,-0.35706514,-0.33728436,"('unaffectionate', 'affectionate')",-0.3570651,-0.3372844,0.0197807
9,0.3832965,0.4285757,"('unaffectionate', 'caring')",0.3832965,0.4285757,0.0452792
10,0.6104481,0.71121097,"('unsympathetic', 'sympathetic')",0.6104481,0.711211,0.1007629
11,2.0117702,2.0566146,"('unhelpful', 'helpful')",2.0117702,2.0566146,0.0448444
12,-0.68237936,-0.6037784,"('unsupportive', 'supportive')",-0.6823794,-0.6037784,0.078601
13,1.4796088,1.5029858,"('impolite', 'polite')",1.4796088,1.5029858,0.023377
14,0.72587687,0.65866387,"('antisocial', 'social')",0.7258769,0.6586639,-0.067213
15,1.1715819,0.9292266,"('boring', 'funny')",1.1715819,0.9292266,-0.2423553
16,-0.40431768,-0.3753591,"('unpopular', 'popular')",-0.4043177,-0.3753591,0.0289586
17,0.09646252,0.17485854,"('nasty', 'nice')",0.0964625,0.1748585,0.078396
18,-0.66370267,-0.70913863,"('disagreeable', 'welcoming')",-0.6637027,-0.7091386,-0.0454359
19,-0.59830946,-0.6429314,"('inhospitable', 'hospitable')",-0.5983095,-0.6429314,-0.0446219
20,0.19693632,0.17176992,"('rough', 'thoughtful')",0.1969363,0.1717699,-0.0251664
21,0.6936392,0.78085095,"('immoral', 'moral')",0.6936392,0.7808509,0.0872117
22,-0.09699418,0.009270299,"('untrustworthy', 'trustworthy')",-0.0969942,0.0092703,0.1062645
23,4.1743455,4.1885347,"('insincere', 'sincere')",4.1743455,4.1885347,0.0141892
24,1.0836111,1.1513901,"('dishonest', 'honest')",1.0836111,1.1513901,0.067779
25,-0.32098192,-0.47719085,"('egoistic', 'altruistic')",-0.3209819,-0.4771909,-0.156209
26,-0.07309325,-0.2719258,"('hardhearted', 'benevolent')",-0.0730933,-0.2719258,-0.1988325
27,0.38458923,0.2809376,"('hardhearted', 'softhearted')",0.3845892,0.2809376,-0.1036516
28,0.50646055,0.50511456,"('disloyal', 'loyal')",0.5064605,0.5051146,-0.0013459
29,-0.5474288,-0.5927896,"('unfair', 'fair')",-0.5474288,-0.5927896,-0.0453608
30,1.4376515,1.3830713,"('intolerant', 'tolerant')",1.4376515,1.3830713,-0.0545802
31,-2.026463,-1.9905789,"('evil', 'good')",-2.026463,-1.9905789,0.0358841
32,1.0137284,0.94409335,"('unkind', 'kind')",1.0137284,0.9440933,-0.0696351
33,-0.37157142,-0.33316937,"('wrong', 'right')",-0.3715714,-0.3331694,0.038402
34,3.1512558,3.244454,"('mean', 'honorable')",3.1512558,3.2444539,0.0931981
35,-1.2950455,-1.5976526,"('corrupt', 'incorrupt')",-1.2950455,-1.5976526,-0.3026071
36,-1.7756754,-1.8826866,"('hostile', 'amicable')",-1.7756754,-1.8826866,-0.1070112
37,0.017636135,-0.03740208,"('fake', 'genuine')",0.0176361,-0.0374021,-0.0550382
38,0.26113224,0.32751828,"('untruthful', 'truthful')",0.2611322,0.3275183,0.0663861
39,0.43012714,0.5309591,"('exploitative', 'cooperative')",0.4301271,0.5309591,0.100832
40,-1.8093995,-1.7947512,"('stingy', 'generous')",-1.8093995,-1.7947512,0.0146483
41,0.09395352,0.1469758,"('unforgiving', 'forgiving')",0.0939535,0.1469758,0.0530223
42,-1.1798606,-1.151278,"('unreliable', 'reliable')",-1.1798606,-1.151278,0.0285826
43,1.594012,1.6422627,"('irresponsible', 'responsible')",1.594012,1.6422627,0.0482507
44,-1.1531947,-1.2491707,"('prejudiced', 'unprejudiced')",-1.1531947,-1.2491707,-0.095976
45,0.6774086,0.77883995,"('incompetent', 'competent')",0.6774086,0.7788399,0.1014313
46,0.11285339,0.23924212,"('uncompetitive', 'competitive')",0.1128534,0.2392421,0.1263887
47,3.5945146,3.712742,"('stupid', 'smart')",3.5945146,3.7127421,0.1182275
48,0.23063272,0.2667333,"('unintelligent', 'intelligent')",0.2306327,0.2667333,0.0361006
49,-0.084801316,-0.01747926,"('unable', 'able')",-0.0848013,-0.0174793,0.067322
50,-0.29695773,-0.294085,"('clumsy', 'skillful')",-0.2969577,-0.294085,0.0028727
51,0.4397913,0.3578429,"('uneducated', 'educated')",0.4397913,0.3578429,-0.0819484
52,-0.90598714,-1.0302361,"('irrational', 'rational')",-0.9059871,-1.0302361,-0.124249
53,-0.9334106,-0.9691381,"('uncreative', 'creative')",-0.9334106,-0.9691381,-0.0357275
54,0.1653335,0.21343075,"('incapable', 'capable')",0.1653335,0.2134307,0.0480972
55,1.4942278,1.6653875,"('incompetent', 'clever')",1.4942278,1.6653875,0.1711597
56,2.35068,2.3495421,"('impractical', 'practical')",2.3506801,2.3495421,-0.001138
57,-1.7421232,-1.6725999,"('unimaginative', 'imaginative')",-1.7421232,-1.6725999,0.0695233
58,-0.02552595,-0.049823023,"('undiscriminating', 'discriminating')",-0.0255259,-0.049823,-0.0242971
59,-0.4091051,-0.35829645,"('foolish', 'wise')",-0.4091051,-0.3582965,0.0508086
60,1.9938382,2.0843523,"('inefficient', 'efficient')",1.9938382,2.0843523,0.0905141
61,0.56022686,0.45132524,"('illogical', 'logical')",0.5602269,0.4513252,-0.1089017
62,1.4316748,1.6711239,"('incompetent', 'brilliant')",1.4316748,1.6711239,0.2394491
63,0.21255587,0.38462126,"('unperceptive', 'insightful')",0.2125559,0.3846213,0.1720654
64,-3.4885144,-3.4663453,"('shy', 'confident')",-3.4885144,-3.4663453,0.0221691
65,0.83802104,0.97811806,"('insecure', 'secure')",0.838021,0.9781181,0.1400971
66,-0.8403347,-0.87056303,"('inactive', 'active')",-0.8403347,-0.870563,-0.0302283
67,0.6400427,0.57184464,"('doubtful', 'determined')",0.6400427,0.5718446,-0.0681981
68,-0.43990213,-0.40333855,"('dependent', 'independent')",-0.4399021,-0.4033386,0.0365635
69,-1.1827867,-1.3109311,"('lazy', 'industrious')",-1.1827867,-1.3109311,-0.1281444
70,1.8007754,1.8167665,"('lethargic', 'energetic')",1.8007754,1.8167665,0.0159911
71,0.28402406,0.28349397,"('diffident', 'self-confident')",0.2840241,0.283494,-0.0005301
72,0.11308213,0.3674091,"('unambitious', 'ambitious')",0.1130821,0.3674091,0.254327
73,-1.1814325,-1.1867604,"('helpless', 'self-reliant')",-1.1814325,-1.1867604,-0.0053279
74,0.23846462,0.26559862,"('undedicated', 'dedicated')",0.2384646,0.2655986,0.027134
75,-1.2451091,-1.1558381,"('meek', 'impulsive')",-1.2451091,-1.1558381,0.089271
76,0.25899762,0.2713218,"('anxious', 'daring')",0.2589976,0.2713218,0.0123242
77,-0.89490616,-0.8045767,"('unmotivated', 'motivated')",-0.8949062,-0.8045767,0.0903295
78,-0.8550038,-0.8185781,"('nonresilient', 'resilient')",-0.8550038,-0.8185781,0.0364257
79,-1.02035,-1.1135617,"('wavering', 'unwavering')",-1.02035,-1.1135617,-0.0932117
80,0.366306,0.31705502,"('dominated', 'dominating')",0.366306,0.317055,-0.049251
81,1.0269394,1.1219299,"('submissive', 'aggressive')",1.0269394,1.1219299,0.0949905
82,3.77013,3.8336427,"('poor', 'rich')",3.7701299,3.8336427,0.0635128
83,-0.5492588,-0.55694884,"('powerless', 'powerful')",-0.5492588,-0.5569488,-0.00769
84,-0.13037348,-0.15685354,"('inferior', 'superior')",-0.1303735,-0.1568535,-0.02648
85,-1.2382994,-1.40885,"('insignificant', 'prestigious')",-1.2382994,-1.40885,-0.1705506
86,0.18252355,0.23393334,"('uninfluential', 'influential')",0.1825235,0.2339333,0.0514098
87,0.34809056,0.3526913,"('unsuccessful', 'successful')",0.3480906,0.3526913,0.0046007
88,0.25043178,-0.0033528022,"('low', 'eminent')",0.2504318,-0.0033528,-0.2537846
