,qualcomm_male,qualcomm_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.9044515,-2.0404613,"('unsociable', 'sociable')",-0.3398463,-0.4603299,-1.1221489,-1.2503955,-0.1282466
1,-0.15764593,-0.52670693,"('unfriendly', 'friendly')",2.1685297,1.9752138,1.0054419,0.7242534,-0.2811885
2,0.69364274,0.686841,"('unlikable', 'likable')",0.69073296,0.8077821,0.6921878,0.7473116,0.0551238
3,-1.0035967,-0.9003094,"('repellent', 'pleasant')",0.027758231,0.08937827,-0.4879192,-0.4054655,0.0824537
4,0.34798092,0.22173414,"('disliked', 'liked')",-5.9552774,-6.1904335,-2.8036482,-2.9843497,-0.1807015
5,0.293819,0.17357562,"('distant', 'outgoing')",0.18823813,0.12458113,0.2410286,0.1490784,-0.0919502
6,0.41567093,0.28390548,"('distant', 'open')",0.7860995,0.69610775,0.6008852,0.4900066,-0.1108786
7,-1.4255131,-1.417257,"('insensitive', 'sensitive')",0.45542753,0.51869076,-0.4850428,-0.4492831,0.0357597
8,-0.94468844,-1.139116,"('unaffectionate', 'affectionate')",1.1191095,1.0030336,0.0872105,-0.0680412,-0.1552517
9,-1.3313719,-1.546507,"('unaffectionate', 'caring')",1.270406,1.2084746,-0.0304829,-0.1690162,-0.1385333
10,-3.100428,-3.126431,"('unsympathetic', 'sympathetic')",-0.6906535,-0.67458755,-1.8955408,-1.9005092,-0.0049684
11,-1.7127262,-1.7203475,"('unhelpful', 'helpful')",1.0962708,1.1924466,-0.3082277,-0.2639505,0.0442772
12,-1.6128131,-1.6205966,"('unsupportive', 'supportive')",-2.0133145,-2.008975,-1.8130639,-1.8147858,-0.0017219
13,-1.8478568,-1.8211949,"('impolite', 'polite')",-0.7455797,-0.70358026,-1.2967182,-1.2623875,0.0343307
14,-0.592808,-0.55089974,"('antisocial', 'social')",-0.50872624,-0.5430631,-0.5507671,-0.5469815,0.0037856
15,0.5781687,0.50963587,"('boring', 'funny')",0.69491804,0.62311655,0.6365434,0.5663762,-0.0701672
16,0.5837275,0.53993857,"('unpopular', 'popular')",0.6912186,0.6485919,0.637473,0.5942652,-0.0432078
17,0.030591946,0.016240943,"('nasty', 'nice')",-0.37415096,-0.31923136,-0.1717795,-0.1514952,0.0202843
18,0.14381002,0.032925323,"('disagreeable', 'welcoming')",-0.12441804,-0.19674613,0.009696,-0.0819104,-0.0916064
19,-0.45480576,-0.55479,"('inhospitable', 'hospitable')",-0.04592327,0.03767687,-0.2503645,-0.2585566,-0.0081921
20,0.8601861,0.83536756,"('rough', 'thoughtful')",1.5931128,1.5188043,1.2266495,1.1770859,-0.0495636
21,-0.7871124,-0.8092903,"('immoral', 'moral')",-0.85754955,-0.79501045,-0.822331,-0.8021504,0.0201806
22,0.03648141,-0.0010069422,"('untrustworthy', 'trustworthy')",-0.904755,-0.9868866,-0.4341368,-0.4939468,-0.05981
23,-1.8872015,-2.0015821,"('insincere', 'sincere')",5.188451,5.1904593,1.6506246,1.5944386,-0.056186
24,-1.3050694,-1.3462224,"('dishonest', 'honest')",0.77045923,0.74201477,-0.2673051,-0.3021038,-0.0347987
25,0.5587982,0.5030814,"('egoistic', 'altruistic')",1.6760505,1.641443,1.1174244,1.0722622,-0.0451622
26,0.7144235,0.54374325,"('hardhearted', 'benevolent')",2.1844242,2.1090398,1.4494238,1.3263915,-0.1230323
27,-0.9423185,-0.91607904,"('hardhearted', 'softhearted')",1.6024534,1.508678,0.3300674,0.2962995,-0.0337679
28,-1.2774338,-1.468641,"('disloyal', 'loyal')",0.8850147,0.7565897,-0.1962095,-0.3560257,-0.1598162
29,0.76600266,0.6938481,"('unfair', 'fair')",-0.13964418,-0.33536476,0.3131793,0.1792417,-0.1339376
30,-0.85933787,-0.87972224,"('intolerant', 'tolerant')",1.3175989,1.3119016,0.2291305,0.2160897,-0.0130408
31,1.3034066,1.1912112,"('evil', 'good')",-0.39677984,-0.6020068,0.4533134,0.2946022,-0.1587112
32,-1.0142517,-1.0354489,"('unkind', 'kind')",0.6340178,0.511017,-0.1901169,-0.2622159,-0.072099
33,1.2072113,1.0923401,"('wrong', 'right')",-0.14460441,-0.23352902,0.5313034,0.4294055,-0.1018979
34,-0.32069594,-0.26232997,"('mean', 'honorable')",5.7011275,5.9378724,2.6902158,2.8377712,0.1475554
35,2.2034307,2.075578,"('corrupt', 'incorrupt')",0.49966556,0.278218,1.3515481,1.176898,-0.1746501
36,1.4860386,1.2135748,"('hostile', 'amicable')",0.86900294,0.5875715,1.1775208,0.9005731,-0.2769477
37,-0.19988085,-0.12879658,"('fake', 'genuine')",0.44229212,0.4840827,0.1212056,0.1776431,0.0564375
38,-1.5507263,-1.6505797,"('untruthful', 'truthful')",-0.34524444,-0.33523118,-0.9479854,-0.9929054,-0.04492
39,0.72707295,0.81208676,"('exploitative', 'cooperative')",0.27001527,0.27944344,0.4985441,0.5457651,0.047221
40,0.276471,0.18697402,"('stingy', 'generous')",-0.9836925,-1.1494517,-0.3536108,-0.4812388,-0.127628
41,-0.9512723,-1.0911725,"('unforgiving', 'forgiving')",0.23895478,0.074633814,-0.3561588,-0.5082693,-0.1521105
42,-0.26170444,-0.068030804,"('unreliable', 'reliable')",-3.1250587,-2.9944007,-1.6933815,-1.5312158,0.1621657
43,-2.1607933,-2.0613375,"('irresponsible', 'responsible')",0.29141715,0.35953695,-0.9346881,-0.8509003,0.0837878
44,0.7795289,0.96005803,"('prejudiced', 'unprejudiced')",-1.3910495,-1.3192128,-0.3057603,-0.1795774,0.1261829
45,-1.8885787,-1.9774133,"('incompetent', 'competent')",-0.25638577,-0.2969557,-1.0724822,-1.1371845,-0.0647023
