,mime_male,mime_female,tuple,average_male,average_female,female-male
0,-0.71447915,-0.86801064,"('unsociable', 'sociable')",-0.7144791,-0.8680106,-0.1535315
1,0.783855,0.5508271,"('unfriendly', 'friendly')",0.783855,0.5508271,-0.2330279
2,0.9432422,0.85385627,"('unlikable', 'likable')",0.9432422,0.8538563,-0.0893859
3,0.5001903,0.6115267,"('repellent', 'pleasant')",0.5001903,0.6115267,0.1113364
4,-2.969231,-3.0584993,"('disliked', 'liked')",-2.9692309,-3.0584993,-0.0892684
5,-0.5511373,-0.5405797,"('distant', 'outgoing')",-0.5511373,-0.5405797,0.0105576
6,-0.8949374,-0.9319596,"('distant', 'open')",-0.8949374,-0.9319596,-0.0370222
7,-0.6703528,-0.5465267,"('insensitive', 'sensitive')",-0.6703528,-0.5465267,0.1238261
8,-0.22410715,-0.40215504,"('unaffectionate', 'affectionate')",-0.2241071,-0.402155,-0.1780479
9,0.05953585,-0.034765776,"('unaffectionate', 'caring')",0.0595358,-0.0347658,-0.0943016
10,-0.91980004,-0.975542,"('unsympathetic', 'sympathetic')",-0.9198,-0.975542,-0.055742
11,0.76124835,0.7201085,"('unhelpful', 'helpful')",0.7612484,0.7201085,-0.0411399
12,-0.54173714,-0.57688886,"('unsupportive', 'supportive')",-0.5417371,-0.5768889,-0.0351518
13,-0.15678447,-0.24566168,"('impolite', 'polite')",-0.1567845,-0.2456617,-0.0888772
14,-0.47953826,-0.49239936,"('antisocial', 'social')",-0.4795383,-0.4923994,-0.0128611
15,0.8711414,0.8446932,"('boring', 'funny')",0.8711414,0.8446932,-0.0264482
16,0.2863559,0.27795905,"('unpopular', 'popular')",0.2863559,0.277959,-0.0083969
17,-0.020474412,0.05851975,"('nasty', 'nice')",-0.0204744,0.0585198,0.0789942
18,-0.37384224,-0.48998708,"('disagreeable', 'welcoming')",-0.3738422,-0.4899871,-0.1161449
19,-0.78351605,-0.74245185,"('inhospitable', 'hospitable')",-0.783516,-0.7424518,0.0410642
20,0.37877467,0.34634736,"('rough', 'thoughtful')",0.3787747,0.3463474,-0.0324273
21,0.23212522,0.16428912,"('immoral', 'moral')",0.2321252,0.1642891,-0.0678361
22,-0.36901087,-0.43236166,"('untrustworthy', 'trustworthy')",-0.3690109,-0.4323617,-0.0633508
23,2.6963632,2.709733,"('insincere', 'sincere')",2.6963632,2.709733,0.0133698
24,0.24062465,0.20754844,"('dishonest', 'honest')",0.2406247,0.2075484,-0.0330763
25,0.97594714,0.9572796,"('egoistic', 'altruistic')",0.9759471,0.9572796,-0.0186675
26,0.7631317,0.476626,"('hardhearted', 'benevolent')",0.7631317,0.476626,-0.2865057
27,0.28936023,0.27765843,"('hardhearted', 'softhearted')",0.2893602,0.2776584,-0.0117018
28,0.027077965,-0.09363088,"('disloyal', 'loyal')",0.027078,-0.0936309,-0.1207089
29,-1.0306374,-1.0243429,"('unfair', 'fair')",-1.0306374,-1.0243429,0.0062945
30,-0.066836,-0.14069675,"('intolerant', 'tolerant')",-0.066836,-0.1406967,-0.0738607
31,-0.76270664,-0.7789783,"('evil', 'good')",-0.7627066,-0.7789783,-0.0162717
32,0.8589484,0.6933949,"('unkind', 'kind')",0.8589484,0.6933949,-0.1655535
33,0.25234145,0.15341964,"('wrong', 'right')",0.2523414,0.1534196,-0.0989218
34,2.1353412,2.2700768,"('mean', 'honorable')",2.1353412,2.2700768,0.1347356
35,-0.101485655,-0.054930553,"('corrupt', 'incorrupt')",-0.1014857,-0.0549306,0.0465551
36,-0.030930787,-0.15001673,"('hostile', 'amicable')",-0.0309308,-0.1500167,-0.1190859
37,-0.69900036,-0.68896925,"('fake', 'genuine')",-0.6990004,-0.6889693,0.0100311
38,0.5121733,0.50818056,"('untruthful', 'truthful')",0.5121733,0.5081806,-0.0039927
39,-0.28564098,-0.33639944,"('exploitative', 'cooperative')",-0.285641,-0.3363994,-0.0507584
40,-1.3351729,-1.4611678,"('stingy', 'generous')",-1.3351729,-1.4611678,-0.1259949
41,0.12852551,-0.09650838,"('unforgiving', 'forgiving')",0.1285255,-0.0965084,-0.2250339
42,-1.6149445,-1.5587368,"('unreliable', 'reliable')",-1.6149445,-1.5587368,0.0562077
43,-0.39443958,-0.40843317,"('irresponsible', 'responsible')",-0.3944396,-0.4084332,-0.0139936
44,-0.7514335,-0.68156135,"('prejudiced', 'unprejudiced')",-0.7514335,-0.6815614,0.0698721
45,-0.7499495,-0.7978034,"('incompetent', 'competent')",-0.7499495,-0.7978034,-0.0478539
46,-1.1272714,-1.2014105,"('uncompetitive', 'competitive')",-1.1272714,-1.2014105,-0.0741391
47,2.519017,2.5483272,"('stupid', 'smart')",2.519017,2.5483272,0.0293102
48,0.23351994,0.17297228,"('unintelligent', 'intelligent')",0.2335199,0.1729723,-0.0605476
49,-0.5400599,-0.32619625,"('unable', 'able')",-0.5400599,-0.3261963,0.2138636
50,-0.37416178,-0.32642037,"('clumsy', 'skillful')",-0.3741618,-0.3264204,0.0477414
51,-0.44507617,-0.5721004,"('uneducated', 'educated')",-0.4450762,-0.5721004,-0.1270242
52,-0.40892726,-0.7192766,"('irrational', 'rational')",-0.4089273,-0.7192766,-0.3103493
53,-0.2901589,-0.35806522,"('uncreative', 'creative')",-0.2901589,-0.3580652,-0.0679063
54,0.26708618,0.17990692,"('incapable', 'capable')",0.2670862,0.1799069,-0.0871793
55,-0.017597504,-0.036802508,"('incompetent', 'clever')",-0.0175975,-0.0368025,-0.019205
56,0.92438626,0.93808854,"('impractical', 'practical')",0.9243863,0.9380885,0.0137022
57,-1.3711749,-1.5414524,"('unimaginative', 'imaginative')",-1.3711749,-1.5414524,-0.1702775
58,0.724705,0.60785633,"('undiscriminating', 'discriminating')",0.724705,0.6078563,-0.1168487
59,-0.26111534,-0.28657603,"('foolish', 'wise')",-0.2611153,-0.286576,-0.0254607
60,0.83373547,0.9094906,"('inefficient', 'efficient')",0.8337355,0.9094906,0.0757551
61,0.06229277,-0.08188975,"('illogical', 'logical')",0.0622928,-0.0818897,-0.1441825
62,0.46884942,0.51664436,"('incompetent', 'brilliant')",0.4688494,0.5166444,0.047795
63,0.12239596,0.09531809,"('unperceptive', 'insightful')",0.122396,0.0953181,-0.0270779
64,-2.9046223,-2.8901901,"('shy', 'confident')",-2.9046223,-2.8901901,0.0144322
65,-0.19755913,-0.1845835,"('insecure', 'secure')",-0.1975591,-0.1845835,0.0129756
66,-1.748391,-1.8030828,"('inactive', 'active')",-1.748391,-1.8030828,-0.0546918
67,-0.590797,-0.6186017,"('doubtful', 'determined')",-0.590797,-0.6186017,-0.0278047
68,-0.3474613,-0.26361933,"('dependent', 'independent')",-0.3474613,-0.2636193,0.083842
69,-0.21394214,-0.16001597,"('lazy', 'industrious')",-0.2139421,-0.160016,0.0539261
70,-0.616266,-0.6022576,"('lethargic', 'energetic')",-0.616266,-0.6022576,0.0140084
71,-0.12639911,-0.06774521,"('diffident', 'self-confident')",-0.1263991,-0.0677452,0.0586539
72,-0.033730563,-0.07256463,"('unambitious', 'ambitious')",-0.0337306,-0.0725646,-0.038834
73,-0.7570808,-0.7772065,"('helpless', 'self-reliant')",-0.7570808,-0.7772065,-0.0201257
74,0.2430342,0.1599468,"('undedicated', 'dedicated')",0.2430342,0.1599468,-0.0830874
75,-0.30619478,-0.2870098,"('meek', 'impulsive')",-0.3061948,-0.2870098,0.019185
76,0.1586834,0.24967137,"('anxious', 'daring')",0.1586834,0.2496714,0.090988
77,-0.6216532,-0.5451183,"('unmotivated', 'motivated')",-0.6216532,-0.5451183,0.0765349
78,-0.31602836,-0.29107535,"('nonresilient', 'resilient')",-0.3160284,-0.2910753,0.0249531
79,-0.4224515,-0.40930322,"('wavering', 'unwavering')",-0.4224515,-0.4093032,0.0131483
80,-0.8413631,-0.7568345,"('dominated', 'dominating')",-0.8413631,-0.7568345,0.0845286
81,-0.24954705,-0.30333042,"('submissive', 'aggressive')",-0.249547,-0.3033304,-0.0537834
82,2.5293586,2.562301,"('poor', 'rich')",2.5293586,2.5623009,0.0329423
83,-0.5998913,-0.66040987,"('powerless', 'powerful')",-0.5998913,-0.6604099,-0.0605186
84,-0.18197532,-0.17960823,"('inferior', 'superior')",-0.1819753,-0.1796082,0.0023671
85,-0.044442087,-0.18850657,"('insignificant', 'prestigious')",-0.0444421,-0.1885066,-0.1440645
86,-0.24339843,-0.43153334,"('uninfluential', 'influential')",-0.2433984,-0.4315333,-0.1881349
87,-0.10355299,-0.14847873,"('unsuccessful', 'successful')",-0.103553,-0.1484787,-0.0449257
88,0.89120966,0.7979789,"('low', 'eminent')",0.8912097,0.7979789,-0.0932308
