,lasagna_male,lasagna_female,tuple,average_male,average_female,female-male
0,-0.63954145,-0.6115371,"('unsociable', 'sociable')",-0.6395414,-0.6115371,0.0280043
1,0.20990531,0.2544189,"('unfriendly', 'friendly')",0.2099053,0.2544189,0.0445136
2,0.63210887,0.6168326,"('unlikable', 'likable')",0.6321089,0.6168326,-0.0152763
3,-1.5031515,-1.5051523,"('repellent', 'pleasant')",-1.5031515,-1.5051523,-0.0020008
4,-0.89753634,-0.74925315,"('disliked', 'liked')",-0.8975363,-0.7492532,0.1482831
5,0.77381057,0.8472432,"('distant', 'outgoing')",0.7738106,0.8472432,0.0734326
6,0.7984184,0.9230089,"('distant', 'open')",0.7984184,0.9230089,0.1245905
7,-1.3927871,-1.3019269,"('insensitive', 'sensitive')",-1.3927871,-1.3019269,0.0908602
8,0.6392048,0.5197521,"('unaffectionate', 'affectionate')",0.6392048,0.5197521,-0.1194527
9,0.6047289,0.52652764,"('unaffectionate', 'caring')",0.6047289,0.5265276,-0.0782013
10,-1.7685025,-1.7160507,"('unsympathetic', 'sympathetic')",-1.7685025,-1.7160507,0.0524518
11,-0.891342,-1.0185076,"('unhelpful', 'helpful')",-0.891342,-1.0185076,-0.1271656
12,-0.4721135,-0.36349475,"('unsupportive', 'supportive')",-0.4721135,-0.3634948,0.1086187
13,-1.0979638,-1.1792343,"('impolite', 'polite')",-1.0979638,-1.1792343,-0.0812705
14,-1.1385351,-1.11373,"('antisocial', 'social')",-1.1385351,-1.11373,0.0248051
15,0.9582091,0.886224,"('boring', 'funny')",0.9582091,0.886224,-0.0719851
16,0.33134902,0.37543526,"('unpopular', 'popular')",0.331349,0.3754353,0.0440863
17,0.24899676,0.28422883,"('nasty', 'nice')",0.2489968,0.2842288,0.035232
18,-0.26309603,-0.21505852,"('disagreeable', 'welcoming')",-0.263096,-0.2150585,0.0480375
19,-0.20320001,-0.16040054,"('inhospitable', 'hospitable')",-0.2032,-0.1604005,0.0427995
20,0.38778636,0.283417,"('rough', 'thoughtful')",0.3877864,0.283417,-0.1043694
21,-0.3456128,-0.2736206,"('immoral', 'moral')",-0.3456128,-0.2736206,0.0719922
22,-0.437043,-0.4156205,"('untrustworthy', 'trustworthy')",-0.437043,-0.4156205,0.0214225
23,-0.083166786,-0.19670449,"('insincere', 'sincere')",-0.0831668,-0.1967045,-0.1135377
24,-0.3515137,-0.40593103,"('dishonest', 'honest')",-0.3515137,-0.405931,-0.0544173
25,1.9911019,1.9473253,"('egoistic', 'altruistic')",1.9911019,1.9473253,-0.0437766
26,0.67562616,0.66779697,"('hardhearted', 'benevolent')",0.6756262,0.667797,-0.0078292
27,0.96045333,0.846427,"('hardhearted', 'softhearted')",0.9604533,0.846427,-0.1140263
28,-0.4011192,-0.51898813,"('disloyal', 'loyal')",-0.4011192,-0.5189881,-0.1178689
29,-0.53779644,-0.536264,"('unfair', 'fair')",-0.5377964,-0.536264,0.0015324
30,-0.80901295,-0.8190079,"('intolerant', 'tolerant')",-0.8090129,-0.8190079,-0.009995
31,-0.27642944,-0.061596952,"('evil', 'good')",-0.2764294,-0.061597,0.2148324
32,0.48875815,0.33991635,"('unkind', 'kind')",0.4887581,0.3399163,-0.1488418
33,0.7654266,0.7617375,"('wrong', 'right')",0.7654266,0.7617375,-0.0036891
34,0.72577006,0.8034396,"('mean', 'honorable')",0.7257701,0.8034396,0.0776695
35,1.6091859,1.5395813,"('corrupt', 'incorrupt')",1.6091859,1.5395813,-0.0696046
36,0.5574449,0.5991435,"('hostile', 'amicable')",0.5574449,0.5991435,0.0416986
37,0.019795896,-0.05341638,"('fake', 'genuine')",0.0197959,-0.0534164,-0.0732123
38,-0.030600183,0.00086325407,"('untruthful', 'truthful')",-0.0306002,0.0008633,0.0314635
39,-0.21002644,-0.2688059,"('exploitative', 'cooperative')",-0.2100264,-0.2688059,-0.0587795
40,-0.13373697,-0.05773665,"('stingy', 'generous')",-0.133737,-0.0577367,0.0760003
41,-0.18218252,-0.07618746,"('unforgiving', 'forgiving')",-0.1821825,-0.0761875,0.105995
42,-0.9077378,-0.8213623,"('unreliable', 'reliable')",-0.9077378,-0.8213623,0.0863755
43,-1.3011128,-1.333075,"('irresponsible', 'responsible')",-1.3011128,-1.333075,-0.0319622
44,0.35513592,0.28618556,"('prejudiced', 'unprejudiced')",0.3551359,0.2861856,-0.0689503
45,-1.2143544,-0.9865483,"('incompetent', 'competent')",-1.2143544,-0.9865483,0.2278061
46,-1.1575726,-1.1521169,"('uncompetitive', 'competitive')",-1.1575726,-1.1521169,0.0054557
47,1.0323036,0.95846766,"('stupid', 'smart')",1.0323036,0.9584677,-0.0738359
48,-0.27027017,-0.25187817,"('unintelligent', 'intelligent')",-0.2702702,-0.2518782,0.018392
49,0.009108357,0.08701038,"('unable', 'able')",0.0091084,0.0870104,0.077902
50,-0.58386856,-0.68375486,"('clumsy', 'skillful')",-0.5838686,-0.6837549,-0.0998863
51,-1.3848066,-1.4256688,"('uneducated', 'educated')",-1.3848066,-1.4256688,-0.0408622
52,0.7133079,0.5829992,"('irrational', 'rational')",0.7133079,0.5829992,-0.1303087
53,-0.748445,-0.6833943,"('uncreative', 'creative')",-0.748445,-0.6833943,0.0650507
54,0.5396107,0.5260225,"('incapable', 'capable')",0.5396107,0.5260225,-0.0135882
55,-1.0249794,-0.93277115,"('incompetent', 'clever')",-1.0249794,-0.9327711,0.0922083
56,-0.35393855,-0.27258876,"('impractical', 'practical')",-0.3539385,-0.2725888,0.0813497
