,constellation_male,constellation_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,female-male
0,0.1300111,0.04193321,"('unsociable', 'sociable')",1.1323774,0.9118232,-0.6987273,-0.91267043,0.1878871,0.0136953,-0.1741918
1,0.06254722,-0.15676168,"('unfriendly', 'friendly')",0.7112202,0.7028879,1.7534212,1.676715,0.8423962,0.7409471,-0.1014491
2,0.25441837,0.30812803,"('unlikable', 'likable')",0.8790214,1.0023754,0.51419145,0.6786681,0.5492104,0.6630572,0.1138468
3,-0.6838132,-0.58085805,"('repellent', 'pleasant')",-0.6179045,-0.43447965,-0.32699198,-0.2792613,-0.5429033,-0.431533,0.1113703
4,-1.7578809,-1.887571,"('disliked', 'liked')",-0.4917518,-0.35880828,-6.1358266,-6.243149,-2.7951533,-2.8298429,-0.0346896
5,-1.3284265,-1.3441006,"('distant', 'outgoing')",-0.49580592,-0.31889412,-0.029734746,0.09597942,-0.617989,-0.5223384,0.0956506
6,-1.7974782,-1.8321905,"('distant', 'open')",-0.98715883,-0.80633885,0.5556191,0.66552806,-0.7430059,-0.6576671,0.0853388
7,0.86510926,0.8677516,"('insensitive', 'sensitive')",0.7034307,0.68595934,0.6478631,0.56515276,0.738801,0.7062879,-0.0325131
8,-0.004375674,-0.11399407,"('unaffectionate', 'affectionate')",-0.318135,-0.21739739,1.0466549,1.0002302,0.2413814,0.2229462,-0.0184352
9,0.60151774,0.50913113,"('unaffectionate', 'caring')",0.53888875,0.52344465,1.1269577,1.0873095,0.755788,0.7066285,-0.0491595
10,0.96373194,1.0411878,"('unsympathetic', 'sympathetic')",0.32293978,0.26258758,-0.7785754,-0.9408316,0.1693654,0.1209812,-0.0483842
11,0.4101155,0.5338024,"('unhelpful', 'helpful')",0.3444276,0.37617397,1.3911258,1.4882989,0.715223,0.7994251,0.0842021
12,0.5844242,0.6820978,"('unsupportive', 'supportive')",0.8460298,1.0286263,-1.6160756,-1.6548365,-0.0618739,0.0186292,0.0805031
13,-0.009268068,0.004005879,"('impolite', 'polite')",0.7567202,0.63654053,-0.5886177,-0.6412543,0.0529448,-0.000236,-0.0531808
